risk_scale,seed,agent,reward,tripwires,episodes,robustez,flexibilidad
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-25.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-20.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-20.0,2.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,-10.0,1.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-15.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-20.0,2.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-20.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-10.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-15.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-15.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-15.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-20.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,0.0,0.0,1000,,
0.5,123,control,-5.0,0.0,1000,,
