,,reward,reward,reward,tripwires,tripwires,tripwires
,,mean,std,count,mean,std,count
agent,risk_scale,,,,,,
a2c_sota,0.5,0.0,0.0,3,0.0,0.0,3
a2c_sota,1.0,0.0,0.0,3,0.0,0.0,3
a2c_sota,1.5,0.0,0.0,3,0.0,0.0,3
a2c_sota,2.0,0.0,0.0,3,0.0,0.0,3
a2c_sota,3.0,0.0,0.0,3,0.0,0.0,3
control,0.5,-3.23,4.94,9000,0.012,0.127,9000
control,1.0,-3.35,5.454,9000,0.012,0.127,9000
control,1.5,-3.47,6.197,9000,0.012,0.127,9000
control,2.0,-3.817,9.822,9000,0.014,0.142,9000
control,3.0,-4.05,9.85,9000,0.014,0.131,9000
dqn_control,0.5,-6.994,26.292,9000,0.118,0.641,9000
dqn_control,1.0,-7.923,25.989,9000,0.116,0.564,9000
dqn_control,1.5,-10.646,35.173,9000,0.108,0.487,9000
dqn_control,2.0,-11.259,35.423,9000,0.094,0.423,9000
dqn_control,3.0,-12.555,36.809,9000,0.084,0.354,9000
dqn_sota,0.5,213.333,369.504,3,0.0,0.0,3
dqn_sota,1.0,0.0,0.0,3,0.0,0.0,3
dqn_sota,1.5,0.0,0.0,3,0.0,0.0,3
dqn_sota,2.0,0.0,0.0,3,0.0,0.0,3
dqn_sota,3.0,0.0,0.0,3,0.0,0.0,3
ppo_sota,0.5,645.0,0.0,3,0.0,0.0,3
ppo_sota,1.0,0.0,0.0,3,0.0,0.0,3
ppo_sota,1.5,0.0,0.0,3,0.0,0.0,3
ppo_sota,2.0,0.0,0.0,3,0.0,0.0,3
ppo_sota,3.0,0.0,0.0,3,0.0,0.0,3
simbiosis,0.5,-26.107,73.287,9000,0.127,0.679,9000
simbiosis,1.0,-26.419,62.906,9000,0.12,0.551,9000
simbiosis,1.5,-26.608,67.703,9000,0.113,0.501,9000
simbiosis,2.0,-25.358,58.246,9000,0.108,0.445,9000
simbiosis,3.0,-26.86,67.611,9000,0.096,0.378,9000
tui,0.5,-10.75,19.552,3000,0.034,0.286,3000
tui,1.0,-11.039,21.117,3000,0.034,0.283,3000
tui,1.5,-11.664,21.575,3000,0.034,0.255,3000
tui,2.0,-11.903,22.486,3000,0.031,0.233,3000
tui,3.0,-11.931,22.537,3000,0.03,0.216,3000
