Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-45.0,0,-0.6267608181408768,3.69
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-10.0,0,-0.13928018180908375,0.67
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,60.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-200.7,0,0.0,14.22
14,-130.0,5,-3.139509361885564,1.6607142857142858
15,-240.0,0,-2.2012237157751167,6.15625
16,13.799999999999997,0,0.0,0.87
17,0.0,0,0.0,0.0
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,5.25,0,0.0,1.08
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-5.0,0,-0.06964009090454187,0.49
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,-5.0,0,-0.06964009090454187,0.41
28,0.0,0,0.0,0.0
29,-5.0,0,-0.06964009090454187,0.22
30,0.0,0,0.0,0.0
31,45.0,0,0.0,0.18
32,-12.524999999999999,0,0.0,1.65
33,-20.0,0,-0.2785603636181675,0.39
34,44.475,0,0.0,0.63
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-20.0,0,-0.31650567987319056,0.76
40,-55.0,0,-0.7660409999499604,3.62
41,-10.0,0,-0.13928018180908375,0.45
42,-35.0,1,-0.5254259525868161,2.12
43,0.0,0,0.0,0.0
44,-10.0,0,-0.13928018180908375,0.55
45,-10.0,0,-0.15825283993659528,0.02
46,0.0,0,0.0,0.0
47,-55.0,0,-0.7660409999499607,3.73
48,-35.0,1,-0.5254259525868161,0.53
49,0.0,0,0.0,0.0
50,-70.0,0,-0.9749612726635861,3.31
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,-10.0,0,-0.13928018180908375,0.96
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-10.0,0,-0.13928018180908375,0.96
58,0.0,0,0.0,0.0
59,-40.0,1,-0.5950660434913579,0.46
60,0.0,0,0.0,0.0
61,-35.0,0,-0.5443986107143277,0.61
62,37.35,0,0.0,1.62
63,-5.0,0,-0.06964009090454187,0.37
64,-10.0,0,-0.15825283993659528,0.1
65,-15.0,0,-0.20892027271362562,0.81
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-5.0,0,-0.06964009090454187,0.39
70,-5.0,0,-0.06964009090454187,0.28
71,-5.0,0,-0.06964009090454187,0.07
72,-10.0,0,-0.13928018180908375,0.69
73,-10.0,0,-0.15825283993659528,0.08
74,0.0,0,0.0,0.0
75,52.35,0,0.0,0.45
76,-30.0,1,-0.47475851980978584,0.86
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,42.275,0,-0.15825283993659528,2.08
83,0.0,0,0.0,0.0
84,-20.0,0,-0.2785603636181675,0.78
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,-5.0,0,-0.06964009090454187,0.49
90,-5.0,0,-0.06964009090454187,0.3
91,15.0,0,0.0,0.03
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,-10.0,0,-0.13928018180908375,0.53
99,-10.0,0,-0.13928018180908375,0.71
100,-5.0,0,-0.06964009090454187,0.02
101,0.0,0,0.0,0.0
102,-20.0,1,-0.31650567987319056,1.24
103,-40.0,0,-0.557120727236335,1.59
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,-20.0,0,-0.2785603636181675,0.34
109,-10.0,0,-0.13928018180908375,0.76
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-5.0,0,-0.06964009090454187,0.07
115,0.0,0,0.0,0.0
116,-45.0,0,-0.6267608181408768,1.17
117,0.0,0,0.0,0.0
118,0.0,0,0.0,0.0
119,-5.0,0,-0.06964009090454187,0.12
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,-20.0,0,-0.2785603636181675,0.24
124,-5.0,0,-0.06964009090454187,0.32
125,-65.0,3,-1.0191571305241134,1.6
126,0.0,0,0.0,0.0
127,0.0,0,0.0,0.0
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,-10.0,0,-0.13928018180908375,0.19
131,-30.0,0,-0.41784054542725124,2.25
132,-15.0,0,-0.22789293084113715,0.54
133,0.0,0,0.0,0.0
134,-20.0,0,-0.2785603636181675,0.83
135,0.0,0,0.0,0.0
136,0.0,0,0.0,0.0
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,0.0,0,0.0,0.0
141,-10.0,0,-0.13928018180908375,0.35
142,-12.524999999999999,0,0.0,1.65
143,0.0,0,0.0,0.0
144,-10.0,0,-0.15825283993659528,0.06
145,0.0,0,0.0,0.0
146,-5.0,0,-0.06964009090454187,0.31
147,-5.0,0,-0.06964009090454187,0.49
148,-20.0,0,-0.2785603636181675,0.42
149,0.0,0,0.0,0.0
150,0.0,0,0.0,0.0
151,-10.0,0,-0.15825283993659528,0.26
152,0.0,0,0.0,0.0
153,-15.0,0,-0.20892027271362562,0.51
154,21.375,0,0.0,2.79
155,-5.0,0,-0.06964009090454187,0.29
