Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.2785603636181675,0.305
2,0.0,0,0.0,0.0
3,-45.0,0,-1.2535216362817536,1.845
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-10.0,0,-0.2785603636181675,0.335
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,60.0,0,0.0,0.15
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-200.7,0,0.0,7.11
14,-265.0,5,-5.7136319136837255,2.225
15,-5.0,0,-0.13928018180908375,0.02
16,30.0,0,0.0,0.045
17,0.0,0,0.0,0.0
18,0.0,0,0.0,0.0
19,-45.0,0,-1.2535216362817536,1.33
20,-21.75,0,0.0,0.99
21,0.0,0,0.0,0.0
22,-20.0,0,-0.557120727236335,0.66
23,-5.0,0,-0.13928018180908375,0.245
24,0.0,0,0.0,0.0
25,-5.0,0,-0.31650567987319056,0.01
26,-10.0,0,-0.2785603636181675,0.19
27,-5.0,0,-0.13928018180908375,0.19
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,-10.0,1,-0.6330113597463811,0.06
32,0.0,0,0.0,0.0
33,-10.0,0,-0.2785603636181675,0.355
34,-10.0,0,-0.6330113597463811,0.105
35,0.0,0,0.0,0.0
36,-17.0,0,-0.31650567987319056,0.785
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-10.0,0,-0.4557858616822743,0.14
40,-265.0,7,-4.885236725132798,2.145
41,-5.0,0,-0.13928018180908375,0.19
42,-5.0,0,-0.13928018180908375,0.005
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,52.35,0,0.0,0.225
46,0.0,0,0.0,0.0
47,-65.0,2,-2.519544355774516,1.32
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,0.0,0,0.0,0.0
54,0.0,0,0.0,0.0
55,-20.0,0,-0.7343462253004418,0.215
56,0.0,0,0.0,0.0
57,-10.0,0,-0.2785603636181675,0.415
58,-15.0,0,-0.41784054542725124,0.075
59,-80.0,0,-2.22848290894534,2.11
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-50.775000000000006,0,0.0,1.575
63,0.0,0,0.0,0.0
64,-5.0,0,-0.13928018180908375,0.015
65,0.0,0,0.0,0.0
66,-5.0,0,-0.13928018180908375,0.21
67,5.25,0,0.0,0.54
68,0.0,0,0.0,0.0
69,-5.0,0,-0.13928018180908375,0.095
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,-10.0,0,-0.2785603636181675,0.14
75,0.0,0,0.0,0.0
76,-10.0,0,-0.2785603636181675,0.14
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,-5.0,0,-0.13928018180908375,0.09
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,-5.0,0,-0.13928018180908375,0.02
85,-15.0,0,-0.41784054542725124,0.175
86,-5.0,0,-0.13928018180908375,0.17
87,-10.0,0,-0.2785603636181675,0.03
88,0.0,0,0.0,0.0
89,21.375,0,0.0,1.065
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,0.0,0,0.0,0.0
95,-20.0,0,-0.557120727236335,0.44
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,-5.0,0,-0.13928018180908375,0.225
99,-15.0,0,-0.41784054542725124,0.405
100,-10.0,1,-0.6330113597463811,0.05
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-55.0,0,-1.5320819998999209,0.33
104,-70.0,4,-3.3677265298400267,2.525
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,-5.0,0,-0.13928018180908375,0.085
109,0.0,0,0.0,0.0
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,0.0,0,0.0,0.0
115,-15.0,0,-0.41784054542725124,0.105
116,-140.0,0,-5.217715474429907,1.9444444444444444
117,0.0,0,0.0,0.0
118,-20.0,0,-0.557120727236335,0.57
119,-10.0,0,-0.2785603636181675,0.445
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,-10.0,0,-0.2785603636181675,0.03
123,-10.0,0,-0.2785603636181675,0.12
124,-5.0,0,-0.13928018180908375,0.095
125,0.0,0,0.0,0.0
126,0.0,0,0.0,0.0
127,0.0,0,0.0,0.0
128,-20.0,2,-1.2660227194927622,0.71
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,-5.0,0,-0.13928018180908375,0.045
135,-40.0,3,-2.177594442857311,0.985
136,0.0,0,0.0,0.0
137,0.0,0,0.0,0.0
138,-5.0,0,-0.13928018180908375,0.07
139,0.0,0,0.0,0.0
140,-40.0,0,-1.11424145447267,0.94
141,0.0,0,0.0,0.0
142,55.0,0,-0.31650567987319056,0.14
143,0.0,0,0.0,0.0
144,-5.0,0,-0.13928018180908375,0.245
145,-10.0,0,-0.2785603636181675,0.255
146,-10.0,0,-0.2785603636181675,0.37
147,0.0,0,0.0,0.0
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,-5.0,0,-0.13928018180908375,0.135
151,-10.0,1,-0.6330113597463811,0.11
152,0.0,0,0.0,0.0
153,-15.0,0,-0.41784054542725124,0.255
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
156,0.0,0,0.0,0.0
157,0.0,0,0.0,0.0
158,0.0,0,0.0,0.0
159,0.0,0,0.0,0.0
160,0.0,0,0.0,0.0
161,-5.0,0,-0.13928018180908375,0.05
162,0.0,0,0.0,0.0
163,-10.0,0,-0.2785603636181675,0.095
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,-10.0,0,-0.2785603636181675,0.23
167,-20.0,1,-0.9115717233645486,0.215
168,0.0,0,0.0,0.0
169,0.0,0,0.0,0.0
170,10.0,0,-0.31650567987319056,0.03
171,0.0,0,0.0,0.0
172,0.0,0,0.0,0.0
173,-5.0,0,-0.13928018180908375,0.055
174,0.0,0,0.0,0.0
175,0.0,0,0.0,0.0
176,0.0,0,0.0,0.0
177,0.0,0,0.0,0.0
178,0.0,0,0.0,0.0
179,-40.0,0,-1.11424145447267,1.3
180,0.0,0,0.0,0.0
181,-5.0,0,-0.13928018180908375,0.245
182,-5.0,0,-0.13928018180908375,0.215
183,21.375,0,0.0,0.675
184,0.0,0,0.0,0.0
185,0.0,0,0.0,0.0
186,-5.0,0,-0.13928018180908375,0.06
187,-5.0,0,-0.13928018180908375,0.085
188,0.0,0,0.0,0.0
189,0.0,0,0.0,0.0
190,-5.0,0,-0.13928018180908375,0.095
191,0.0,0,0.0,0.0
192,0.0,0,0.0,0.0
193,-20.0,0,-0.557120727236335,0.31
194,-5.0,0,-0.13928018180908375,0.23
195,0.0,0,0.0,0.0
196,0.0,0,0.0,0.0
197,0.0,0,0.0,0.0
198,0.0,0,0.0,0.0
199,-5.0,0,-0.13928018180908375,0.1
200,0.0,0,0.0,0.0
201,0.0,0,0.0,0.0
202,-35.0,1,-1.3294122687917997,1.075
203,0.0,0,0.0,0.0
204,-5.0,0,-0.13928018180908375,0.055
205,-30.0,0,-0.8356810908545025,1.065
206,-4.274999999999999,0,0.0,2.97
207,0.0,0,0.0,0.0
208,-15.0,0,-0.41784054542725124,0.37
209,-15.0,0,-0.41784054542725124,0.465
210,-20.0,1,-0.9115717233645486,0.12
211,-5.0,0,-0.13928018180908375,0.165
212,47.425,0,-0.13928018180908375,0.24
213,0.0,0,0.0,0.0
214,0.0,0,0.0,0.0
215,0.0,0,0.0,0.0
216,0.0,0,0.0,0.0
217,0.0,0,0.0,0.0
218,-35.0,0,-0.9749612726635862,1.32
219,0.0,0,0.0,0.0
220,60.0,0,0.0,0.15
221,0.0,0,0.0,0.0
222,-25.0,0,-0.6964009090454186,0.075
223,0.0,0,0.0,0.0
224,0.0,0,0.0,0.0
225,0.0,0,0.0,0.0
226,0.0,0,0.0,0.0
227,0.0,0,0.0,0.0
228,0.0,0,0.0,0.0
229,-5.0,0,-0.13928018180908375,0.245
230,0.0,0,0.0,0.0
231,-30.0,2,-1.7218085811750365,0.62
232,-35.0,0,-0.9749612726635861,0.995
233,0.0,0,0.0,0.0
234,0.0,0,0.0,0.0
235,-20.0,2,-1.2660227194927622,0.12
236,-10.0,0,-0.2785603636181675,0.075
237,0.0,0,0.0,0.0
238,0.0,0,0.0,0.0
239,-5.0,0,-0.13928018180908375,0.085
240,-5.0,0,-0.13928018180908375,0.01
241,0.0,0,0.0,0.0
242,0.0,0,0.0,0.0
243,0.0,0,0.0,0.0
244,0.0,0,0.0,0.0
245,5.25,0,0.0,0.54
246,0.0,0,0.0,0.0
247,0.0,0,0.0,0.0
248,0.0,0,0.0,0.0
249,0.0,0,0.0,0.0
250,60.0,0,0.0,0.15
251,0.0,0,0.0,0.0
252,-5.0,0,-0.13928018180908375,0.095
253,0.0,0,0.0,0.0
254,0.0,0,0.0,0.0
255,-5.0,0,-0.13928018180908375,0.115
256,0.0,0,0.0,0.0
257,-5.0,0,-0.13928018180908375,0.245
258,-5.0,0,-0.13928018180908375,0.205
259,0.0,0,0.0,0.0
260,0.0,0,0.0,0.0
261,-70.0,1,-3.0132755337118136,1.89
262,0.0,0,0.0,0.0
263,0.0,0,0.0,0.0
264,0.0,0,0.0,0.0
265,0.0,0,0.0,0.0
266,-5.0,0,-0.13928018180908375,0.215
267,-5.0,0,-0.13928018180908375,0.17
268,0.0,0,0.0,0.0
269,0.0,0,0.0,0.0
270,0.0,0,0.0,0.0
271,0.0,0,0.0,0.0
272,-30.0,0,-0.8356810908545025,0.315
273,5.25,0,0.0,0.63
274,0.0,0,0.0,0.0
275,-10.0,0,-0.2785603636181675,0.385
276,0.0,0,0.0,0.0
277,-3.5249999999999986,0,0.0,0.675
278,0.0,0,0.0,0.0
279,0.0,0,0.0,0.0
280,0.0,0,0.0,0.0
281,0.0,0,0.0,0.0
282,0.0,0,0.0,0.0
283,-30.0,0,-0.8356810908545025,0.67
284,0.0,0,0.0,0.0
285,-5.0,0,-0.13928018180908375,0.22
286,0.0,0,0.0,0.0
287,0.0,0,0.0,0.0
288,-5.0,0,-0.13928018180908375,0.13
289,-5.0,0,-0.13928018180908375,0.08
290,-5.0,0,-0.31650567987319056,0.02
291,0.0,0,0.0,0.0
292,0.0,0,0.0,0.0
293,-5.0,0,-0.31650567987319056,0.12
294,45.0,0,0.0,0.09
295,-5.0,0,-0.13928018180908375,0.025
296,0.0,0,0.0,0.0
297,0.0,0,0.0,0.0
298,0.0,0,0.0,0.0
299,0.0,0,0.0,0.0
300,-10.0,0,-0.2785603636181675,0.315
301,-10.0,1,-0.6330113597463811,0.03
302,-3.5249999999999986,0,0.0,0.795
303,0.0,0,0.0,0.0
304,-20.0,2,-1.2660227194927622,0.2
305,-5.0,0,-0.13928018180908375,0.115
306,0.0,0,0.0,0.0
307,0.0,0,0.0,0.0
308,-5.0,0,-0.13928018180908375,0.16
309,-5.0,0,-0.13928018180908375,0.185
310,-5.0,0,-0.13928018180908375,0.245
311,0.0,0,0.0,0.0
312,-30.0,1,-1.1901320869827159,0.15
313,0.0,0,0.0,0.0
314,0.0,0,0.0,0.0
315,0.0,0,0.0,0.0
316,-5.0,0,-0.13928018180908375,0.145
317,0.0,0,0.0,0.0
318,-15.0,0,-0.9495170396195717,0.35
319,-10.0,1,-0.6330113597463811,0.22
320,-25.0,0,-0.6964009090454186,0.71
321,0.0,0,0.0,0.0
322,-86.525,0,-0.13928018180908375,6.535
323,-40.0,0,-1.11424145447267,0.78
324,0.0,0,0.0,0.0
325,0.0,0,0.0,0.0
326,52.35,0,0.0,0.225
327,-5.0,0,-0.13928018180908375,0.01
328,-3.5249999999999986,0,0.0,0.675
329,0.0,0,0.0,0.0
330,0.0,0,0.0,0.0
331,0.0,0,0.0,0.0
332,0.0,0,0.0,0.0
333,0.0,0,0.0,0.0
334,0.0,0,0.0,0.0
335,-20.0,0,-0.557120727236335,0.27
336,0.0,0,0.0,0.0
337,0.0,0,0.0,0.0
338,0.0,0,0.0,0.0
339,0.0,0,0.0,0.0
340,-10.0,0,-0.2785603636181675,0.05
341,-160.0,0,-2.8978109301726005,2.64
342,0.0,0,0.0,0.0
343,-55.0,3,-2.595434988284562,1.705
344,0.0,0,0.0,0.0
345,-5.0,0,-0.13928018180908375,0.01
346,0.0,0,0.0,0.0
347,0.0,0,0.0,0.0
348,0.0,0,0.0,0.0
349,-5.0,0,-0.13928018180908375,0.11
350,-5.0,0,-0.13928018180908375,0.2
351,0.0,0,0.0,0.0
352,0.0,0,0.0,0.0
353,0.0,0,0.0,0.0
354,45.0,0,0.0,0.09
355,0.0,0,0.0,0.0
356,0.0,0,0.0,0.0
357,-10.0,0,-0.2785603636181675,0.115
358,-5.0,0,-0.13928018180908375,0.065
359,0.0,0,0.0,0.0
360,-10.0,1,-0.6330113597463811,0.07
361,-10.0,1,-0.6330113597463811,0.03
362,-5.0,0,-0.13928018180908375,0.245
363,-10.0,0,-0.2785603636181675,0.18
364,-10.0,0,-0.2785603636181675,0.205
365,-5.0,0,-0.31650567987319056,0.085
366,0.0,0,0.0,0.0
367,-45.12500000000001,0,-0.13928018180908375,1.48
368,0.0,0,0.0,0.0
369,-10.0,0,-0.2785603636181675,0.38
370,-25.0,0,-0.6964009090454186,0.39
371,0.0,0,0.0,0.0
372,-35.0,0,-0.9749612726635862,1.085
373,30.0,0,0.0,0.045
374,-5.0,0,-0.13928018180908375,0.185
375,0.0,0,0.0,0.0
376,-65.0,0,-1.8106423635180886,1.58
377,-15.0,0,-0.41784054542725124,0.565
378,-45.0,0,-1.2535216362817538,1.16
379,0.0,0,0.0,0.0
380,-40.0,0,-1.11424145447267,1.17
381,-35.0,0,-0.9749612726635862,0.56
382,0.0,0,0.0,0.0
383,-15.0,0,-0.41784054542725124,0.555
384,0.0,0,0.0,0.0
385,0.0,0,0.0,0.0
