Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-15.0,0,-0.45681049150071834,0.455
2,-5.0,0,-0.15227016383357278,0.065
3,0.0,0,0.0,0.0
4,-5.0,0,-0.15227016383357278,0.145
5,0.0,0,0.0,0.0
6,-15.0,0,-0.45681049150071834,0.255
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,-5.0,0,-0.15227016383357278,0.015
10,-10.0,0,-0.30454032766714556,0.115
11,-5.0,0,-0.15227016383357278,0.24
12,-5.0,0,-0.15227016383357278,0.175
13,-5.0,0,-0.15227016383357278,0.02
14,-5.0,0,-0.15227016383357278,0.045
15,0.0,0,0.0,0.0
16,-5.0,0,-0.15227016383357278,0.235
17,0.0,0,0.0,0.0
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,0.0,0,0.0,0.0
24,0.0,0,0.0,0.0
25,-15.0,0,-0.45681049150071834,0.445
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,0.0,0,0.0,0.0
34,0.0,0,0.0,0.0
35,-10.0,0,-0.30454032766714556,0.155
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,-10.0,0,-0.30454032766714556,0.27
39,-5.0,0,-0.15227016383357278,0.065
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,-10.0,0,-0.30454032766714556,0.305
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,0.0,0,0.0,0.0
54,-5.0,0,-0.15227016383357278,0.165
55,0.0,0,0.0,0.0
56,-5.0,0,-0.15227016383357278,0.005
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,-5.0,0,-0.15227016383357278,0.055
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,0.0,0,0.0,0.0
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,-5.0,0,-0.15227016383357278,0.245
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-10.0,0,-0.30454032766714556,0.415
70,-5.0,0,-0.15227016383357278,0.055
71,-5.0,0,-0.15227016383357278,0.175
72,-5.0,0,-0.15227016383357278,0.005
73,0.0,0,0.0,0.0
74,-10.0,0,-0.30454032766714556,0.21
75,0.0,0,0.0,0.0
76,-10.0,0,-0.30454032766714556,0.22
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,-5.0,0,-0.15227016383357278,0.17
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,0.0,0,0.0,0.0
85,-5.0,0,-0.15227016383357278,0.025
86,-5.0,0,-0.15227016383357278,0.015
87,-5.0,0,-0.15227016383357278,0.11
88,-5.0,0,-0.15227016383357278,0.185
89,0.0,0,0.0,0.0
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,-5.0,0,-0.15227016383357278,0.195
94,-20.0,0,-0.6090806553342911,0.275
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,0.0,0,0.0,0.0
100,-5.0,0,-0.15227016383357278,0.08
101,-5.0,0,-0.15227016383357278,0.195
102,-10.0,0,-0.30454032766714556,0.1
103,-5.0,0,-0.15227016383357278,0.175
104,-5.0,0,-0.15227016383357278,0.22
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,-5.0,0,-0.15227016383357278,0.09
108,-5.0,0,-0.15227016383357278,0.22
109,-10.0,0,-0.30454032766714556,0.305
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,0.0,0,0.0,0.0
115,-10.0,0,-0.30454032766714556,0.275
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,-5.0,0,-0.15227016383357278,0.195
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,0.0,0,0.0,0.0
126,0.0,0,0.0,0.0
127,-15.0,0,-0.45681049150071834,0.26
128,0.0,0,0.0,0.0
129,-5.0,0,-0.15227016383357278,0.08
130,-5.0,0,-0.15227016383357278,0.16
131,-5.0,0,-0.15227016383357278,0.19
132,0.0,0,0.0,0.0
133,-5.0,0,-0.15227016383357278,0.15
134,0.0,0,0.0,0.0
135,-5.0,0,-0.15227016383357278,0.12
136,-5.0,0,-0.15227016383357278,0.14
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,0.0,0,0.0,0.0
141,0.0,0,0.0,0.0
142,-5.0,0,-0.15227016383357278,0.13
143,0.0,0,0.0,0.0
144,0.0,0,0.0,0.0
145,-5.0,0,-0.15227016383357278,0.085
146,-5.0,0,-0.15227016383357278,0.005
147,-15.0,0,-0.45681049150071834,0.24
148,0.0,0,0.0,0.0
149,-5.0,0,-0.15227016383357278,0.11
150,0.0,0,0.0,0.0
151,-10.0,0,-0.30454032766714556,0.18
152,0.0,0,0.0,0.0
153,-5.0,0,-0.15227016383357278,0.03
154,0.0,0,0.0,0.0
155,-5.0,0,-0.15227016383357278,0.055
156,-5.0,0,-0.15227016383357278,0.23
157,-20.0,0,-0.6090806553342911,0.455
158,-5.0,0,-0.15227016383357278,0.12
159,-5.0,0,-0.15227016383357278,0.15
160,0.0,0,0.0,0.0
161,-5.0,0,-0.15227016383357278,0.04
162,-5.0,0,-0.15227016383357278,0.145
163,0.0,0,0.0,0.0
164,-10.0,0,-0.30454032766714556,0.125
165,-5.0,0,-0.15227016383357278,0.225
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,0.0,0,0.0,0.0
170,0.0,0,0.0,0.0
171,0.0,0,0.0,0.0
172,-5.0,0,-0.15227016383357278,0.145
173,0.0,0,0.0,0.0
174,-10.0,0,-0.30454032766714556,0.31
175,-10.0,0,-0.30454032766714556,0.18
176,0.0,0,0.0,0.0
177,0.0,0,0.0,0.0
178,-5.0,0,-0.15227016383357278,0.145
179,-5.0,0,-0.15227016383357278,0.005
180,0.0,0,0.0,0.0
181,0.0,0,0.0,0.0
182,-5.0,0,-0.15227016383357278,0.175
183,-5.0,0,-0.15227016383357278,0.04
184,0.0,0,0.0,0.0
185,-5.0,0,-0.15227016383357278,0.105
186,-5.0,0,-0.15227016383357278,0.065
187,0.0,0,0.0,0.0
188,0.0,0,0.0,0.0
189,-10.0,0,-0.30454032766714556,0.125
190,-10.0,0,-0.30454032766714556,0.25
191,-5.0,0,-0.15227016383357278,0.22
192,-5.0,0,-0.15227016383357278,0.12
193,0.0,0,0.0,0.0
194,-5.0,0,-0.15227016383357278,0.23
195,0.0,0,0.0,0.0
196,-15.0,0,-0.45681049150071834,0.42
197,0.0,0,0.0,0.0
198,-10.0,0,-0.30454032766714556,0.105
199,0.0,0,0.0,0.0
200,0.0,0,0.0,0.0
201,0.0,0,0.0,0.0
202,-5.0,0,-0.15227016383357278,0.01
203,-10.0,0,-0.30454032766714556,0.425
204,0.0,0,0.0,0.0
205,-5.0,0,-0.15227016383357278,0.2
206,0.0,0,0.0,0.0
207,0.0,0,0.0,0.0
208,0.0,0,0.0,0.0
209,-20.0,0,-0.6090806553342911,0.495
210,-15.0,0,-0.45681049150071834,0.42
211,0.0,0,0.0,0.0
212,-5.0,0,-0.15227016383357278,0.215
213,-5.0,0,-0.15227016383357278,0.085
214,-10.0,0,-0.30454032766714556,0.32
215,0.0,0,0.0,0.0
216,0.0,0,0.0,0.0
217,-15.0,0,-0.45681049150071834,0.295
218,-15.0,0,-0.45681049150071834,0.42
219,-5.0,0,-0.15227016383357278,0.07
220,-5.0,0,-0.15227016383357278,0.14
