Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-17.860227194927614,0,-0.31650567987319056,0.08
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-30.12045438985524,1,-0.6330113597463811,0.02
5,0.0,0,0.0,0.0
6,-10.371207272363343,0,-0.13928018180908375,0.095
7,-16.37120727236332,0,-0.13928018180908375,0.245
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,-48.52045438985518,0,-0.6330113597463811,0.48
11,-28.2848290894534,0,-0.557120727236335,0.05
12,0.0,0,0.0,0.0
13,0.0,0,0.0,0.0
14,-7.571207272363351,0,-0.13928018180908375,0.025
15,0.0,0,0.0,0.0
16,-16.171207272363322,0,-0.13928018180908375,0.24
17,5.399999999999997,0,0.0,0.09
18,-41.45603636181675,0,-0.6964009090454186,0.215
19,-17.342414544726694,0,-0.2785603636181675,0.105
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-37.03143446729097,0,-0.4557858616822743,0.395
24,-36.484829089453385,0,-0.557120727236335,0.255
25,5.399999999999997,0,0.0,0.09
26,-7.771207272363351,0,-0.13928018180908375,0.03
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-7.971207272363351,0,-0.13928018180908375,0.035
33,0.0,0,0.0,0.0
34,-26.34241454472666,0,-0.2785603636181675,0.33
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-76.94086545127013,0,-1.2535216362817536,0.445
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-84.6409087797104,1,-1.2660227194927622,0.65
46,-10.97120727236334,0,-0.13928018180908375,0.11
47,-29.0848290894534,0,-0.557120727236335,0.07
48,-47.91362181709011,0,-0.41784054542725124,0.705
49,-6.97120727236335,0,-0.13928018180908375,0.01
50,-19.142414544726687,0,-0.2785603636181675,0.15
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,-106.23407620694543,1,-1.0508519051736323,1.43
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-165.525,0,0.0,0.825
58,-6.77120727236335,0,-0.13928018180908375,0.005
59,-30.6848290894534,0,-0.557120727236335,0.11
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-10.371207272363343,0,-0.13928018180908375,0.095
63,0.0,0,0.0,0.0
64,0.0,0,0.0,0.0
65,-45.45603636181673,0,-0.6964009090454186,0.315
66,-12.171207272363336,0,-0.13928018180908375,0.14
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,-10.171207272363343,0,-0.13928018180908375,0.09
74,0.0,0,0.0,0.0
75,-202.0549384085113,4,-4.446352028073312,1.6666666666666667
76,0.0,0,0.0,0.0
77,0.0,0,0.0,0.0
78,-39.72045438985521,0,-0.6330113597463811,0.26
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,-16.37120727236332,0,-0.13928018180908375,0.245
82,0.0,0,0.0,0.0
83,-252.62045438985527,0,-0.6330113597463811,1.78
84,0.0,0,0.0,0.0
85,-19.34241454472669,0,-0.2785603636181675,0.155
86,-54.44545438985526,0,-0.6330113597463811,0.435
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,-6.97120727236335,0,-0.13928018180908375,0.01
91,0.0,0,0.0,0.0
92,-32.54241454472665,0,-0.2785603636181675,0.485
93,0.0,0,0.0,0.0
94,0.0,0,0.0,0.0
95,-14.171207272363329,0,-0.13928018180908375,0.19
96,-281.775,0,0.0,1.575
97,-16.37120727236332,0,-0.13928018180908375,0.245
98,-557.1750000000001,0,0.0,6.765
99,0.0,0,0.0,0.0
100,-19.34241454472669,0,-0.2785603636181675,0.155
101,0.0,0,0.0,0.0
102,-254.475,0,0.0,1.44
103,0.0,0,0.0,0.0
104,0.0,0,0.0,0.0
105,-16.37120727236332,0,-0.13928018180908375,0.245
106,0.0,0,0.0,0.0
107,-11.17120727236334,0,-0.13928018180908375,0.115
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,-14.400000000000006,0,0.0,0.585
114,-17.542414544726697,0,-0.2785603636181675,0.11
115,-18.542414544726693,0,-0.2785603636181675,0.135
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,0.0,0,0.0,0.0
119,-51.891661662218596,1,-0.7722915415554649,0.4
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,-282.4462072723634,0,-0.13928018180908375,1.975
125,2.399999999999999,0,0.0,0.015
126,-15.971207272363323,0,-0.13928018180908375,0.235
