agent,risk_scale,pgf_neto,pgf_neto,pgf_neto,tripwires,tripwires,tripwires,robustez,robustez,robustez,flexibilidad,flexibilidad,flexibilidad,reward_total,reward_total,reward_total
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
a2c,0.5,0.0,,1,0.0,,1,,,0,,,0,0.0,,1
a2c,1.0,-0.0013928018180908,,1,0.0,,1,,,0,,,0,-0.1,,1
a2c,1.5,0.0,,1,0.0,,1,,,0,,,0,0.0,,1
a2c,2.0,0.0,,1,0.0,,1,,,0,,,0,0.0,,1
a2c,3.0,0.0,,1,0.0,,1,,,0,,,0,0.0,,1
control,0.5,-0.0858471939503839,0.15064131929116834,9000,0.011666666666666667,0.12727537905489886,9000,,,0,,,0,-3.23,4.939953926289794,9000
control,1.0,-0.0858471939503839,0.15064131929116834,9000,0.011666666666666667,0.12727537905489886,9000,,,0,,,0,-3.35,5.454124305635771,9000
control,1.5,-0.0858471939503839,0.15064131929116834,9000,0.011666666666666667,0.12727537905489886,9000,,,0,,,0,-3.47,6.196507051016117,9000
control,2.0,-0.08757179639290907,0.16471037379800307,9000,0.014333333333333333,0.14188067369979515,9000,,,0,,,0,-3.8171833333333334,9.821759726136525,9000
control,3.0,-0.08899801375040463,0.1594416943274174,9000,0.014,0.13091691140978307,9000,,,0,,,0,-4.05,9.850124223397255,9000
dqn,0.5,-0.1650896278618293,,1,0.02,,1,,,0,,,0,609.4,,1
dqn,1.0,-0.0982439819259091,,1,0.07,,1,,,0,,,0,137.75,,1
dqn,1.5,-0.0470338934023733,,1,0.02,,1,,,0,,,0,12.4,,1
dqn,2.0,-0.0375387230061775,,1,0.02,,1,,,0,,,0,6.55,,1
dqn,3.0,-0.0270302039544412,,1,0.04,,1,,,0,,,0,98.65,,1
dqn_control,0.5,-0.20152209876545088,0.5868183345535405,9000,0.11766666666666667,0.640728884726321,9000,,,0,,,0,-6.994308333333334,26.292457755989123,9000
dqn_control,1.0,-0.2095583700709902,0.6223907233974397,9000,0.11633333333333333,0.5640643352367105,9000,,,0,,,0,-7.922566666666667,25.989024055746196,9000
dqn_control,1.5,-0.2129233935832798,0.6069681761760157,9000,0.108,0.4868562449251117,9000,,,0,,,0,-10.645875,35.172812690402,9000
dqn_control,2.0,-0.20600090443724065,0.5848518058272977,9000,0.094,0.42330120401819954,9000,,,0,,,0,-11.259450000000001,35.42297105756544,9000
dqn_control,3.0,-0.1989575897234386,0.5772146453269109,9000,0.08366666666666667,0.3540439939941055,9000,,,0,,,0,-12.554683333333333,36.80905854789113,9000
ppo,0.5,-0.2937855232044619,,1,0.39,,1,,,0,,,0,371.05,,1
ppo,1.0,-0.0536228699964972,,1,0.0,,1,,,0,,,0,-3.85,,1
ppo,1.5,-0.0417840545427251,,1,0.0,,1,,,0,,,0,-3.0,,1
ppo,2.0,-0.0403912527246342,,1,0.0,,1,,,0,,,0,-2.9,,1
ppo,3.0,-0.0396948518155888,,1,0.0,,1,,,0,,,0,-2.85,,1
simbiosis,0.5,-0.20305883854180146,0.6113971398060966,9000,0.12666666666666668,0.6793838354139414,9000,,,0,,,0,-26.107139944154575,73.28682103173068,9000
simbiosis,1.0,-0.2165512025692508,0.5928253872981195,9000,0.12011111111111111,0.55050107884915,9000,,,0,,,0,-26.419203159908395,62.906032851584364,9000
simbiosis,1.5,-0.22161693035059757,0.6161430633596969,9000,0.11288888888888889,0.50061689790002,9000,,,0,,,0,-26.608490666729747,67.70314062086702,9000
simbiosis,2.0,-0.21912331716855338,0.5968771900875153,9000,0.10755555555555556,0.4449824255682328,9000,,,0,,,0,-25.35830571258315,58.24594950859101,9000
simbiosis,3.0,-0.21382710153043552,0.5834095808692585,9000,0.09577777777777778,0.37823899268571554,9000,,,0,,,0,-26.859869435747097,67.61050256775886,9000
tui,0.5,-0.15069364459919204,0.2984653558493445,3000,0.034,0.2855483250671407,3000,,,0,,,0,-10.750079117301011,19.5522179506827,3000
tui,1.0,-0.15228414685367375,0.3262227973039474,3000,0.034,0.2832032274227717,3000,,,0,,,0,-11.039192452935788,21.11650940136874,3000
tui,1.5,-0.1584842354310438,0.32173616321039433,3000,0.034,0.254687302145117,3000,,,0,,,0,-11.664122806607264,21.574886806369246,3000
tui,2.0,-0.16180756350946132,0.3385794847144422,3000,0.03133333333333333,0.23317306615862834,3000,,,0,,,0,-11.902832639317019,22.485568025569393,3000
tui,3.0,-0.16330444504793482,0.34026405518726976,3000,0.03,0.2155198744248209,3000,,,0,,,0,-11.930985905797924,22.53684584706052,3000
