Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-102.34086545127008,0,-1.2535216362817538,1.08
2,0.0,0,0.0,0.0
3,-18.142414544726694,0,-0.2785603636181675,0.125
4,-15.3424145447267,0,-0.2785603636181675,0.055
5,0.0,0,0.0,0.0
6,-7.17120727236335,0,-0.13928018180908375,0.015
7,-193.35000000000002,0,0.0,0.99
8,-10.371207272363343,0,-0.13928018180908375,0.095
9,0.0,0,0.0,0.0
10,-15.571207272363324,0,-0.13928018180908375,0.225
11,-27.142414544726662,0,-0.2785603636181675,0.35
12,0.0,0,0.0,0.0
13,-222.0,0,0.0,1.17
14,0.0,0,0.0,0.0
15,0.0,0,0.0,0.0
16,0.0,0,0.0,0.0
17,-15.742414544726701,0,-0.2785603636181675,0.065
18,0.0,0,0.0,0.0
19,-136.62613597463812,0,-1.5825283993659527,0.57
20,-23.113621817090056,0,-0.41784054542725124,0.085
21,-10.171207272363343,0,-0.13928018180908375,0.09
22,2.399999999999999,0,0.0,0.015
23,2.399999999999999,0,0.0,0.015
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,-61.42724363418013,0,-0.8356810908545023,0.55
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-9.371207272363346,0,-0.13928018180908375,0.07
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,-322.5,0,0.0,2.04
39,0.0,0,0.0,0.0
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,-15.771207272363323,0,-0.13928018180908375,0.23
47,0.0,0,0.0,0.0
48,-123.1120727236335,0,-1.3928018180908373,1.435
49,-41.7136218170901,0,-0.41784054542725124,0.55
50,-13.371207272363332,0,-0.13928018180908375,0.17
51,-21.742414544726678,0,-0.2785603636181675,0.215
52,-7.771207272363351,0,-0.13928018180908375,0.03
53,-20.542414544726682,0,-0.2785603636181675,0.185
54,-10.97120727236334,0,-0.13928018180908375,0.11
55,-12.171207272363336,0,-0.13928018180908375,0.14
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,-112.35000000000001,0,0.0,0.54
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-11.371207272363339,0,-0.13928018180908375,0.12
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,-44.520454389855246,0,-0.6330113597463811,0.28
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,-73.04090877971048,2,-1.2660227194927622,0.16
76,0.0,0,0.0,0.0
77,-46.256036361816726,0,-0.6964009090454186,0.335
78,-13.97120727236333,0,-0.13928018180908375,0.185
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,-127.85867810147116,0,-1.2914669525367768,1.63
82,-8.37120727236335,0,-0.13928018180908375,0.045
83,-39.48482908945338,0,-0.557120727236335,0.33
84,-57.32045438985526,1,-0.6330113597463811,0.6
85,-81.86286893458193,1,-0.9115717233645486,0.885
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,-56.52045438985525,0,-0.6330113597463811,0.58
91,0.0,0,0.0,0.0
92,-13.7424145447267,0,-0.2785603636181675,0.015
93,-16.171207272363322,0,-0.13928018180908375,0.24
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,-58.92045438985526,0,-0.6330113597463811,0.64
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,0.0,0,0.0,0.0
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-55.62724363418009,0,-0.8356810908545023,0.405
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,-113.01402962880088,3,-3.721828347538505,0.46153846153846156
111,-165.09011256876187,1,-1.7472528142190509,1.98
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-160.42746920425571,2,-1.6006867301063923,1.86
115,4.1999999999999975,0,0.0,0.045
116,0.0,0,0.0,0.0
117,-33.8848290894534,0,-0.557120727236335,0.19
118,-9.771207272363345,0,-0.13928018180908375,0.08
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,-222.0,0,0.0,1.17
124,-13.571207272363331,0,-0.13928018180908375,0.175
125,-31.742414544726646,0,-0.2785603636181675,0.465
126,-20.942414544726685,0,-0.2785603636181675,0.195
127,0.0,0,0.0,0.0
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,-87.44090877971048,0,-1.2660227194927622,0.52
134,-13.171207272363333,0,-0.13928018180908375,0.165
135,0.0,0,0.0,0.0
136,0.0,0,0.0,0.0
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,4.1999999999999975,0,0.0,0.045
140,-1.8000000000000032,0,0.0,0.27
141,-7.17120727236335,0,-0.13928018180908375,0.015
142,-15.7424145447267,0,-0.2785603636181675,0.065
143,-6.77120727236335,0,-0.13928018180908375,0.005
144,0.0,0,0.0,0.0
145,-25.14241454472667,0,-0.2785603636181675,0.3
146,-41.45603636181675,0,-0.6964009090454186,0.215
147,-26.142414544726666,0,-0.2785603636181675,0.325
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,0.0,0,0.0,0.0
151,-144.78031790512614,3,-3.6204665873153843,0.6893939393939394
152,-7.371207272363351,0,-0.13928018180908375,0.02
153,-89.04090877971049,2,-1.2660227194927622,0.56
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
156,-182.70265424768598,0,-4.8578730279175,1.8103448275862069
157,-17.342414544726694,0,-0.2785603636181675,0.105
158,0.0,0,0.0,0.0
159,0.0,0,0.0,0.0
160,-86.78068158478291,1,-0.9495170396195717,0.92
161,-34.71362181709004,0,-0.41784054542725124,0.375
162,-155.47500000000002,0,0.0,1.08
163,-7.17120727236335,0,-0.13928018180908375,0.015
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,-73.85603636181675,0,-0.6964009090454186,1.025
167,0.0,0,0.0,0.0
168,-34.71362181709008,0,-0.41784054542725124,0.375
169,0.0,0,0.0,0.0
170,-44.23143446729095,0,-0.4557858616822743,0.525
171,-11.371207272363339,0,-0.13928018180908375,0.12
172,0.0,0,0.0,0.0
173,0.0,0,0.0,0.0
174,-31.542414544726647,0,-0.2785603636181675,0.46
175,-15.171207272363326,0,-0.13928018180908375,0.215
176,-136.08327999599686,0,-1.5320819998999213,1.595
177,0.0,0,0.0,0.0
178,0.0,0,0.0,0.0
179,0.0,0,0.0,0.0
180,-274.23015083028173,0,-2.375753770757042,2.805
181,-25.742414544726664,0,-0.2785603636181675,0.315
182,0.0,0,0.0,0.0
183,-26.142414544726662,0,-0.2785603636181675,0.325
184,0.0,0,0.0,0.0
185,0.0,0,0.0,0.0
186,-9.371207272363346,0,-0.13928018180908375,0.07
