Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-45.0,0,-0.6267608181408768,3.69
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-10.0,0,-0.13928018180908375,0.67
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,60.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-200.7,0,0.0,14.22
14,-150.0,3,-2.1636805440567977,1.4807692307692308
15,-240.0,0,-2.071739967788345,5.794117647058823
16,0.0,0,0.0,0.0
17,-5.0,0,-0.06964009090454187,0.15
18,-65.75,0,-0.06964009090454187,5.92
19,-10.0,0,-0.13928018180908375,0.19
20,-3.5249999999999986,0,0.0,1.35
21,0.0,0,0.0,0.0
22,-5.0,0,-0.06964009090454187,0.06
23,0.0,0,0.0,0.0
24,-20.0,0,-0.15825283993659528,0.6
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,-5.0,0,-0.06964009090454187,0.2
28,-10.0,0,-0.13928018180908375,0.41
29,-10.0,0,-0.13928018180908375,0.32
30,-114.9,0,0.0,7.74
31,45.0,0,0.0,0.99
32,37.35,0,0.0,0.78
33,0.0,0,0.0,0.0
34,52.35,0,0.0,0.45
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,-5.0,0,-0.06964009090454187,0.28
38,0.0,0,0.0,0.0
39,-40.0,0,-0.31650567987319056,1.4
40,-130.0,3,-1.5119927661875177,0.75
41,-10.0,0,-0.13928018180908375,0.3
42,-15.0,0,-0.20892027271362562,0.24
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,45.0,0,0.0,0.18
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,-5.0,0,-0.06964009090454187,0.16
53,0.0,0,0.0,0.0
54,-20.0,0,-0.15825283993659528,0.92
55,-30.0,0,-0.41784054542725124,0.79
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,-5.0,0,-0.06964009090454187,0.45
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-71.25,0,0.0,4.08
63,0.0,0,0.0,0.0
64,15.0,0,0.0,0.03
65,-5.0,0,-0.06964009090454187,0.46
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,-5.0,0,-0.06964009090454187,0.04
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,-5.0,0,-0.06964009090454187,0.12
75,-45.0,1,-0.38614577077773243,4.16
76,-5.0,0,-0.06964009090454187,0.16
77,0.0,0,0.0,0.0
78,-10.0,0,-0.13928018180908375,0.59
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,-21.75,0,0.0,1.98
83,0.0,0,0.0,0.0
84,-20.0,0,-0.2785603636181675,0.5
85,-30.0,0,-0.29753302174567897,1.81
86,0.0,0,0.0,0.0
87,-40.0,0,-0.557120727236335,2.76
88,-5.0,0,-0.06964009090454187,0.24
89,0.0,0,0.0,0.0
90,-5.0,0,-0.06964009090454187,0.42
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,-40.0,0,-0.31650567987319056,0.6
95,-10.0,0,-0.13928018180908375,0.64
96,-5.0,0,-0.06964009090454187,0.49
97,0.0,0,0.0,0.0
98,-5.0,0,-0.06964009090454187,0.13
99,-130.0,1,-1.9579803582247302,3.4864864864864864
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-20.0,0,-0.2785603636181675,0.68
104,0.0,0,0.0,0.0
105,-40.0,1,-0.31650567987319056,3.76
106,-45.0,1,-0.38614577077773243,2.81
107,0.0,0,0.0,0.0
108,-10.0,0,-0.13928018180908375,0.45
109,-5.0,0,-0.06964009090454187,0.17
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-25.0,0,-0.3482004545227093,0.7
115,0.0,0,0.0,0.0
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,-5.0,0,-0.06964009090454187,0.28
119,0.0,0,0.0,0.0
120,-45.0,1,-0.38614577077773243,4.25
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,-5.0,0,-0.06964009090454187,0.36
126,0.0,0,0.0,0.0
127,-20.0,0,-0.15825283993659528,1.28
128,0.0,0,0.0,0.0
129,-5.0,0,-0.06964009090454187,0.3
130,45.0,0,0.0,0.21
131,-20.0,0,-0.15825283993659528,0.52
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,-5.0,0,-0.06964009090454187,0.26
135,0.0,0,0.0,0.0
136,0.0,0,0.0,0.0
137,-20.0,0,-0.2785603636181675,1.48
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,-40.0,1,-0.31650567987319056,1.6
141,-80.0,1,-0.8736264071095254,1.64
142,13.799999999999997,0,0.0,0.84
143,-5.0,0,-0.06964009090454187,0.49
144,-5.0,0,-0.06964009090454187,0.47
145,0.0,0,0.0,0.0
146,-5.0,0,-0.06964009090454187,0.36
147,0.0,0,0.0,0.0
148,-5.0,0,-0.06964009090454187,0.46
149,0.0,0,0.0,0.0
150,0.0,0,0.0,0.0
151,0.0,0,0.0,0.0
152,0.0,0,0.0,0.0
153,-10.0,0,-0.13928018180908375,0.47
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
