Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.2785603636181675,0.305
2,0.0,0,0.0,0.0
3,-45.0,0,-1.2535216362817536,1.845
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-10.0,0,-0.2785603636181675,0.335
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,60.0,0,0.0,0.15
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-200.7,0,0.0,7.11
14,-150.0,3,-4.327361088113595,0.7403846153846154
15,-240.0,0,-4.14347993557669,2.8970588235294117
16,0.0,0,0.0,0.0
17,-5.0,0,-0.13928018180908375,0.075
18,-65.75,0,-0.13928018180908375,2.96
19,-10.0,0,-0.2785603636181675,0.095
20,-3.5249999999999986,0,0.0,0.675
21,0.0,0,0.0,0.0
22,-5.0,0,-0.13928018180908375,0.03
23,0.0,0,0.0,0.0
24,-20.0,0,-0.31650567987319056,0.3
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,-5.0,0,-0.13928018180908375,0.1
28,-10.0,0,-0.2785603636181675,0.205
29,-10.0,0,-0.2785603636181675,0.16
30,-114.9,0,0.0,3.87
31,45.0,0,0.0,0.495
32,37.35,0,0.0,0.39
33,0.0,0,0.0,0.0
34,52.35,0,0.0,0.225
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,-5.0,0,-0.13928018180908375,0.14
38,0.0,0,0.0,0.0
39,-40.0,0,-0.6330113597463811,0.7
40,-130.0,3,-3.0239855323750353,0.375
41,-10.0,0,-0.2785603636181675,0.15
42,-15.0,0,-0.41784054542725124,0.12
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,45.0,0,0.0,0.09
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,-5.0,0,-0.13928018180908375,0.08
53,0.0,0,0.0,0.0
54,-20.0,0,-0.31650567987319056,0.46
55,-30.0,0,-0.8356810908545025,0.395
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,-5.0,0,-0.13928018180908375,0.225
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-71.25,0,0.0,2.04
63,0.0,0,0.0,0.0
64,15.0,0,0.0,0.015
65,-5.0,0,-0.13928018180908375,0.23
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,-5.0,0,-0.13928018180908375,0.02
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,-5.0,0,-0.13928018180908375,0.06
75,-45.0,1,-0.7722915415554649,2.08
76,-5.0,0,-0.13928018180908375,0.08
77,0.0,0,0.0,0.0
78,-10.0,0,-0.2785603636181675,0.295
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,-21.75,0,0.0,0.99
83,0.0,0,0.0,0.0
84,-20.0,0,-0.557120727236335,0.25
85,-30.0,0,-0.5950660434913579,0.905
86,0.0,0,0.0,0.0
87,-40.0,0,-1.11424145447267,1.38
88,-5.0,0,-0.13928018180908375,0.12
89,0.0,0,0.0,0.0
90,-5.0,0,-0.13928018180908375,0.21
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,-40.0,0,-0.6330113597463811,0.3
95,-10.0,0,-0.2785603636181675,0.32
96,-5.0,0,-0.13928018180908375,0.245
97,0.0,0,0.0,0.0
98,-5.0,0,-0.13928018180908375,0.065
99,-130.0,1,-3.9159607164494603,1.7432432432432432
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-20.0,0,-0.557120727236335,0.34
104,0.0,0,0.0,0.0
105,-40.0,1,-0.6330113597463811,1.88
106,-45.0,1,-0.7722915415554649,1.405
107,0.0,0,0.0,0.0
108,-10.0,0,-0.2785603636181675,0.225
109,-5.0,0,-0.13928018180908375,0.085
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-25.0,0,-0.6964009090454186,0.35
115,0.0,0,0.0,0.0
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,-5.0,0,-0.13928018180908375,0.14
119,0.0,0,0.0,0.0
120,-45.0,1,-0.7722915415554649,2.125
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,-5.0,0,-0.13928018180908375,0.18
126,0.0,0,0.0,0.0
127,-20.0,0,-0.31650567987319056,0.64
128,0.0,0,0.0,0.0
129,-5.0,0,-0.13928018180908375,0.15
130,45.0,0,0.0,0.105
131,-20.0,0,-0.31650567987319056,0.26
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,-5.0,0,-0.13928018180908375,0.13
135,0.0,0,0.0,0.0
136,0.0,0,0.0,0.0
137,-20.0,0,-0.557120727236335,0.74
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,-40.0,1,-0.6330113597463811,0.8
141,-80.0,1,-1.7472528142190509,0.82
142,13.799999999999997,0,0.0,0.42
143,-5.0,0,-0.13928018180908375,0.245
144,-5.0,0,-0.13928018180908375,0.235
145,0.0,0,0.0,0.0
146,-5.0,0,-0.13928018180908375,0.18
147,0.0,0,0.0,0.0
148,-5.0,0,-0.13928018180908375,0.23
149,0.0,0,0.0,0.0
150,0.0,0,0.0,0.0
151,0.0,0,0.0,0.0
152,0.0,0,0.0,0.0
153,-10.0,0,-0.2785603636181675,0.235
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
156,-10.0,0,-0.2785603636181675,0.165
157,0.0,0,0.0,0.0
158,0.0,0,0.0,0.0
159,0.0,0,0.0,0.0
160,0.0,0,0.0,0.0
161,-10.0,0,-0.2785603636181675,0.22
162,0.0,0,0.0,0.0
163,-10.0,0,-0.2785603636181675,0.095
164,0.0,0,0.0,0.0
165,-5.0,0,-0.13928018180908375,0.055
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,-60.0,0,-1.671362181709005,1.72
169,-71.25,0,0.0,2.04
170,0.0,0,0.0,0.0
171,0.0,0,0.0,0.0
172,0.0,0,0.0,0.0
173,0.0,0,0.0,0.0
174,0.0,0,0.0,0.0
175,-40.0,1,-0.6330113597463811,1.84
176,0.0,0,0.0,0.0
177,0.0,0,0.0,0.0
178,0.0,0,0.0,0.0
179,0.0,0,0.0,0.0
180,-40.0,1,-0.6330113597463811,0.32
181,0.0,0,0.0,0.0
182,-5.0,0,-0.13928018180908375,0.035
183,0.0,0,0.0,0.0
184,-245.0,2,-2.4670605186060492,1.8402777777777777
185,-5.0,0,-0.13928018180908375,0.245
186,-10.0,0,-0.2785603636181675,0.285
187,0.0,0,0.0,0.0
188,-20.0,0,-0.557120727236335,0.535
189,0.0,0,0.0,0.0
190,-5.0,0,-0.13928018180908375,0.14
191,-30.0,0,-0.8356810908545025,0.745
192,0.0,0,0.0,0.0
193,0.0,0,0.0,0.0
194,-40.0,0,-1.11424145447267,1.54
195,0.0,0,0.0,0.0
196,0.0,0,0.0,0.0
197,0.0,0,0.0,0.0
198,-80.0,1,-1.2660227194927622,0.7
199,-40.0,1,-0.6330113597463811,0.08
200,0.0,0,0.0,0.0
201,0.0,0,0.0,0.0
202,0.0,0,0.0,0.0
203,0.0,0,0.0,0.0
204,-80.0,1,-1.7472528142190509,0.32
205,-65.0,0,-1.8106423635180886,1.685
206,60.0,0,0.0,0.285
207,0.0,0,0.0,0.0
208,-5.0,0,-0.13928018180908375,0.085
209,-5.0,0,-0.13928018180908375,0.02
210,-10.0,0,-0.2785603636181675,0.29
211,44.475,0,0.0,0.315
212,0.0,0,0.0,0.0
213,-80.0,1,-1.5066377668559068,1.47
214,-20.0,0,-0.31650567987319056,0.42
215,0.0,0,0.0,0.0
216,0.0,0,0.0,0.0
217,-5.0,0,-0.13928018180908375,0.245
218,0.0,0,0.0,0.0
219,0.0,0,0.0,0.0
220,0.0,0,0.0,0.0
221,-21.75,0,0.0,0.99
222,0.0,0,0.0,0.0
223,0.0,0,0.0,0.0
224,-10.0,0,-0.2785603636181675,0.44
225,-70.0,1,-1.228077403237739,3.07
226,0.0,0,0.0,0.0
227,-20.0,0,-0.31650567987319056,0.42
228,0.0,0,0.0,0.0
229,0.0,0,0.0,0.0
230,-5.0,0,-0.13928018180908375,0.005
231,0.0,0,0.0,0.0
232,0.0,0,0.0,0.0
233,0.0,0,0.0,0.0
234,0.0,0,0.0,0.0
235,0.0,0,0.0,0.0
236,-20.0,0,-0.557120727236335,0.25
237,0.0,0,0.0,0.0
238,0.0,0,0.0,0.0
239,0.0,0,0.0,0.0
240,-5.0,0,-0.13928018180908375,0.065
241,0.0,0,0.0,0.0
242,-5.0,0,-0.13928018180908375,0.165
243,0.0,0,0.0,0.0
244,0.0,0,0.0,0.0
245,-10.0,0,-0.2785603636181675,0.045
246,0.0,0,0.0,0.0
247,0.0,0,0.0,0.0
248,-5.0,0,-0.13928018180908375,0.19
249,3.3500000000000014,0,-0.4557858616822743,2.71
250,-15.0,0,-0.41784054542725124,0.615
251,0.0,0,0.0,0.0
252,0.0,0,0.0,0.0
253,0.0,0,0.0,0.0
254,0.0,0,0.0,0.0
255,-5.0,0,-0.13928018180908375,0.095
256,0.0,0,0.0,0.0
257,0.0,0,0.0,0.0
258,-15.0,0,-0.41784054542725124,0.43
259,0.0,0,0.0,0.0
260,-5.0,0,-0.13928018180908375,0.245
261,-45.0,0,-1.2535216362817536,1.665
262,0.0,0,0.0,0.0
263,0.0,0,0.0,0.0
264,0.0,0,0.0,0.0
265,0.0,0,0.0,0.0
266,0.0,0,0.0,0.0
267,-10.0,0,-0.2785603636181675,0.395
268,0.0,0,0.0,0.0
269,-60.0,0,-0.9495170396195717,0.68
270,-25.0,0,-0.4557858616822743,0.265
271,0.0,0,0.0,0.0
272,-20.0,0,-0.557120727236335,0.57
273,0.0,0,0.0,0.0
274,0.0,0,0.0,0.0
275,0.0,0,0.0,0.0
276,0.0,0,0.0,0.0
277,29.475,0,0.0,0.3
278,-54.95,0,-0.13928018180908375,1.675
279,0.0,0,0.0,0.0
280,-40.0,0,-0.6330113597463811,0.62
281,0.0,0,0.0,0.0
282,-40.0,1,-0.6330113597463811,0.32
283,-130.0,3,-2.303988977047646,0.47619047619047616
284,0.0,0,0.0,0.0
285,0.0,0,0.0,0.0
286,0.0,0,0.0,0.0
287,-125.0,2,-2.0366856062740832,1.335
288,-5.0,0,-0.13928018180908375,0.175
289,-5.0,0,-0.13928018180908375,0.11
290,0.0,0,0.0,0.0
291,0.0,0,0.0,0.0
292,0.0,0,0.0,0.0
293,0.0,0,0.0,0.0
294,30.0,0,0.0,0.045
295,-5.0,0,-0.13928018180908375,0.21
296,0.0,0,0.0,0.0
297,0.0,0,0.0,0.0
298,0.0,0,0.0,0.0
299,0.0,0,0.0,0.0
300,-5.0,0,-0.13928018180908375,0.14
301,-20.0,0,-0.557120727236335,0.83
302,-5.0,0,-0.13928018180908375,0.245
303,-125.0,2,-1.4416195627827253,0.41
304,-40.0,0,-0.6330113597463811,0.06
305,0.0,0,0.0,0.0
306,0.0,0,0.0,0.0
307,0.0,0,0.0,0.0
308,0.0,0,0.0,0.0
309,0.0,0,0.0,0.0
310,0.0,0,0.0,0.0
311,0.0,0,0.0,0.0
312,-40.0,0,-1.11424145447267,1.06
313,0.0,0,0.0,0.0
314,-5.0,0,-0.13928018180908375,0.04
315,0.0,0,0.0,0.0
316,0.0,0,0.0,0.0
317,0.0,0,0.0,0.0
318,0.0,0,0.0,0.0
319,0.0,0,0.0,0.0
320,-20.0,0,-0.557120727236335,0.27
321,0.0,0,0.0,0.0
322,0.0,0,0.0,0.0
323,-25.0,0,-0.6964009090454186,0.45
324,0.0,0,0.0,0.0
325,0.0,0,0.0,0.0
326,0.0,0,0.0,0.0
327,0.0,0,0.0,0.0
328,-12.524999999999999,0,0.0,0.825
329,0.0,0,0.0,0.0
330,0.0,0,0.0,0.0
331,-35.0,0,-0.9749612726635862,0.935
332,0.0,0,0.0,0.0
333,0.0,0,0.0,0.0
334,0.0,0,0.0,0.0
335,-5.0,0,-0.13928018180908375,0.005
336,0.0,0,0.0,0.0
337,0.0,0,0.0,0.0
338,0.0,0,0.0,0.0
339,0.0,0,0.0,0.0
340,0.0,0,0.0,0.0
341,-25.0,0,-0.6964009090454186,0.235
342,0.0,0,0.0,0.0
343,0.0,0,0.0,0.0
344,0.0,0,0.0,0.0
345,0.0,0,0.0,0.0
346,0.0,0,0.0,0.0
347,0.0,0,0.0,0.0
348,0.0,0,0.0,0.0
349,-5.0,0,-0.13928018180908375,0.025
350,0.0,0,0.0,0.0
351,0.0,0,0.0,0.0
352,-10.0,0,-0.2785603636181675,0.075
353,0.0,0,0.0,0.0
354,60.0,0,0.0,0.15
355,0.0,0,0.0,0.0
356,0.0,0,0.0,0.0
357,-25.0,0,-0.6964009090454186,0.43
358,0.0,0,0.0,0.0
359,0.0,0,0.0,0.0
360,-5.0,0,-0.13928018180908375,0.215
361,-10.0,0,-0.2785603636181675,0.24
362,0.0,0,0.0,0.0
363,0.0,0,0.0,0.0
364,-5.0,0,-0.13928018180908375,0.085
365,0.0,0,0.0,0.0
366,0.0,0,0.0,0.0
367,0.0,0,0.0,0.0
368,0.0,0,0.0,0.0
369,-10.0,0,-0.2785603636181675,0.185
370,-15.0,0,-0.41784054542725124,0.245
371,0.0,0,0.0,0.0
372,-120.0,2,-2.227104658154317,1.671875
373,-5.0,0,-0.13928018180908375,0.03
374,0.0,0,0.0,0.0
375,-10.0,0,-0.2785603636181675,0.275
376,0.0,0,0.0,0.0
377,0.0,0,0.0,0.0
378,0.0,0,0.0,0.0
379,-5.0,0,-0.13928018180908375,0.045
380,-35.0,0,-0.9749612726635861,1.115
381,0.0,0,0.0,0.0
382,-130.0,3,-2.1503897119111364,0.35555555555555557
383,-5.0,0,-0.13928018180908375,0.03
384,-5.0,0,-0.13928018180908375,0.03
385,-5.0,0,-0.13928018180908375,0.055
386,0.0,0,0.0,0.0
387,0.0,0,0.0,0.0
388,0.0,0,0.0,0.0
