agent,risk_scale,reward,reward,reward,tripwires,tripwires,tripwires
,,mean,std,count,mean,std,count
a2c_sota,0.5,0.0,0.0,6,0.0,0.0,6
a2c_sota,1.0,0.0,0.0,4,0.0,0.0,4
a2c_sota,1.5,0.0,0.0,3,0.0,0.0,3
a2c_sota,2.0,0.0,0.0,3,0.0,0.0,3
a2c_sota,3.0,0.0,0.0,3,0.0,0.0,3
control,0.5,-3.23,4.939953926289794,9000,0.011666666666666667,0.12727537905489886,9000
control,1.0,-3.35,5.454124305635771,9000,0.011666666666666667,0.12727537905489886,9000
control,1.5,-3.47,6.196507051016117,9000,0.011666666666666667,0.12727537905489886,9000
control,2.0,-3.8171833333333334,9.821759726136525,9000,0.014333333333333333,0.14188067369979515,9000
control,3.0,-4.05,9.850124223397255,9000,0.014,0.13091691140978307,9000
dqn_control,0.5,-6.994308333333334,26.292457755989123,9000,0.11766666666666667,0.640728884726321,9000
dqn_control,1.0,-7.922566666666667,25.989024055746196,9000,0.11633333333333333,0.5640643352367105,9000
dqn_control,1.5,-10.645875,35.172812690402,9000,0.108,0.4868562449251117,9000
dqn_control,2.0,-11.259450000000001,35.42297105756544,9000,0.094,0.42330120401819954,9000
dqn_control,3.0,-12.554683333333333,36.80905854789113,9000,0.08366666666666667,0.3540439939941055,9000
dqn_sota,0.5,-1.6666666666666667,2.8867513459481287,3,0.0,0.0,3
dqn_sota,1.0,-6.666666666666667,11.547005383792515,3,0.3333333333333333,0.5773502691896258,3
dqn_sota,1.5,-5.0,8.660254037844387,3,0.0,0.0,3
dqn_sota,2.0,-13.333333333333334,23.09401076758503,3,0.3333333333333333,0.5773502691896258,3
dqn_sota,3.0,-10.0,17.320508075688775,3,0.0,0.0,3
ppo_sota,0.5,322.5,353.28104959083214,6,0.0,0.0,6
ppo_sota,1.0,0.0,0.0,6,0.0,0.0,6
ppo_sota,1.5,0.0,0.0,6,0.0,0.0,6
ppo_sota,2.0,0.0,0.0,6,0.0,0.0,6
ppo_sota,3.0,0.0,0.0,6,0.0,0.0,6
simbiosis,0.5,-26.107139944154575,73.28682103173068,9000,0.12666666666666668,0.6793838354139414,9000
simbiosis,1.0,-26.419203159908395,62.906032851584364,9000,0.12011111111111111,0.55050107884915,9000
simbiosis,1.5,-26.608490666729747,67.70314062086702,9000,0.11288888888888889,0.50061689790002,9000
simbiosis,2.0,-25.35830571258315,58.24594950859101,9000,0.10755555555555556,0.4449824255682328,9000
simbiosis,3.0,-26.859869435747097,67.61050256775886,9000,0.09577777777777778,0.37823899268571554,9000
tui,0.5,-10.750079117301011,19.5522179506827,3000,0.034,0.2855483250671407,3000
tui,1.0,-11.039192452935788,21.11650940136874,3000,0.034,0.2832032274227717,3000
tui,1.5,-11.664122806607264,21.574886806369246,3000,0.034,0.254687302145117,3000
tui,2.0,-11.902832639317019,22.485568025569393,3000,0.03133333333333333,0.23317306615862834,3000
tui,3.0,-11.930985905797924,22.53684584706052,3000,0.03,0.2155198744248209,3000
