Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-37.464009090454184,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-235.16332490070334,0,-0.9432664980140675,3.76
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-53.42801818090837,0,-0.2785603636181675,0.79
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,-15.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-787.8502839936596,1,-0.31650567987319056,10.21
14,-283.2073981074339,5,-3.7801849526858478,3.3
15,0.0,0,0.0,0.0
16,-214.5,0,0.0,1.98
17,-21.482004545227092,0,-0.06964009090454187,0.36
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,-27.412641996829763,0,-0.15825283993659528,0.39
