Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-45.0,0,-0.6267608181408768,3.69
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-10.0,0,-0.13928018180908375,0.67
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,60.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-200.7,0,0.0,14.22
14,-110.0,3,-2.1287606772482595,1.25
15,-240.0,0,-2.071739967788345,5.794117647058823
16,0.0,0,0.0,0.0
17,-5.0,0,-0.06964009090454187,0.15
18,-65.75,0,-0.06964009090454187,5.92
19,-10.0,0,-0.13928018180908375,0.19
20,-3.5249999999999986,0,0.0,1.35
