Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.15227016383357278,0.55
2,-5.0,0,-0.07613508191678639,0.21
3,0.0,0,0.0,0.0
4,-10.0,0,-0.15227016383357278,0.76
5,0.0,0,0.0,0.0
6,-5.0,0,-0.07613508191678639,0.05
7,0.0,0,0.0,0.0
8,-5.0,0,-0.07613508191678639,0.25
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-5.0,0,-0.07613508191678639,0.27
13,0.0,0,0.0,0.0
14,-5.0,0,-0.07613508191678639,0.2
15,0.0,0,0.0,0.0
16,-5.0,0,-0.07613508191678639,0.37
17,-5.0,0,-0.07613508191678639,0.2
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
