risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.27114450543924085,-0.0655445054392409,0.20559999999999998,0.02,-4.05
0.5,simbiosis,-0.49851548691939906,-0.10641548691939903,0.3921,0.13,-24.92577434596995
0.5,dqn_control,-0.5353503397636896,-0.08255033976368965,0.45280000000000004,0.1,12.1
1.0,control,-0.2823445054392409,-0.0655445054392409,0.2168,0.02,-4.25
1.0,simbiosis,-0.5223980153187651,-0.10799801531876499,0.41440000000000005,0.14,-26.119900765938247
1.0,dqn_control,-0.5578467406727351,-0.08324674067273508,0.4746,0.1,10.7
1.5,control,-0.2935445054392409,-0.0655445054392409,0.22799999999999998,0.02,-4.45
1.5,simbiosis,-0.5268795986261694,-0.10817959862616938,0.41870000000000007,0.14,-26.343979931308464
1.5,dqn_control,-0.5576467406727351,-0.08324674067273508,0.47440000000000004,0.1,7.4
2.0,control,-0.27378424750423425,-0.07929193981192652,0.1944923076923077,0.03,-5.3
2.0,simbiosis,-0.5777566209529439,-0.11927934822567124,0.4584772727272727,0.16,-28.7620032891014
2.0,dqn_control,-0.5802283239801396,-0.08342832398013948,0.4968,0.1,4.55
3.0,control,-0.2570376970445464,-0.07199603037787974,0.18504166666666666,0.02,-5.0
3.0,simbiosis,-0.6100974141337733,-0.09357691123241936,0.5165205029013539,0.1,-30.368665616780167
3.0,dqn_control,-0.6275630681633168,-0.08875354435379303,0.5388095238095238,0.1,1.9
