Episodio,Recompensa_Simbiosis,Tripwires_Simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-32.964009090454184,0,-0.13928018180908375,0.52
2,-5.982004545227094,0,-0.06964009090454187,0.05
3,0.0,0,0.0,0.0
4,0.0,0,0.0,0.0
5,-59.325283993659525,1,-0.31650567987319056,0.87
6,-34.94601363568128,0,-0.20892027271362562,0.49
7,-26.982004545227092,0,-0.06964009090454187,0.47
8,0.0,0,0.0,0.0
9,-46.5,0,0.0,0.93
10,-18.482004545227092,0,-0.06964009090454187,0.3
11,0.0,0,0.0,0.0
12,-93.41264199682976,0,-0.15825283993659528,1.71
13,-514.5,0,0.0,10.29
14,-3.0,0,0.0,0.06
15,-43.91264199682976,0,-0.15825283993659528,0.72
16,-22.5,0,0.0,0.45
17,-17.964009090454187,0,-0.13928018180908375,0.22
18,-39.464009090454184,0,-0.13928018180908375,0.65
19,-4.482004545227094,0,-0.06964009090454187,0.02
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-27.412641996829763,0,-0.15825283993659528,0.39
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-14.964009090454187,0,-0.13928018180908375,0.16
34,-44.464009090454184,0,-0.13928018180908375,0.75
35,-77.89464654205685,0,-0.22789293084113715,1.33
36,-15.412641996829763,0,-0.15825283993659528,0.15
37,0.0,0,0.0,0.0
38,-8.982004545227094,0,-0.06964009090454187,0.11
39,0.0,0,0.0,0.0
40,-34.464009090454184,0,-0.13928018180908375,0.55
41,-70.5,0,0.0,1.41
42,-4.482004545227094,0,-0.06964009090454187,0.02
43,-15.482004545227094,0,-0.06964009090454187,0.24
44,0.0,0,0.0,0.0
45,-35.44601363568128,0,-0.20892027271362562,0.5
46,-92.55848452434104,2,-0.6927337132838519,1.2765957446808511
47,-60.30728853888662,1,-0.38614577077773243,0.82
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,-19.5,0,0.0,0.39
52,-124.30728853888661,1,-0.38614577077773243,2.1
53,-17.982004545227092,0,-0.06964009090454187,0.29
54,-14.482004545227094,0,-0.06964009090454187,0.22
55,-33.94601363568128,0,-0.20892027271362562,0.47
56,0.0,0,0.0,0.0
57,-117.82528399365953,1,-0.31650567987319056,2.04
58,0.0,0,0.0,0.0
59,-93.0,0,0.0,1.86
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,-8.482004545227094,0,-0.06964009090454187,0.1
64,-14.964009090454187,0,-0.13928018180908375,0.16
65,-13.482004545227094,0,-0.06964009090454187,0.2
66,-60.446013635681275,0,-0.20892027271362562,1.0
67,0.0,0,0.0,0.0
68,-9.482004545227094,0,-0.06964009090454187,0.12
69,-78.85865563251105,0,-0.3671731126502209,1.21
70,-34.44601363568128,0,-0.20892027271362562,0.48
71,-72.19188425900029,0,-0.48383768518000564,0.96
72,-131.3072885388866,1,-0.38614577077773243,2.24
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,-56.55848452434104,2,-0.7399655573713873,0.5454545454545454
76,0.0,0,0.0,0.0
77,-228.1918842590003,0,-0.48383768518000564,4.08
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,-26.464009090454187,0,-0.13928018180908375,0.39
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,-12.982004545227094,0,-0.06964009090454187,0.19
85,-15.982004545227094,0,-0.06964009090454187,0.25
86,-10.482004545227094,0,-0.06964009090454187,0.14
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,-243.3072885388866,1,-0.38614577077773243,4.48
90,-18.982004545227092,0,-0.06964009090454187,0.31
91,-31.5,0,0.0,0.63
92,-24.482004545227092,0,-0.06964009090454187,0.42
93,0.0,0,0.0,0.0
94,-22.5,0,0.0,0.45
95,-6.482004545227094,0,-0.06964009090454187,0.06
96,-16.982004545227092,0,-0.06964009090454187,0.27
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,0.0,0,0.0,0.0
100,-10.482004545227094,0,-0.06964009090454187,0.14
