agent,risk_scale,"pgf_neto,mean","pgf_neto,std","pgf_neto,count","tripwires,mean","tripwires,std","tripwires,count","robustez,mean","robustez,std","robustez,count","flexibilidad,mean","flexibilidad,std","flexibilidad,count","reward_total,mean","reward_total,std","reward_total,count"
control,0.5,-0.11230870180833055,0.18466927867760397,1500,0.03,0.19610959346353343,1500,,,0,,,0,-4.2,5.634521442671532,1500
control,1.0,-0.11230870180833055,0.18466927867760397,1500,0.03,0.19610959346353343,1500,,,0,,,0,-4.5,6.734010538449923,1500
control,1.5,-0.11230870180833055,0.18466927867760397,1500,0.03,0.19610959346353343,1500,,,0,,,0,-4.8,8.163195361233887,1500
control,2.0,-0.11944088390673056,0.2453220112500999,1500,0.03333333333333333,0.2196688230422486,1500,,,0,,,0,-5.99,20.97450483886307,1500
control,3.0,-0.11545899753451025,0.23162845714408886,1500,0.03,0.18562409381004907,1500,,,0,,,0,-5.756666666666667,13.597820513009609,1500
dqn_control,0.5,-0.11699170990371204,0.22788437196899722,1500,0.06933333333333333,0.3129294469707344,1500,,,0,,,0,9.52,51.12969551877424,1500
dqn_control,1.0,-0.11773022315674948,0.22935099055748792,1500,0.06933333333333333,0.3129294469707344,1500,,,0,,,0,6.903333333333333,47.86008476832837,1500
dqn_control,1.5,-0.12551766056018085,0.2654647696966851,1500,0.084,0.36656092436890014,1500,,,0,,,0,5.263333333333334,51.60545259350483,1500
dqn_control,2.0,-0.12925774453705366,0.44240318460772576,1500,0.068,0.31322208103521676,1500,,,0,,,0,3.3033333333333332,51.73124848937119,1500
dqn_control,3.0,-0.1328105523015661,0.4040345370559819,1500,0.068,0.28884532379929656,1500,,,0,,,0,-0.26666666666666666,56.60446035585012,1500
ppo,0.5,-0.2937855232044619,,1,0.39,,1,,,0,,,0,371.05,,1
ppo,1.0,-0.0536228699964972,,1,0.0,,1,,,0,,,0,-3.85,,1
ppo,1.5,-0.0417840545427251,,1,0.0,,1,,,0,,,0,-3.0,,1
ppo,2.0,-0.0403912527246342,,1,0.0,,1,,,0,,,0,-2.9,,1
ppo,3.0,-0.0396948518155888,,1,0.0,,1,,,0,,,0,-2.85,,1
simbiosis,0.5,-0.12849156362797864,0.24785466684426308,1500,0.08133333333333333,0.33881374242631696,1500,,,0,,,0,-17.922456325403544,50.29100391529051,1500
simbiosis,1.0,-0.1286586790602539,0.2515209820470425,1500,0.082,0.3454787553240479,1500,,,0,,,0,-18.570740312633244,48.47256507532542,1500
simbiosis,1.5,-0.13161062625865133,0.264045678364236,1500,0.08933333333333333,0.3671186088139826,1500,,,0,,,0,-20.46487170106326,51.96857981606405,1500
simbiosis,2.0,-0.13821045454466424,0.45090898785976496,1500,0.078,0.33663761414242394,1500,,,0,,,0,-20.75121942742234,52.49205421437788,1500
simbiosis,3.0,-0.14597497148344302,0.4997474183287387,1500,0.08666666666666667,0.33150488062693034,1500,,,0,,,0,-20.92264025220883,51.67038062041414,1500
