risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.1751670820322916,-0.1051620820322916,0.070005,0.014,-3.275
0.5,simbiosis,-0.4308915168325611,-0.246161156118032,0.184730360714529,0.126,-21.78179308455044
0.5,dqn_control,-0.4323555467272567,-0.2419351860127277,0.190420360714529,0.129,-6.054025
0.5,tui,-0.2444815598339597,-0.1528065598339597,0.0916749999999999,0.038,-10.682262393358386
1.0,control,-0.1771770820322916,-0.1051620820322916,0.072015,0.014,-3.415
1.0,simbiosis,-0.4841173280281315,-0.2675824545838796,0.2165348734442518,0.122,-25.724189137043737
1.0,dqn_control,-0.4605697781599202,-0.2558177306698462,0.204752047490074,0.122,-8.104
1.0,tui,-0.2438065121835915,-0.1485104705169248,0.0952960416666666,0.037,-10.701227187575718
1.5,control,-0.1791870820322916,-0.1051620820322916,0.074025,0.014,-3.555
1.5,simbiosis,-0.4776104075199949,-0.2740038934413747,0.2036065140786202,0.122,-22.928540748417248
1.5,dqn_control,-0.4714847807143293,-0.2656130583023756,0.2058717224119536,0.119,-11.060275
1.5,tui,-0.2676311401403509,-0.1579400006024101,0.1096911395379407,0.036,-11.674984086400457
2.0,control,-0.181236785771343,-0.105201785771343,0.0760349999999999,0.014,-3.795
2.0,simbiosis,-0.4635130636841867,-0.2522294279771149,0.2112836357070718,0.092,-23.474553542729225
2.0,dqn_control,-0.5052576834505549,-0.2794595597774257,0.2257981236731292,0.109,-12.049125
2.0,tui,-0.2732245878813115,-0.1587004969722206,0.1145240909090909,0.035,-12.16179863085652
3.0,control,-0.1840198617470611,-0.1049894875974012,0.0790303741496598,0.012,-3.92
3.0,simbiosis,-0.4804933992814165,-0.2589062022106505,0.2215871970707659,0.093,-23.90882581319975
3.0,dqn_control,-0.4167873756535445,-0.2240269219366906,0.192760453716854,0.084,-11.636225
3.0,tui,-0.2821740231471182,-0.1642053618791712,0.1179686612679469,0.03,-12.386899877065582
0.5,control,-0.1713652819212928,-0.1022552819212928,0.06911,0.011,-3.205
0.5,simbiosis,-0.4697728849349104,-0.251702582591751,0.2180703023431595,0.131,-26.351325603851517
0.5,dqn_control,-0.5148810318678041,-0.2637424267095214,0.2511386051582825,0.118,-8.957375
0.5,tui,-0.2351839129608127,-0.1442389129608127,0.090945,0.027,-10.283356518432504
1.0,control,-0.1735702819212929,-0.1022552819212928,0.071315,0.011,-3.325
1.0,simbiosis,-0.5114730581757273,-0.2786665803901686,0.2328064777855586,0.118,-25.91207311043305
1.0,dqn_control,-0.5200339579626986,-0.2837832341453938,0.2362507238173047,0.131,-8.9469
1.0,tui,-0.2401231570275313,-0.1445831570275313,0.0955399999999999,0.027,-10.574926281101249
1.5,control,-0.1757752819212929,-0.1022552819212928,0.07352,0.011,-3.445
1.5,simbiosis,-0.5247281189089574,-0.2794572658530287,0.2452708530559287,0.106,-27.14760515988783
1.5,dqn_control,-0.5160474747037234,-0.2879578363563145,0.2280896383474087,0.113,-11.892175
1.5,tui,-0.2788684094476555,-0.1631799411236779,0.1156884683239775,0.04,-12.207368363971698
2.0,control,-0.1937260194230697,-0.1046228944230697,0.089103125,0.017,-3.99655
