Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-5.0,0,-0.07613508191678639,0.08
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-25.0,0,-0.380675409583932,0.83
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-5.0,0,-0.07613508191678639,0.37
13,0.0,0,0.0,0.0
14,-5.0,0,-0.07613508191678639,0.33
15,-5.0,0,-0.07613508191678639,0.14
16,-10.0,0,-0.15227016383357278,0.45
17,-5.0,0,-0.07613508191678639,0.15
18,-5.0,0,-0.07613508191678639,0.35
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,-20.0,0,-0.30454032766714556,1.26
22,0.0,0,0.0,0.0
23,0.0,0,0.0,0.0
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,-10.0,0,-0.15227016383357278,0.87
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-10.0,0,-0.15227016383357278,0.25
33,0.0,0,0.0,0.0
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,-5.0,0,-0.07613508191678639,0.37
37,-20.0,2,-0.6920492363315377,0.12
38,0.0,0,0.0,0.0
39,-10.0,0,-0.15227016383357278,0.65
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,-10.0,0,-0.15227016383357278,0.14
43,-10.0,1,-0.34602461816576885,0.76
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,-5.0,0,-0.07613508191678639,0.28
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,-5.0,0,-0.07613508191678639,0.3
52,-5.0,0,-0.07613508191678639,0.22
53,0.0,0,0.0,0.0
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,-5.0,0,-0.07613508191678639,0.12
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,-5.0,0,-0.07613508191678639,0.16
64,-10.0,0,-0.15227016383357278,0.66
65,-5.0,0,-0.07613508191678639,0.08
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-5.0,0,-0.07613508191678639,0.05
70,0.0,0,0.0,0.0
71,-5.0,0,-0.07613508191678639,0.12
72,0.0,0,0.0,0.0
73,-5.0,0,-0.07613508191678639,0.16
