Episodio,Recompensa_control,Tripwires_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-5.0,0,-0.15227016383357278,0.04
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-25.0,0,-0.761350819167864,0.415
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-5.0,0,-0.15227016383357278,0.185
13,0.0,0,0.0,0.0
14,-5.0,0,-0.15227016383357278,0.165
15,-5.0,0,-0.15227016383357278,0.07
16,-10.0,0,-0.30454032766714556,0.225
17,-5.0,0,-0.15227016383357278,0.075
18,-5.0,0,-0.15227016383357278,0.175
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,-20.0,0,-0.6090806553342911,0.63
22,0.0,0,0.0,0.0
23,0.0,0,0.0,0.0
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,-10.0,0,-0.30454032766714556,0.435
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-10.0,0,-0.30454032766714556,0.125
33,0.0,0,0.0,0.0
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,-5.0,0,-0.15227016383357278,0.185
37,-130.0,2,-1.4528593997086663,0.24489795918367346
38,0.0,0,0.0,0.0
39,-10.0,0,-0.30454032766714556,0.315
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,-10.0,0,-0.30454032766714556,0.06
43,-60.0,1,-0.6920492363315377,2.22
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,-5.0,0,-0.15227016383357278,0.135
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,-5.0,0,-0.15227016383357278,0.145
52,-5.0,0,-0.15227016383357278,0.105
53,0.0,0,0.0,0.0
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-5.0,0,-0.15227016383357278,0.23
58,-5.0,0,-0.15227016383357278,0.055
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,-5.0,0,-0.15227016383357278,0.075
64,-10.0,0,-0.30454032766714556,0.32
65,-5.0,0,-0.15227016383357278,0.035
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-5.0,0,-0.15227016383357278,0.02
70,0.0,0,0.0,0.0
71,-5.0,0,-0.15227016383357278,0.055
72,0.0,0,0.0,0.0
73,-5.0,0,-0.15227016383357278,0.075
74,0.0,0,0.0,0.0
75,-15.0,0,-0.45681049150071834,0.44
76,-5.0,0,-0.15227016383357278,0.185
77,0.0,0,0.0,0.0
