risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.17516708203229167,-0.10516208203229166,0.07000500000000001,0.014,-3.275
0.5,simbiosis,-0.43089151683256116,-0.24616115611803202,0.18473036071452908,0.126,-21.78179308455044
0.5,dqn_control,-0.43235554672725673,-0.2419351860127277,0.19042036071452909,0.129,-6.054025
0.5,tui,-0.24448155983395972,-0.15280655983395972,0.09167499999999999,0.038,-10.682262393358386
1.0,control,-0.17717708203229166,-0.10516208203229166,0.072015,0.014,-3.415
1.0,simbiosis,-0.4841173280281315,-0.26758245458387964,0.21653487344425187,0.122,-25.724189137043737
1.0,dqn_control,-0.46056977815992023,-0.2558177306698462,0.20475204749007406,0.122,-8.104
1.0,tui,-0.2438065121835915,-0.14851047051692484,0.09529604166666666,0.037,-10.701227187575718
1.5,control,-0.17918708203229167,-0.10516208203229166,0.07402500000000001,0.014,-3.555
1.5,simbiosis,-0.47761040751999495,-0.2740038934413747,0.20360651407862027,0.122,-22.928540748417248
1.5,dqn_control,-0.4714847807143293,-0.26561305830237564,0.20587172241195362,0.119,-11.060275
1.5,tui,-0.26763114014035094,-0.15794000060241015,0.10969113953794078,0.036,-11.674984086400455
2.0,control,-0.18123678577134308,-0.10520178577134308,0.07603499999999999,0.014,-3.795
2.0,simbiosis,-0.4635130636841867,-0.2522294279771149,0.21128363570707182,0.092,-23.474553542729222
2.0,dqn_control,-0.5052576834505549,-0.27945955977742576,0.2257981236731292,0.109,-12.049125
2.0,tui,-0.27322458788131154,-0.15870049697222066,0.11452409090909091,0.035,-12.16179863085652
3.0,control,-0.1840198617470611,-0.10498948759740123,0.07903037414965987,0.012,-3.92
3.0,simbiosis,-0.4804933992814165,-0.2589062022106505,0.22158719707076596,0.093,-23.90882581319975
3.0,dqn_control,-0.41678737565354457,-0.2240269219366906,0.192760453716854,0.084,-11.636225
3.0,tui,-0.28217402314711826,-0.16420536187917123,0.11796866126794699,0.03,-12.386899877065582
