Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-102.34086545127008,0,-1.2535216362817538,1.08
2,0.0,0,0.0,0.0
3,-18.142414544726694,0,-0.2785603636181675,0.125
4,-15.3424145447267,0,-0.2785603636181675,0.055
5,0.0,0,0.0,0.0
6,-7.17120727236335,0,-0.13928018180908375,0.015
7,-193.35000000000002,0,0.0,0.99
8,-10.371207272363343,0,-0.13928018180908375,0.095
9,0.0,0,0.0,0.0
10,-15.571207272363324,0,-0.13928018180908375,0.225
11,-27.142414544726662,0,-0.2785603636181675,0.35
12,0.0,0,0.0,0.0
13,-222.0,0,0.0,1.17
14,0.0,0,0.0,0.0
15,0.0,0,0.0,0.0
16,0.0,0,0.0,0.0
17,-15.742414544726701,0,-0.2785603636181675,0.065
18,0.0,0,0.0,0.0
19,-133.56590877971047,0,-1.2660227194927622,1.21
20,-23.113621817090056,0,-0.41784054542725124,0.085
21,-10.171207272363343,0,-0.13928018180908375,0.09
22,2.399999999999999,0,0.0,0.015
23,2.399999999999999,0,0.0,0.015
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,0.0,0,0.0,0.0
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,-61.42724363418013,0,-0.8356810908545023,0.55
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-9.371207272363346,0,-0.13928018180908375,0.07
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,-322.5,0,0.0,2.04
39,0.0,0,0.0,0.0
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,-15.771207272363323,0,-0.13928018180908375,0.23
47,0.0,0,0.0,0.0
48,-123.1120727236335,0,-1.3928018180908373,1.435
49,-41.7136218170901,0,-0.41784054542725124,0.55
50,-13.371207272363332,0,-0.13928018180908375,0.17
51,-21.742414544726678,0,-0.2785603636181675,0.215
52,-7.771207272363351,0,-0.13928018180908375,0.03
53,-20.542414544726682,0,-0.2785603636181675,0.185
54,-10.97120727236334,0,-0.13928018180908375,0.11
55,-12.171207272363336,0,-0.13928018180908375,0.14
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,-112.35000000000001,0,0.0,0.54
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-11.371207272363339,0,-0.13928018180908375,0.12
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,-30.120454389855233,0,-0.6330113597463811,0.07
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,-56.24090877971048,2,-1.2660227194927622,0.04
76,0.0,0,0.0,0.0
77,-46.256036361816726,0,-0.6964009090454186,0.335
78,-13.97120727236333,0,-0.13928018180908375,0.185
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,-115.85867810147104,0,-1.2914669525367768,1.405
82,-8.37120727236335,0,-0.13928018180908375,0.045
83,-39.48482908945338,0,-0.557120727236335,0.33
84,-74.39545438985525,1,-0.6330113597463811,0.485
85,-59.062868934581886,1,-0.9115717233645486,0.465
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,-33.120454389855226,0,-0.6330113597463811,0.145
91,0.0,0,0.0,0.0
92,-13.7424145447267,0,-0.2785603636181675,0.015
93,-16.171207272363322,0,-0.13928018180908375,0.24
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,-33.72045438985522,0,-0.6330113597463811,0.16
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,0.0,0,0.0,0.0
100,0.0,0,0.0,0.0
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-55.62724363418009,0,-0.8356810908545023,0.405
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,-258.4431807289869,7,-4.431079518224667,1.68
111,0.0,0,0.0,0.0
112,-11.971207272363337,0,-0.13928018180908375,0.135
113,0.0,0,0.0,0.0
114,-14.171207272363329,0,-0.13928018180908375,0.19
115,0.0,0,0.0,0.0
116,-27.72045438985524,1,-0.6330113597463811,0.01
117,-31.684829089453395,0,-0.557120727236335,0.135
118,0.0,0,0.0,0.0
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,-37.513621817090055,0,-0.41784054542725124,0.445
125,0.0,0,0.0,0.0
126,-133.88327999599687,0,-1.5320819998999213,1.54
127,0.0,0,0.0,0.0
128,-14.171207272363329,0,-0.13928018180908375,0.19
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,-134.82120727236332,0,-0.13928018180908375,1.44
133,-13.171207272363333,0,-0.13928018180908375,0.165
134,-28.12045438985524,1,-0.6330113597463811,0.02
135,0.0,0,0.0,0.0
136,-16.66022719492761,0,-0.31650567987319056,0.075
137,-30.52045438985523,1,-0.6330113597463811,0.08
138,0.0,0,0.0,0.0
139,-32.92045438985522,0,-0.6330113597463811,0.14
140,0.0,0,0.0,0.0
141,-42.85603636181675,0,-0.6964009090454186,0.25
142,0.0,0,0.0,0.0
143,0.0,0,0.0,0.0
144,-105.74769802403532,1,-1.4686924506008836,0.975
145,0.0,0,0.0,0.0
146,-26.142414544726666,0,-0.2785603636181675,0.325
147,-25.71362181709006,0,-0.41784054542725124,0.15
148,0.0,0,0.0,0.0
149,-9.371207272363346,0,-0.13928018180908375,0.07
150,-25.742414544726667,0,-0.2785603636181675,0.315
151,0.0,0,0.0,0.0
152,0.0,0,0.0,0.0
153,0.0,0,0.0,0.0
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
156,-295.73183697189415,9,-9.450462381714619,1.1640625
157,0.0,0,0.0,0.0
158,-18.450000000000003,0,0.0,0.27
159,0.0,0,0.0,0.0
160,-9.971207272363344,0,-0.13928018180908375,0.085
161,-46.684829089453345,0,-0.557120727236335,0.51
162,-165.525,0,0.0,0.825
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,0.0,0,0.0,0.0
170,0.0,0,0.0,0.0
171,-8.771207272363348,0,-0.13928018180908375,0.055
172,-96.01211605207388,2,-1.4053029013018459,0.87
173,0.0,0,0.0,0.0
174,0.0,0,0.0,0.0
175,0.0,0,0.0,0.0
176,0.0,0,0.0,0.0
177,0.0,0,0.0,0.0
178,0.0,0,0.0,0.0
179,-115.94086545127011,0,-1.2535216362817536,1.42
180,0.0,0,0.0,0.0
181,0.0,0,0.0,0.0
182,0.0,0,0.0,0.0
183,0.0,0,0.0,0.0
184,-10.97120727236334,0,-0.13928018180908375,0.11
185,0.0,0,0.0,0.0
186,0.0,0,0.0,0.0
187,0.0,0,0.0,0.0
188,0.0,0,0.0,0.0
189,0.0,0,0.0,0.0
190,0.0,0,0.0,0.0
191,0.0,0,0.0,0.0
192,-26.742414544726664,0,-0.2785603636181675,0.34
