Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.13928018180908375,0.61
2,0.0,0,0.0,0.0
3,-45.0,0,-0.6267608181408768,3.69
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-10.0,0,-0.13928018180908375,0.67
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,60.0,0,0.0,0.3
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-200.7,0,0.0,14.22
14,-265.0,5,-2.8568159568418627,4.45
15,-5.0,0,-0.06964009090454187,0.04
16,30.0,0,0.0,0.09
17,0.0,0,0.0,0.0
18,0.0,0,0.0,0.0
19,-45.0,0,-0.6267608181408768,2.66
20,-21.75,0,0.0,1.98
21,0.0,0,0.0,0.0
22,-20.0,0,-0.2785603636181675,1.32
23,-5.0,0,-0.06964009090454187,0.49
24,0.0,0,0.0,0.0
25,-5.0,0,-0.15825283993659528,0.02
26,-10.0,0,-0.13928018180908375,0.38
27,-5.0,0,-0.06964009090454187,0.38
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,-10.0,1,-0.31650567987319056,0.12
32,0.0,0,0.0,0.0
33,-10.0,0,-0.13928018180908375,0.71
34,-10.0,0,-0.31650567987319056,0.21
35,0.0,0,0.0,0.0
36,-17.0,0,-0.15825283993659528,1.57
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-10.0,0,-0.22789293084113715,0.28
40,-265.0,7,-2.442618362566399,4.29
41,-5.0,0,-0.06964009090454187,0.38
42,-5.0,0,-0.06964009090454187,0.01
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,52.35,0,0.0,0.45
46,0.0,0,0.0,0.0
47,-65.0,2,-1.259772177887258,2.64
48,0.0,0,0.0,0.0
49,0.0,0,0.0,0.0
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,0.0,0,0.0,0.0
54,0.0,0,0.0,0.0
55,-20.0,0,-0.3671731126502209,0.43
56,0.0,0,0.0,0.0
57,-10.0,0,-0.13928018180908375,0.83
58,-15.0,0,-0.20892027271362562,0.15
59,-80.0,0,-1.11424145447267,4.22
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-50.775000000000006,0,0.0,3.15
63,0.0,0,0.0,0.0
64,-5.0,0,-0.06964009090454187,0.03
65,0.0,0,0.0,0.0
66,-5.0,0,-0.06964009090454187,0.42
67,5.25,0,0.0,1.08
68,0.0,0,0.0,0.0
69,-5.0,0,-0.06964009090454187,0.19
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,-10.0,0,-0.13928018180908375,0.28
75,0.0,0,0.0,0.0
76,-10.0,0,-0.13928018180908375,0.28
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,-5.0,0,-0.06964009090454187,0.18
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,-5.0,0,-0.06964009090454187,0.04
85,-15.0,0,-0.20892027271362562,0.35
86,-5.0,0,-0.06964009090454187,0.34
87,-10.0,0,-0.13928018180908375,0.06
88,0.0,0,0.0,0.0
89,21.375,0,0.0,2.13
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,0.0,0,0.0,0.0
95,-20.0,0,-0.2785603636181675,0.88
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,-5.0,0,-0.06964009090454187,0.45
99,-15.0,0,-0.20892027271362562,0.81
100,-10.0,1,-0.31650567987319056,0.1
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,-55.0,0,-0.7660409999499604,0.66
104,-70.0,4,-1.6838632649200134,5.05
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,0.0,0,0.0,0.0
108,-5.0,0,-0.06964009090454187,0.17
109,0.0,0,0.0,0.0
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,0.0,0,0.0,0.0
115,-15.0,0,-0.20892027271362562,0.21
116,-140.0,0,-2.6088577372149535,3.888888888888889
117,0.0,0,0.0,0.0
118,-20.0,0,-0.2785603636181675,1.14
119,-10.0,0,-0.13928018180908375,0.89
120,0.0,0,0.0,0.0
121,0.0,0,0.0,0.0
122,-10.0,0,-0.13928018180908375,0.06
123,-10.0,0,-0.13928018180908375,0.24
124,-5.0,0,-0.06964009090454187,0.19
125,0.0,0,0.0,0.0
126,0.0,0,0.0,0.0
127,0.0,0,0.0,0.0
128,-20.0,2,-0.6330113597463811,1.42
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,-5.0,0,-0.06964009090454187,0.09
135,-40.0,3,-1.0887972214286554,1.97
136,0.0,0,0.0,0.0
137,0.0,0,0.0,0.0
138,-5.0,0,-0.06964009090454187,0.14
139,0.0,0,0.0,0.0
140,-40.0,0,-0.557120727236335,1.88
141,0.0,0,0.0,0.0
142,55.0,0,-0.15825283993659528,0.28
143,0.0,0,0.0,0.0
144,-5.0,0,-0.06964009090454187,0.49
145,-10.0,0,-0.13928018180908375,0.51
146,-10.0,0,-0.13928018180908375,0.74
147,0.0,0,0.0,0.0
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,-5.0,0,-0.06964009090454187,0.27
151,-10.0,1,-0.31650567987319056,0.22
152,0.0,0,0.0,0.0
153,-15.0,0,-0.20892027271362562,0.51
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
