risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.18934764096064644,-0.05112764096064643,0.13822000000000004,0.011,-3.205
0.5,simbiosis,-0.558969930035716,-0.1293393253493971,0.429630604686319,0.141,-34.226402080083275
0.5,dqn_control,-0.6341484236713257,-0.1318712133547607,0.5022772103165651,0.118,-8.957375
1.0,control,-0.19375764096064643,-0.05112764096064643,0.14263,0.011,-3.325
1.0,simbiosis,-0.6077447204472596,-0.14618176487614237,0.4615629555711173,0.136,-33.31181942807356
1.0,dqn_control,-0.6143930647073063,-0.1418916170726969,0.4725014476346094,0.131,-8.9469
1.5,control,-0.19816764096064643,-0.05112764096064643,0.14704,0.011,-3.445
1.5,simbiosis,-0.5745162308784045,-0.14230151473363528,0.43221471614476914,0.131,-31.52264856577539
1.5,dqn_control,-0.6001581948729748,-0.14397891817815728,0.4561792766948175,0.113,-11.892175
2.0,control,-0.23051769721153487,-0.05231144721153489,0.17820625,0.017,-3.99655
2.0,simbiosis,-0.5555872715373348,-0.12886713290584093,0.4267201386314938,0.124,-29.577190004229426
2.0,dqn_control,-0.5962768035052831,-0.1270268507608134,0.4692499527444698,0.11,-12.59815
3.0,control,-0.2550203517306366,-0.056609127240840634,0.19841122448979592,0.021,-4.545
3.0,simbiosis,-0.6047813525731566,-0.13864389874196303,0.46613745383119365,0.111,-32.57943645968253
3.0,dqn_control,-0.533086812982705,-0.1137216113737843,0.41936520160892066,0.075,-12.13325
