Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-25.34241454472667,0,-0.2785603636181675,0.305
2,0.0,0,0.0,0.0
3,-132.94086545127007,0,-1.2535216362817536,1.845
4,0.0,0,0.0,0.0
5,0.0,0,0.0,0.0
6,-26.542414544726665,0,-0.2785603636181675,0.335
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,5.999999999999996,0,0.0,0.15
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-632.5753927983666,0,-3.9126375713869037,3.5510204081632653
14,4.1999999999999975,0,0.0,0.045
15,0.0,0,0.0,0.0
16,-21.971207272363337,0,-0.13928018180908375,0.61
17,-8.571207272363349,0,-0.13928018180908375,0.05
18,0.0,0,0.0,0.0
19,-85.29357523894565,2,-5.00899761912939,0.6923076923076923
20,-225.0,0,0.0,1.245
21,-85.29357523894565,2,-1.3289177356873894,0.1836734693877551
22,0.0,0,0.0,0.0
23,0.0,0,0.0,0.0
24,-32.91362181709003,0,-0.41784054542725124,0.33
25,0.0,0,0.0,0.0
26,4.199999999999996,0,0.0,0.195
27,-20.742414544726685,0,-0.2785603636181675,0.19
28,-14.171207272363329,0,-0.13928018180908375,0.19
29,0.0,0,0.0,0.0
30,-23.460227194927615,0,-0.31650567987319056,0.12
31,0.0,0,0.0,0.0
32,-90.00000000000001,0,0.0,0.495
33,0.0,0,0.0,0.0
34,-40.12500000000001,0,0.0,0.315
35,-7.771207272363351,0,-0.13928018180908375,0.03
36,-51.525000000000006,0,0.0,0.525
37,-16.37120727236332,0,-0.13928018180908375,0.245
38,0.0,0,0.0,0.0
39,0.0,0,0.0,0.0
40,-278.01181977521804,0,-2.6702954943804467,2.805
41,-56.520454389855225,1,-0.6330113597463811,0.48
42,-14.171207272363329,0,-0.13928018180908375,0.19
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-40.12500000000001,0,0.0,0.315
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,-127.51398630036054,1,-2.53006533882765,0.9078947368421053
49,-9.771207272363345,0,-0.13928018180908375,0.08
50,0.0,0,0.0,0.0
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,-17.850000000000005,0,0.0,0.255
54,0.0,0,0.0,0.0
55,-20.142414544726687,0,-0.2785603636181675,0.175
56,0.0,0,0.0,0.0
57,-14.571207272363328,0,-0.13928018180908375,0.2
58,0.0,0,0.0,0.0
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,-24.660227194927614,0,-0.31650567987319056,0.15
62,-69.525,0,0.0,0.975
63,-7.971207272363351,0,-0.13928018180908375,0.035
64,-54.12045438985523,0,-0.6330113597463811,0.42
65,-13.97120727236333,0,-0.13928018180908375,0.185
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,-55.25603636181677,0,-0.6964009090454186,0.56
69,0.0,0,0.0,0.0
70,-11.571207272363338,0,-0.13928018180908375,0.125
71,-10.771207272363341,0,-0.13928018180908375,0.105
72,-6.97120727236335,0,-0.13928018180908375,0.01
73,0.0,0,0.0,0.0
74,-27.142414544726662,0,-0.2785603636181675,0.35
75,-43.86022719492764,0,-0.31650567987319056,0.63
76,-23.460227194927615,0,-0.31650567987319056,0.12
77,0.0,0,0.0,0.0
78,-85.29357523894565,2,-1.627924226217052,0.225
79,0.0,0,0.0,0.0
80,-16.37120727236332,0,-0.13928018180908375,0.245
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,-73.85603636181675,0,-0.6964009090454186,1.025
85,0.0,0,0.0,0.0
86,-12.971207272363333,0,-0.13928018180908375,0.16
87,-56.28482908945332,0,-0.557120727236335,0.75
88,-12.371207272363336,0,-0.13928018180908375,0.145
89,0.0,0,0.0,0.0
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,-28.113621817090067,0,-0.41784054542725124,0.21
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,0.0,0,0.0,0.0
99,-33.0848290894534,0,-0.557120727236335,0.17
100,-21.060227194927617,0,-0.31650567987319056,0.06
101,-5.400000000000002,0,0.0,0.21
102,-25.142414544726666,0,-0.2785603636181675,0.3
103,-93.664782511309,2,-2.2525305668480082,0.3515625
104,0.0,0,0.0,0.0
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,-42.12045438985523,1,-0.6330113597463811,0.12
108,-87.69357523894564,2,-1.4155862836670017,0.2608695652173913
109,-93.29357523894565,1,-1.3566035218475434,0.34375
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-85.29357523894565,2,-1.860484829962345,0.2571428571428571
115,-33.06022719492761,0,-0.31650567987319056,0.36
116,-54.25603636181675,0,-0.6964009090454186,0.535
117,0.0,0,0.0,0.0
118,0.0,0,0.0,0.0
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,-7.371207272363351,0,-0.13928018180908375,0.02
122,0.0,0,0.0,0.0
123,-11.371207272363339,0,-0.13928018180908375,0.12
124,0.0,0,0.0,0.0
125,-30.74241454472665,0,-0.2785603636181675,0.44
126,0.0,0,0.0,0.0
127,0.0,0,0.0,0.0
128,-114.4494293591271,1,-1.2462357339781789,1.065
129,0.0,0,0.0,0.0
130,0.0,0,0.0,0.0
131,-57.72045438985523,0,-0.6330113597463811,0.51
132,0.0,0,0.0,0.0
133,0.0,0,0.0,0.0
134,0.0,0,0.0,0.0
135,0.0,0,0.0,0.0
136,0.0,0,0.0,0.0
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,0.0,0,0.0,0.0
140,-217.83015083028155,0,-2.375753770757042,2.445
141,-9.971207272363344,0,-0.13928018180908375,0.085
142,-16.37120727236332,0,-0.13928018180908375,0.245
143,0.0,0,0.0,0.0
144,0.0,0,0.0,0.0
145,0.0,0,0.0,0.0
146,-13.9424145447267,0,-0.2785603636181675,0.02
147,1.799999999999999,0,0.0,0.03
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,-8.971207272363348,0,-0.13928018180908375,0.06
151,0.0,0,0.0,0.0
152,0.0,0,0.0,0.0
153,-136.38765307074294,0,-2.506172798379703,1.2236842105263157
154,0.0,0,0.0,0.0
155,0.0,0,0.0,0.0
156,0.0,0,0.0,0.0
157,0.0,0,0.0,0.0
158,0.0,0,0.0,0.0
159,-112.35000000000001,0,0.0,0.54
160,-16.37120727236332,0,-0.13928018180908375,0.245
161,0.0,0,0.0,0.0
162,0.0,0,0.0,0.0
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,-14.400000000000006,0,0.0,0.585
170,-6.97120727236335,0,-0.13928018180908375,0.01
171,-45.28482908945338,0,-0.557120727236335,0.475
172,0.0,0,0.0,0.0
173,-28.342414544726658,0,-0.2785603636181675,0.38
174,0.0,0,0.0,0.0
175,0.0,0,0.0,0.0
176,0.0,0,0.0,0.0
177,0.0,0,0.0,0.0
178,0.0,0,0.0,0.0
179,0.0,0,0.0,0.0
180,0.0,0,0.0,0.0
181,0.0,0,0.0,0.0
182,0.0,0,0.0,0.0
183,0.0,0,0.0,0.0
184,0.0,0,0.0,0.0
185,0.0,0,0.0,0.0
186,0.0,0,0.0,0.0
187,-14.771207272363327,0,-0.13928018180908375,0.205
188,-104.83598978367236,2,-1.6467705672831343,0.3541666666666667
189,0.0,0,0.0,0.0
190,0.0,0,0.0,0.0
191,0.0,0,0.0,0.0
192,-58.65603636181676,0,-0.6964009090454186,0.645
193,-38.68482908945339,0,-0.557120727236335,0.31
194,-194.302654247686,0,-3.807522102962365,1.6756756756756757
195,0.0,0,0.0,0.0
