Episodio,Recompensa_tui,Tripwires_tui,PGF_Bruto_Avg,PGF_Costo_Avg
1,-32.472419660028706,0,-0.45681049150071834,0.28
2,-11.2908065533429,0,-0.15227016383357278,0.105
3,0.0,0,0.0,0.0
4,-29.381613106685776,0,-0.30454032766714556,0.38
5,0.0,0,0.0,0.0
6,-8.090806553342912,0,-0.15227016383357278,0.025
7,0.0,0,0.0,0.0
8,-12.090806553342897,0,-0.15227016383357278,0.125
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-21.381613106685805,0,-0.30454032766714556,0.18
13,0.0,0,0.0,0.0
14,-11.090806553342901,0,-0.15227016383357278,0.1
15,0.0,0,0.0,0.0
16,-55.76322621337157,0,-0.6090806553342911,0.685
17,-11.090806553342901,0,-0.15227016383357278,0.1
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-30.98161310668577,0,-0.30454032766714556,0.42
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,-25.58161310668579,0,-0.30454032766714556,0.285
27,-27.181613106685784,0,-0.30454032766714556,0.325
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-13.490806553342892,0,-0.15227016383357278,0.16
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,-37.07241966002874,0,-0.45681049150071834,0.395
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,0.0,0,0.0,0.0
40,0.0,0,0.0,0.0
41,-17.58161310668582,0,-0.30454032766714556,0.085
42,-24.381613106685794,0,-0.30454032766714556,0.255
43,-13.690806553342892,0,-0.15227016383357278,0.165
44,-13.690806553342892,0,-0.15227016383357278,0.165
45,0.0,0,0.0,0.0
46,-24.981613106685792,0,-0.30454032766714556,0.27
47,-54.96322621337157,0,-0.6090806553342911,0.665
48,0.0,0,0.0,0.0
49,-9.890806553342905,0,-0.15227016383357278,0.07
50,-33.36322621337166,0,-0.6090806553342911,0.125
51,-28.781613106685782,0,-0.30454032766714556,0.365
52,-22.9816131066858,0,-0.30454032766714556,0.22
53,0.0,0,0.0,0.0
54,-26.981613106685785,0,-0.30454032766714556,0.32
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,0.0,0,0.0,0.0
58,-14.29080655334289,0,-0.15227016383357278,0.18
59,0.0,0,0.0,0.0
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,0.0,0,0.0,0.0
64,-23.1816131066858,0,-0.30454032766714556,0.225
65,0.0,0,0.0,0.0
66,-43.76322621337161,0,-0.6090806553342911,0.385
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,-23.781613106685796,0,-0.30454032766714556,0.24
70,-7.690806553342912,0,-0.15227016383357278,0.015
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,-8.090806553342912,0,-0.15227016383357278,0.025
74,0.0,0,0.0,0.0
75,0.0,0,0.0,0.0
76,0.0,0,0.0,0.0
77,-15.090806553342887,0,-0.15227016383357278,0.2
78,-14.09080655334289,0,-0.15227016383357278,0.175
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,-12.490806553342896,0,-0.15227016383357278,0.135
84,0.0,0,0.0,0.0
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,-43.163226213371615,0,-0.6090806553342911,0.37
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,-31.072419660028753,0,-0.45681049150071834,0.245
98,-33.87241966002873,0,-0.45681049150071834,0.315
99,0.0,0,0.0,0.0
100,-7.690806553342912,0,-0.15227016383357278,0.015
101,0.0,0,0.0,0.0
102,0.0,0,0.0,0.0
103,0.0,0,0.0,0.0
104,-46.363226213371604,0,-0.6090806553342911,0.45
105,0.0,0,0.0,0.0
106,-64.57277600660443,1,-0.8443194001651105,0.445
107,0.0,0,0.0,0.0
108,-21.781613106685803,0,-0.30454032766714556,0.19
109,-8.49080655334291,0,-0.15227016383357278,0.035
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-92.55208846857971,2,-2.9662546077385272,0.5
115,0.0,0,0.0,0.0
116,-26.381613106685787,0,-0.30454032766714556,0.305
117,-29.381613106685776,0,-0.30454032766714556,0.38
118,-16.89080655334288,0,-0.15227016383357278,0.245
119,-80.54483932005752,0,-0.9136209830014367,0.95
120,-46.85403276671455,0,-0.761350819167864,0.285
121,0.0,0,0.0,0.0
122,-25.98161310668579,0,-0.30454032766714556,0.295
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,-11.690806553342899,0,-0.15227016383357278,0.115
126,-8.890806553342909,0,-0.15227016383357278,0.045
127,0.0,0,0.0,0.0
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,-28.981613106685778,0,-0.30454032766714556,0.37
131,0.0,0,0.0,0.0
132,0.0,0,0.0,0.0
133,-55.76322621337157,0,-0.6090806553342911,0.685
134,0.0,0,0.0,0.0
135,-26.581613106685786,0,-0.30454032766714556,0.31
136,-7.290806553342912,0,-0.15227016383357278,0.005
137,-25.58161310668579,0,-0.30454032766714556,0.285
138,0.0,0,0.0,0.0
139,-23.1816131066858,0,-0.30454032766714556,0.225
140,-10.090806553342905,0,-0.15227016383357278,0.075
141,0.0,0,0.0,0.0
142,0.0,0,0.0,0.0
143,-13.490806553342892,0,-0.15227016383357278,0.16
144,-14.690806553342888,0,-0.15227016383357278,0.19
145,0.0,0,0.0,0.0
146,0.0,0,0.0,0.0
147,0.0,0,0.0,0.0
148,-16.290806553342883,0,-0.15227016383357278,0.23
149,0.0,0,0.0,0.0
150,-33.27241966002875,0,-0.45681049150071834,0.3
151,0.0,0,0.0,0.0
152,-10.090806553342905,0,-0.15227016383357278,0.075
153,-9.490806553342907,0,-0.15227016383357278,0.06
154,-125.91531468195137,2,-3.764597901942193,0.6759259259259259
155,-50.16322621337159,0,-0.6090806553342911,0.545
156,-34.67241966002876,0,-0.45681049150071834,0.335
157,0.0,0,0.0,0.0
158,0.0,0,0.0,0.0
159,-21.981613106685803,0,-0.30454032766714556,0.195
160,0.0,0,0.0,0.0
161,0.0,0,0.0,0.0
162,0.0,0,0.0,0.0
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,-9.490806553342907,0,-0.15227016383357278,0.06
166,0.0,0,0.0,0.0
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,-13.490806553342892,0,-0.15227016383357278,0.16
170,-43.96322621337161,0,-0.6090806553342911,0.39
171,-13.090806553342894,0,-0.15227016383357278,0.15
172,0.0,0,0.0,0.0
173,0.0,0,0.0,0.0
174,0.0,0,0.0,0.0
175,0.0,0,0.0,0.0
176,0.0,0,0.0,0.0
177,0.0,0,0.0,0.0
178,0.0,0,0.0,0.0
179,0.0,0,0.0,0.0
180,0.0,0,0.0,0.0
181,-13.690806553342892,0,-0.15227016383357278,0.165
182,0.0,0,0.0,0.0
183,0.0,0,0.0,0.0
184,0.0,0,0.0,0.0
185,0.0,0,0.0,0.0
186,0.0,0,0.0,0.0
187,0.0,0,0.0,0.0
188,0.0,0,0.0,0.0
189,0.0,0,0.0,0.0
190,0.0,0,0.0,0.0
191,0.0,0,0.0,0.0
192,-10.490806553342903,0,-0.15227016383357278,0.085
193,-19.381613106685812,0,-0.30454032766714556,0.13
194,0.0,0,0.0,0.0
195,0.0,0,0.0,0.0
196,0.0,0,0.0,0.0
197,0.0,0,0.0,0.0
198,0.0,0,0.0,0.0
199,0.0,0,0.0,0.0
200,0.0,0,0.0,0.0
201,0.0,0,0.0,0.0
202,0.0,0,0.0,0.0
203,0.0,0,0.0,0.0
204,-20.781613106685807,0,-0.30454032766714556,0.165
205,0.0,0,0.0,0.0
206,0.0,0,0.0,0.0
207,0.0,0,0.0,0.0
208,0.0,0,0.0,0.0
209,-11.2908065533429,0,-0.15227016383357278,0.105
210,0.0,0,0.0,0.0
211,-15.890806553342884,0,-0.15227016383357278,0.22
212,-7.490806553342912,0,-0.15227016383357278,0.01
213,0.0,0,0.0,0.0
214,-31.072419660028753,0,-0.45681049150071834,0.245
215,0.0,0,0.0,0.0
216,-40.27241966002876,0,-0.45681049150071834,0.475
217,-21.581613106685804,0,-0.30454032766714556,0.185
218,0.0,0,0.0,0.0
219,-55.76322621337162,0,-0.6090806553342911,0.685
220,0.0,0,0.0,0.0
221,0.0,0,0.0,0.0
222,-57.76322621337156,0,-0.6090806553342911,0.735
223,0.0,0,0.0,0.0
224,-9.090806553342908,0,-0.15227016383357278,0.05
225,0.0,0,0.0,0.0
226,-14.09080655334289,0,-0.15227016383357278,0.175
227,-13.890806553342891,0,-0.15227016383357278,0.17
228,0.0,0,0.0,0.0
229,-14.890806553342887,0,-0.15227016383357278,0.195
230,-15.381613106685824,0,-0.30454032766714556,0.03
231,0.0,0,0.0,0.0
232,0.0,0,0.0,0.0
233,0.0,0,0.0,0.0
234,-12.490806553342896,0,-0.15227016383357278,0.135
235,-14.890806553342887,0,-0.15227016383357278,0.195
236,0.0,0,0.0,0.0
237,-13.690806553342892,0,-0.15227016383357278,0.165
238,0.0,0,0.0,0.0
239,-36.672419660028766,0,-0.45681049150071834,0.385
240,-13.890806553342891,0,-0.15227016383357278,0.17
241,0.0,0,0.0,0.0
242,0.0,0,0.0,0.0
243,-7.290806553342912,0,-0.15227016383357278,0.005
244,-24.581613106685793,0,-0.30454032766714556,0.26
245,-21.181613106685806,0,-0.30454032766714556,0.175
246,0.0,0,0.0,0.0
247,0.0,0,0.0,0.0
248,0.0,0,0.0,0.0
249,0.0,0,0.0,0.0
250,0.0,0,0.0,0.0
251,0.0,0,0.0,0.0
252,-51.96322621337161,0,-0.6090806553342911,0.59
253,0.0,0,0.0,0.0
254,0.0,0,0.0,0.0
255,-24.381613106685794,0,-0.30454032766714556,0.255
256,-10.690806553342902,0,-0.15227016383357278,0.09
257,0.0,0,0.0,0.0
258,0.0,0,0.0,0.0
259,0.0,0,0.0,0.0
260,-41.87241966002876,0,-0.45681049150071834,0.515
261,-15.090806553342887,0,-0.15227016383357278,0.2
262,-9.690806553342906,0,-0.15227016383357278,0.065
263,0.0,0,0.0,0.0
264,0.0,0,0.0,0.0
265,-10.890806553342902,0,-0.15227016383357278,0.095
266,0.0,0,0.0,0.0
267,0.0,0,0.0,0.0
268,0.0,0,0.0,0.0
269,0.0,0,0.0,0.0
270,0.0,0,0.0,0.0
271,0.0,0,0.0,0.0
272,-32.56322621337165,0,-0.6090806553342911,0.105
273,0.0,0,0.0,0.0
274,-36.072419660028764,0,-0.45681049150071834,0.37
275,-14.781613106685825,0,-0.30454032766714556,0.015
276,0.0,0,0.0,0.0
277,-21.181613106685806,0,-0.30454032766714556,0.175
278,-8.49080655334291,0,-0.15227016383357278,0.035
279,0.0,0,0.0,0.0
280,0.0,0,0.0,0.0
281,0.0,0,0.0,0.0
282,0.0,0,0.0,0.0
283,-79.43564587340043,0,-1.0658911468350096,0.745
284,-17.581613106685822,0,-0.30454032766714556,0.085
285,-50.36322621337159,0,-0.6090806553342911,0.55
286,0.0,0,0.0,0.0
287,0.0,0,0.0,0.0
288,0.0,0,0.0,0.0
289,0.0,0,0.0,0.0
290,-8.890806553342909,0,-0.15227016383357278,0.045
291,0.0,0,0.0,0.0
292,0.0,0,0.0,0.0
293,0.0,0,0.0,0.0
294,0.0,0,0.0,0.0
295,-17.58161310668582,0,-0.30454032766714556,0.085
296,-25.181613106685795,0,-0.30454032766714556,0.275
297,0.0,0,0.0,0.0
298,-18.581613106685815,0,-0.30454032766714556,0.11
299,0.0,0,0.0,0.0
300,0.0,0,0.0,0.0
301,0.0,0,0.0,0.0
302,-40.07241966002878,0,-0.45681049150071834,0.47
303,-33.07241966002873,0,-0.45681049150071834,0.295
304,0.0,0,0.0,0.0
305,0.0,0,0.0,0.0
306,0.0,0,0.0,0.0
307,0.0,0,0.0,0.0
308,-10.090806553342905,0,-0.15227016383357278,0.075
309,0.0,0,0.0,0.0
310,-29.58161310668578,0,-0.30454032766714556,0.385
311,-159.35438911329027,1,-1.148859727832256,2.46
312,-41.163226213371644,0,-0.6090806553342911,0.32
313,-34.36322621337165,0,-0.6090806553342911,0.15
314,-39.072419660028764,0,-0.45681049150071834,0.445
315,-16.290806553342883,0,-0.15227016383357278,0.23
316,0.0,0,0.0,0.0
317,-118.53370157526552,2,-2.0575506421209986,0.6369047619047619
318,-15.490806553342885,0,-0.15227016383357278,0.21
319,0.0,0,0.0,0.0
320,0.0,0,0.0,0.0
321,-33.272419660028724,0,-0.45681049150071834,0.3
322,-8.290806553342911,0,-0.15227016383357278,0.03
323,-56.56322621337158,0,-0.6090806553342911,0.705
324,-7.890806553342912,0,-0.15227016383357278,0.02
325,0.0,0,0.0,0.0
326,0.0,0,0.0,0.0
327,-42.163226213371615,0,-0.6090806553342911,0.345
328,-16.98161310668582,0,-0.30454032766714556,0.07
329,0.0,0,0.0,0.0
330,-23.872419660028736,0,-0.45681049150071834,0.065
331,0.0,0,0.0,0.0
332,0.0,0,0.0,0.0
333,-101.04289502192263,2,-3.58198267170015,0.625
334,0.0,0,0.0,0.0
335,-26.181613106685788,0,-0.30454032766714556,0.3
336,0.0,0,0.0,0.0
337,-10.490806553342903,0,-0.15227016383357278,0.085
338,0.0,0,0.0,0.0
339,0.0,0,0.0,0.0
340,-119.62450812860845,2,-2.2934301258722094,0.4695121951219512
341,-45.363226213371604,0,-0.6090806553342911,0.425
342,0.0,0,0.0,0.0
343,0.0,0,0.0,0.0
344,0.0,0,0.0,0.0
345,-8.890806553342909,0,-0.15227016383357278,0.045
346,-15.381613106685826,0,-0.30454032766714556,0.03
347,-25.67241966002874,0,-0.45681049150071834,0.11
348,0.0,0,0.0,0.0
349,0.0,0,0.0,0.0
350,-127.24519566663321,1,-1.3011298916658287,1.48
351,0.0,0,0.0,0.0
352,-35.07241966002871,0,-0.45681049150071834,0.345
353,0.0,0,0.0,0.0
354,-30.272419660028728,0,-0.45681049150071834,0.225
355,0.0,0,0.0,0.0
356,0.0,0,0.0,0.0
357,0.0,0,0.0,0.0
358,0.0,0,0.0,0.0
359,0.0,0,0.0,0.0
360,0.0,0,0.0,0.0
361,0.0,0,0.0,0.0
362,-16.381613106685826,0,-0.30454032766714556,0.055
363,0.0,0,0.0,0.0
364,0.0,0,0.0,0.0
365,0.0,0,0.0,0.0
366,-7.290806553342912,0,-0.15227016383357278,0.005
367,0.0,0,0.0,0.0
368,0.0,0,0.0,0.0
369,0.0,0,0.0,0.0
370,-44.67241966002879,0,-0.45681049150071834,0.585
371,0.0,0,0.0,0.0
372,0.0,0,0.0,0.0
373,0.0,0,0.0,0.0
374,-45.363226213371604,0,-0.6090806553342911,0.425
375,0.0,0,0.0,0.0
376,0.0,0,0.0,0.0
377,-38.16322621337163,0,-0.6090806553342911,0.245
378,-26.781613106685786,0,-0.30454032766714556,0.315
379,0.0,0,0.0,0.0
380,0.0,0,0.0,0.0
381,0.0,0,0.0,0.0
382,0.0,0,0.0,0.0
383,0.0,0,0.0,0.0
384,-25.672419660028734,0,-0.45681049150071834,0.11
385,0.0,0,0.0,0.0
386,-35.163226213371644,0,-0.6090806553342911,0.17
387,-73.25403276671457,0,-0.761350819167864,0.945
388,-25.58161310668579,0,-0.30454032766714556,0.285
389,0.0,0,0.0,0.0
390,0.0,0,0.0,0.0
391,0.0,0,0.0,0.0
392,-12.290806553342897,0,-0.15227016383357278,0.13
