Episodio,Recompensa_simbiosis,Tripwires_simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-31.912641996829763,0,-0.15825283993659528,0.48
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-21.825283993659525,1,-0.31650567987319056,0.12
5,0.0,0,0.0,0.0
6,-12.982004545227094,0,-0.06964009090454187,0.19
7,-27.982004545227092,0,-0.06964009090454187,0.49
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,-159.82528399365953,0,-0.31650567987319056,2.88
11,-18.928018180908374,0,-0.2785603636181675,0.1
12,0.0,0,0.0,0.0
13,0.0,0,0.0,0.0
14,-5.982004545227094,0,-0.06964009090454187,0.05
15,0.0,0,0.0,0.0
16,-27.482004545227092,0,-0.06964009090454187,0.48
17,-9.0,0,0.0,0.18
18,-38.910022726135466,0,-0.3482004545227093,0.43
19,-11.482004545227094,0,-0.06964009090454187,0.16
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-106.5570045452271,0,-0.06964009090454187,1.61
24,-39.428018180908374,0,-0.2785603636181675,0.51
25,-9.0,0,0.0,0.18
26,-6.482004545227094,0,-0.06964009090454187,0.06
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-6.982004545227094,0,-0.06964009090454187,0.07
33,0.0,0,0.0,0.0
34,-39.964009090454184,0,-0.13928018180908375,0.66
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-68.85603636181673,0,-0.557120727236335,0.82
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-137.55848452434103,1,-0.813962113108526,2.625
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,-45.15,0,0.0,0.45
49,0.0,0,0.0,0.0
50,-13.482004545227094,0,-0.06964009090454187,0.2
51,-68.37403181658965,0,-0.4874806363317931,0.88
52,0.0,0,0.0,0.0
53,-30.0,0,0.0,0.6
54,-21.825283993659525,1,-0.31650567987319056,0.12
55,-139.32004545227093,0,-0.6964009090454187,2.09
56,0.0,0,0.0,0.0
57,-304.6876419968297,0,-0.15825283993659528,2.67
58,0.0,0,0.0,0.0
59,-220.2480636331793,0,-0.9749612726635862,3.43
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,-91.85603636181675,0,-0.557120727236335,1.28
64,-7.482004545227094,0,-0.06964009090454187,0.08
65,0.0,0,0.0,0.0
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,-205.3072885388866,1,-0.38614577077773243,3.72
72,0.0,0,0.0,0.0
73,-18.482004545227092,0,-0.06964009090454187,0.3
74,0.0,0,0.0,0.0
75,0.0,0,0.0,0.0
76,0.0,0,0.0,0.0
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,-27.982004545227092,0,-0.06964009090454187,0.49
82,0.0,0,0.0,0.0
83,-144.82528399365953,0,-0.31650567987319056,2.58
84,0.0,0,0.0,0.0
85,-22.464009090454187,0,-0.13928018180908375,0.31
86,-60.825283993659525,0,-0.31650567987319056,0.9
87,0.0,0,0.0,0.0
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,-4.482004545227094,0,-0.06964009090454187,0.02
91,0.0,0,0.0,0.0
92,-55.464009090454184,0,-0.13928018180908375,0.97
93,0.0,0,0.0,0.0
94,0.0,0,0.0,0.0
95,-22.482004545227092,0,-0.06964009090454187,0.38
96,-418.275,0,0.0,3.15
97,-27.982004545227092,0,-0.06964009090454187,0.49
98,-1014.075,0,0.0,13.53
99,0.0,0,0.0,0.0
100,-21.964009090454187,0,-0.13928018180908375,0.3
101,0.0,0,0.0,0.0
102,-31.5,0,0.0,0.63
103,0.0,0,0.0,0.0
104,0.0,0,0.0,0.0
105,-27.982004545227092,0,-0.06964009090454187,0.49
106,0.0,0,0.0,0.0
107,-18.964009090454187,0,-0.13928018180908375,0.24
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,-343.2,0,0.0,2.64
114,-17.964009090454187,0,-0.13928018180908375,0.22
115,-20.464009090454187,0,-0.13928018180908375,0.27
116,0.0,0,0.0,0.0
117,0.0,0,0.0,0.0
118,0.0,0,0.0,0.0
119,-15.482004545227094,0,-0.06964009090454187,0.24
