Episodio,Recompensa_dqn_control,Tripwires_dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-10.0,0,-0.31650567987319056,0.08
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,-20.0,1,-0.6330113597463811,0.02
5,0.0,0,0.0,0.0
6,-5.0,0,-0.13928018180908375,0.095
7,-5.0,0,-0.13928018180908375,0.245
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,-20.0,0,-0.6330113597463811,0.48
11,-20.0,0,-0.557120727236335,0.05
12,0.0,0,0.0,0.0
13,0.0,0,0.0,0.0
14,-5.0,0,-0.13928018180908375,0.025
15,0.0,0,0.0,0.0
16,-40.0,0,-1.11424145447267,0.645
17,45.0,0,0.0,0.09
18,-25.0,0,-0.6964009090454186,0.215
19,-5.0,0,-0.13928018180908375,0.08
20,0.0,0,0.0,0.0
21,0.0,0,0.0,0.0
22,0.0,0,0.0,0.0
23,-15.0,0,-0.4557858616822743,0.395
24,-20.0,0,-0.557120727236335,0.255
25,45.0,0,0.0,0.09
26,-5.0,0,-0.13928018180908375,0.03
27,0.0,0,0.0,0.0
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-5.0,0,-0.13928018180908375,0.035
33,0.0,0,0.0,0.0
34,-10.0,0,-0.2785603636181675,0.33
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,0.0,0,0.0,0.0
38,0.0,0,0.0,0.0
39,-45.0,0,-1.2535216362817536,0.445
40,0.0,0,0.0,0.0
41,0.0,0,0.0,0.0
42,0.0,0,0.0,0.0
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-20.0,0,-0.6330113597463811,0.53
46,-10.0,0,-0.2785603636181675,0.14
47,-20.0,0,-0.557120727236335,0.07
48,-15.0,0,-0.41784054542725124,0.705
49,-5.0,0,-0.13928018180908375,0.01
50,-25.0,0,-0.6964009090454186,0.275
51,0.0,0,0.0,0.0
52,0.0,0,0.0,0.0
53,-35.0,1,-1.0508519051736323,1.43
54,0.0,0,0.0,0.0
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-12.524999999999999,0,0.0,0.825
58,-5.0,0,-0.13928018180908375,0.005
59,-20.0,0,-0.557120727236335,0.11
60,0.0,0,0.0,0.0
61,0.0,0,0.0,0.0
62,-5.0,0,-0.13928018180908375,0.095
63,0.0,0,0.0,0.0
64,0.0,0,0.0,0.0
65,-25.0,0,-0.6964009090454186,0.315
66,-5.0,0,-0.13928018180908375,0.14
67,0.0,0,0.0,0.0
68,0.0,0,0.0,0.0
69,0.0,0,0.0,0.0
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,-5.0,0,-0.13928018180908375,0.09
74,0.0,0,0.0,0.0
75,-110.0,5,-4.212333500279979,1.763157894736842
76,0.0,0,0.0,0.0
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,0.0,0,0.0,0.0
83,-65.0,0,-0.13928018180908375,2.055
84,-15.0,0,-0.41784054542725124,0.08
85,-5.0,0,-0.13928018180908375,0.22
86,0.0,0,0.0,0.0
87,-20.0,0,-0.557120727236335,0.37
88,60.0,0,0.0,0.15
89,0.0,0,0.0,0.0
90,0.0,0,0.0,0.0
91,0.0,0,0.0,0.0
92,0.0,0,0.0,0.0
93,-60.0,0,-1.6713621817090045,1.74
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,-5.0,0,-0.13928018180908375,0.245
98,-102.575,1,-0.6330113597463811,6.565
99,0.0,0,0.0,0.0
100,-10.0,0,-0.2785603636181675,0.155
101,0.0,0,0.0,0.0
102,-71.25,0,0.0,2.1
103,0.0,0,0.0,0.0
104,0.0,0,0.0,0.0
105,-5.0,0,-0.13928018180908375,0.245
106,0.0,0,0.0,0.0
107,-5.0,0,-0.13928018180908375,0.115
108,0.0,0,0.0,0.0
109,0.0,0,0.0,0.0
110,0.0,0,0.0,0.0
111,0.0,0,0.0,0.0
112,0.0,0,0.0,0.0
113,45.0,0,0.0,0.585
114,-10.0,0,-0.2785603636181675,0.11
115,-10.0,0,-0.2785603636181675,0.135
