episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
1,PGF,23.0,30,3,103.0,0.72,0.3,0.25,1.6666666666666667,4
2,PGF,17.6,30,0,100.0,1.2,0.3,0.25,1.0,4
3,PGF,20.0,30,2,102.0,0.6,0.3,0.3125,2.5,5
4,PGF,22.0,30,2,102.0,0.6,0.3,0.1875,1.5,3
5,PGF,21.6,30,2,102.0,1.5,0.3,0.3125,1.0,5
6,PGF,23.0,30,4,104.0,0.96,0.3,0.25,1.25,4
7,PGF,18.400000000000002,30,0,100.0,1.2,0.3,0.25,1.0,4
8,PGF,19.800000000000004,30,1,101.0,0.39999999999999997,0.3,0.25,3.0,4
9,PGF,17.800000000000004,30,0,100.0,1.2,0.3,0.25,1.0,4
10,PGF,20.0,30,1,101.0,1.7999999999999998,0.3,0.375,1.0,6
11,PGF,19.57,30,1,100.96999999999998,1.5,0.3,0.3125,1.0,5
12,PGF,18.6,30,1,101.0,0.39999999999999997,0.3,0.25,3.0,4
13,PGF,18.6,30,1,101.0,1.2,0.3,0.25,1.0,4
14,PGF,19.6,30,1,101.0,1.2,0.3,0.25,1.0,4
15,PGF,17.6,30,0,100.0,1.2,0.3,0.25,1.0,4
16,PGF,18.6,30,1,101.0,0.39999999999999997,0.3,0.25,3.0,4
17,PGF,18.6,30,1,101.0,1.2,0.3,0.25,1.0,4
18,PGF,20.200000000000003,30,1,101.0,1.2,0.3,0.25,1.0,4
19,PGF,18.6,30,1,101.0,1.2,0.3,0.25,1.0,4
20,PGF,17.6,30,0,100.0,1.2,0.3,0.25,1.0,4
21,PGF,18.6,30,1,101.0,0.6,0.3,0.25,2.0,4
22,PGF,18.6,30,1,101.0,1.2,0.3,0.25,1.0,4
23,PGF,17.6,30,0,100.0,1.2,0.3,0.25,1.0,4
24,PGF,21.8,30,3,103.0,1.5,0.3,0.3125,1.0,5
25,PGF,1632.2000000000005,30,0,1715.0,2.1,0.3,0.4375,1.0,7
26,PGF,17.6,30,0,100.0,1.2,0.3,0.25,1.0,4
27,PGF,17.800000000000004,30,0,100.0,1.2,0.3,0.25,1.0,4
28,PGF,18.200000000000003,30,0,100.0,1.5,0.3,0.3125,1.0,5
29,PGF,20.8,30,2,102.0,0.72,0.3,0.375,2.5,6
30,PGF,17.790000000000003,30,0,99.99,1.5,0.3,0.3125,1.0,5
31,PGF,17.790000000000003,30,0,99.99,1.5,0.3,0.3125,1.0,5
32,PGF,18.790000000000003,30,1,100.99,0.5,0.3,0.3125,3.0,5
33,PGF,17.990000000000002,30,0,99.99,1.7999999999999998,0.3,0.375,1.0,6
34,PGF,19.975,30,2,101.975,1.7999999999999998,0.3,0.375,1.0,6
35,PGF,102.385,30,0,184.985,2.1,0.3,0.4375,1.0,7
36,PGF,2143.1750000000006,30,1,2225.975,0.7000000000000001,0.3,0.4375,3.0,7
37,PGF,2142.2000000000007,30,0,2225.0,2.1,0.3,0.4375,1.0,7
38,PGF,2144.185000000001,30,2,2226.985,0.8400000000000001,0.3,0.4375,2.5,7
39,PGF,2143.1750000000006,30,1,2225.975,2.1,0.3,0.4375,1.0,7
40,PGF,1720.385000000001,30,3,1802.9850000000001,1.44,0.3,0.5,1.6666666666666667,8
41,PGF,2143.2000000000007,30,1,2226.0,0.7000000000000001,0.3,0.4375,3.0,7
42,PGF,2144.2000000000007,30,2,2227.0,1.4000000000000001,0.3,0.4375,1.5,7
43,PGF,2144.2000000000007,30,2,2227.0,0.7000000000000001,0.3,0.4375,3.0,7
44,PGF,2144.2000000000007,30,2,2227.0,0.6,0.3,0.4375,3.5,7
45,PGF,2142.2000000000007,30,0,2225.0,2.1,0.3,0.4375,1.0,7
46,PGF,2143.185000000001,30,1,2225.985,1.05,0.3,0.4375,2.0,7
47,PGF,2142.185000000001,30,0,2224.985,2.1,0.3,0.4375,1.0,7
48,PGF,2144.185000000001,30,2,2226.985,0.8400000000000001,0.3,0.4375,2.5,7
49,PGF,2143.2000000000007,30,1,2226.0,0.525,0.3,0.4375,4.0,7
50,PGF,2143.2000000000007,30,1,2226.0,2.1,0.3,0.4375,1.0,7
51,PGF,2143.2000000000007,30,1,2226.0,0.7000000000000001,0.3,0.4375,3.0,7
52,PGF,2146.2000000000007,30,4,2229.0,1.4000000000000001,0.3,0.4375,1.5,7
53,PGF,2142.2000000000007,30,0,2225.0,2.1,0.3,0.4375,1.0,7
54,PGF,2144.2000000000007,30,2,2227.0,1.4000000000000001,0.3,0.4375,1.5,7
55,PGF,2142.185000000001,30,0,2224.985,2.1,0.3,0.4375,1.0,7
56,PGF,2143.185000000001,30,1,2225.985,1.05,0.3,0.4375,2.0,7
57,PGF,2142.185000000001,30,0,2224.985,2.1,0.3,0.4375,1.0,7
58,PGF,2143.2000000000007,30,1,2226.0,1.05,0.3,0.4375,2.0,7
59,PGF,2144.2000000000007,30,2,2227.0,0.6,0.3,0.4375,3.5,7
60,PGF,2145.2000000000007,30,3,2228.0,1.5750000000000002,0.3,0.4375,1.3333333333333333,7
61,PGF,2143.2000000000007,30,1,2226.0,1.05,0.3,0.4375,2.0,7
62,PGF,2145.2000000000007,30,3,2228.0,0.7875000000000001,0.3,0.4375,2.6666666666666665,7
63,PGF,1718.2000000000005,30,1,1801.0,0.7000000000000001,0.3,0.4375,3.0,7
64,PGF,2143.2000000000007,30,1,2226.0,2.1,0.3,0.4375,1.0,7
65,PGF,1547.2000000000005,30,0,1630.0,2.1,0.3,0.4375,1.0,7
66,PGF,2059.4000000000005,30,2,2142.0,0.96,0.3,0.5,2.5,8
67,PGF,2144.2000000000007,30,2,2227.0,0.8400000000000001,0.3,0.4375,2.5,7
68,PGF,2144.185000000001,30,2,2226.985,2.1,0.3,0.4375,1.0,7
69,PGF,2142.2000000000007,30,0,2225.0,2.1,0.3,0.4375,1.0,7
70,PGF,2143.185000000001,30,1,2225.985,1.05,0.3,0.4375,2.0,7
71,PGF,2057.2000000000007,30,0,2140.0,2.1,0.3,0.4375,1.0,7
72,PGF,2143.2000000000007,30,1,2226.0,0.7000000000000001,0.3,0.4375,3.0,7
73,PGF,867.2000000000002,30,0,950.0,2.1,0.3,0.4375,1.0,7
74,PGF,2144.2000000000007,30,2,2227.0,0.7000000000000001,0.3,0.4375,3.0,7
75,PGF,2144.2000000000007,30,2,2227.0,1.4000000000000001,0.3,0.4375,1.5,7
76,PGF,2143.2000000000007,30,1,2226.0,0.7000000000000001,0.3,0.4375,3.0,7
77,PGF,2144.185000000001,30,2,2226.985,1.4000000000000001,0.3,0.4375,1.5,7
78,PGF,2144.2000000000007,30,2,2227.0,1.4000000000000001,0.3,0.4375,1.5,7
79,PGF,2144.185000000001,30,2,2226.985,1.4000000000000001,0.3,0.4375,1.5,7
80,PGF,2144.2000000000007,30,2,2227.0,0.6,0.3,0.4375,3.5,7
81,PGF,2144.2000000000007,30,2,2227.0,2.1,0.3,0.4375,1.0,7
82,PGF,2144.2000000000007,30,2,2227.0,0.7000000000000001,0.3,0.4375,3.0,7
83,PGF,2142.2000000000007,30,0,2225.0,2.1,0.3,0.4375,1.0,7
84,PGF,2144.2000000000007,30,2,2227.0,2.1,0.3,0.4375,1.0,7
85,PGF,2059.2000000000007,30,1,2141.0,0.525,0.3,0.4375,4.0,7
86,PGF,2143.2000000000007,30,1,2226.0,0.525,0.3,0.4375,4.0,7
