episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
1,PGF,18.400000000000002,30,0,100.0,1.7999999999999998,0.3,0.375,1.0,6
2,PGF,105.2,30,3,188.0,0.8999999999999999,0.3,0.375,2.0,6
3,PGF,111.4,6,2,187.0,0.8999999999999999,0.3,0.375,2.0,6
4,PGF,18.355000000000004,30,0,99.955,1.7999999999999998,0.3,0.375,1.0,6
5,PGF,20.0,30,2,102.0,1.0,0.3,0.3125,1.5,5
6,PGF,18.000000000000004,30,0,100.0,1.7999999999999998,0.3,0.375,1.0,6
7,PGF,105.47,21,0,184.97,2.1,0.3,0.4375,1.0,7
8,PGF,20.37,30,2,101.97,1.2,0.3,0.5,2.0,8
9,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
10,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
11,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
12,PGF,17.985000000000003,30,0,99.985,1.7999999999999998,0.3,0.375,1.0,6
13,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
14,PGF,109.80000000000001,8,1,186.0,0.6,0.3,0.375,3.0,6
15,PGF,108.57000000000001,10,0,184.97,1.7999999999999998,0.3,0.375,1.0,6
16,PGF,110.10000000000001,7,1,186.0,0.6,0.3,0.375,3.0,6
17,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
18,PGF,110.10000000000001,7,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
19,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
20,PGF,109.97,8,1,185.97,1.7999999999999998,0.3,0.375,1.0,6
21,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
22,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
23,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
24,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
25,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
26,PGF,104.58500000000001,22,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
27,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
28,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
29,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
30,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
31,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
32,PGF,110.4,6,1,186.0,0.44999999999999996,0.3,0.375,4.0,6
33,PGF,110.4,6,1,186.0,0.6,0.3,0.375,3.0,6
34,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
35,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
36,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
37,PGF,112.4,6,3,188.0,0.7714285714285714,0.3,0.375,2.3333333333333335,6
38,PGF,109.4,6,0,185.0,1.7999999999999998,0.3,0.375,1.0,6
39,PGF,109.185,10,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
40,PGF,109.39,6,0,184.99,1.7999999999999998,0.3,0.375,1.0,6
41,PGF,111.39,6,2,186.99,0.6,0.3,0.375,3.0,6
42,PGF,110.4,6,1,186.0,1.7999999999999998,0.3,0.375,1.0,6
43,PGF,110.375,6,1,185.975,0.8999999999999999,0.3,0.375,2.0,6
44,PGF,109.375,6,0,184.975,1.7999999999999998,0.3,0.375,1.0,6
45,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
46,PGF,109.39,6,0,184.99,1.7999999999999998,0.3,0.375,1.0,6
47,PGF,111.375,6,2,186.975,1.2,0.3,0.375,1.5,6
48,PGF,111.39,6,2,186.99,1.2,0.3,0.375,1.5,6
49,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
50,PGF,111.385,6,2,186.985,0.8999999999999999,0.3,0.375,2.0,6
51,PGF,109.39,6,0,184.99,1.7999999999999998,0.3,0.375,1.0,6
52,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
53,PGF,110.385,6,1,185.985,1.7999999999999998,0.3,0.375,1.0,6
54,PGF,109.385,6,0,184.985,1.7999999999999998,0.3,0.375,1.0,6
55,PGF,112.385,6,3,187.985,0.8999999999999999,0.3,0.375,2.0,6
56,PGF,111.385,6,2,186.985,0.72,0.3,0.375,2.5,6
57,PGF,110.385,6,1,185.985,0.6,0.3,0.375,3.0,6
