episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
1,30.400000000000006,30,2,102.0,False,False,0.1720768383829392,PGF,favorable,10.0,0.4,42
2,23.599999999999998,30,0,100.0,False,False,0.14805219153934096,PGF,favorable,10.0,0.4,42
3,27.199999999999996,30,1,101.0,False,False,0.12738176517877567,PGF,favorable,10.0,0.4,42
4,29.800000000000008,30,2,102.0,False,False,0.10959725709800847,PGF,favorable,10.0,0.4,42
5,23.999999999999996,30,0,100.0,False,False,0.09429574748433718,PGF,favorable,10.0,0.4,42
6,26.599999999999998,30,1,101.0,False,False,0.08113057050030371,PGF,favorable,10.0,0.4,42
7,30.000000000000007,30,2,102.0,False,False,0.06980346033948207,PGF,favorable,10.0,0.4,42
8,110.60000000000001,6,1,185.0,True,False,0.06773535897137377,PGF,favorable,10.0,0.4,42
9,23.599999999999998,30,0,100.0,False,False,0.05827843209263726,PGF,favorable,10.0,0.4,42
10,115.9,13,3,187.0,True,False,0.05460191930558974,PGF,favorable,10.0,0.4,42
11,116.60000000000001,6,3,187.0,True,False,0.05298420145223345,PGF,favorable,10.0,0.4,42
12,23.599999999999998,30,0,100.0,False,False,0.04558676935072533,PGF,favorable,10.0,0.4,42
13,23.599999999999998,30,0,100.0,False,False,0.03922213570982547,PGF,favorable,10.0,0.4,42
14,26.599999999999998,30,1,101.0,False,False,0.03374610553786674,PGF,favorable,10.0,0.4,42
15,23.599999999999998,30,0,100.0,False,False,0.02903461574346555,PGF,favorable,10.0,0.4,42
16,23.599999999999998,30,0,100.0,False,False,0.024980924403995318,PGF,favorable,10.0,0.4,42
17,26.799999999999997,30,1,101.0,False,False,0.021493192456613623,PGF,favorable,10.0,0.4,42
18,29.790000000000006,30,2,101.99,False,False,0.01849240302345056,PGF,favorable,10.0,0.4,42
19,23.79,30,0,99.99,False,False,0.015910571231892382,PGF,favorable,10.0,0.4,42
20,29.99,30,2,101.99,False,False,0.013689203972252933,PGF,favorable,10.0,0.4,42
21,-12.830000000000027,30,1,100.97,False,False,0.011777974697622285,PGF,favorable,10.0,0.4,42
22,90.58500000000001,6,1,184.985,True,False,0.011429022862466342,PGF,favorable,10.0,0.4,42
23,116.60000000000001,6,3,187.0,True,False,0.011090409594541594,PGF,favorable,10.0,0.4,42
24,116.60000000000001,6,3,187.0,True,False,0.01076182858804413,PGF,favorable,10.0,0.4,42
25,116.60000000000001,6,3,187.0,True,False,0.010442982612242382,PGF,favorable,10.0,0.4,42
26,6.9849999999999675,30,1,100.985,False,False,0.01,PGF,favorable,10.0,0.4,42
27,93.58500000000001,6,2,185.985,True,False,0.01,PGF,favorable,10.0,0.4,42
28,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
29,99.58500000000001,6,4,187.985,True,False,0.01,PGF,favorable,10.0,0.4,42
30,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
31,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
32,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
