episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
1,20.770000000000003,30,1,100.96999999999998,False,False,0.1720768383829392,PGF,harsh,3.33,0.1,123
2,17.400000000000002,30,0,100.0,False,False,0.14805219153934096,PGF,harsh,3.33,0.1,123
3,106.99000000000001,14,1,184.99,True,False,0.13801871219843223,PGF,harsh,3.33,0.1,123
4,20.200000000000003,30,1,101.0,False,False,0.11874911816395511,PGF,harsh,3.33,0.1,123
5,23.6,30,2,102.0,False,False,0.10216986407207726,PGF,harsh,3.33,0.1,123
6,105.39,30,2,185.99,True,False,0.08790533593768854,PGF,harsh,3.33,0.1,123
7,88.36500000000001,20,2,185.96499999999997,True,False,0.07952008816129404,PGF,harsh,3.33,0.1,123
8,1.3849999999999802,30,1,100.985,False,False,0.06841782679364034,PGF,harsh,3.33,0.1,123
9,107.60000000000001,12,1,185.0,True,False,0.0644237861084092,PGF,harsh,3.33,0.1,123
10,17.0,30,0,100.0,False,False,0.05542920715096884,PGF,harsh,3.33,0.1,123
11,90.575,12,2,185.975,True,False,0.05219340562253368,PGF,harsh,3.33,0.1,123
12,89.375,6,1,184.975,True,False,0.05064704598578743,PGF,harsh,3.33,0.1,123
13,95.375,6,3,186.975,True,False,0.04914650110471073,PGF,harsh,3.33,0.1,123
14,0.9749999999999837,30,1,100.975,False,False,0.042284872638411256,PGF,harsh,3.33,0.1,123
15,17.0,30,0,100.0,False,False,0.03638123597521533,PGF,harsh,3.33,0.1,123
16,89.075,7,1,184.975,True,False,0.03512683449051839,PGF,harsh,3.33,0.1,123
17,91.965,8,2,185.96499999999997,True,False,0.03374610553786674,PGF,harsh,3.33,0.1,123
18,89.375,6,1,184.975,True,False,0.03274629311178113,PGF,harsh,3.33,0.1,123
19,92.375,6,2,185.975,True,False,0.03177610261899486,PGF,harsh,3.33,0.1,123
20,89.375,6,1,184.975,True,False,0.030834656435956245,PGF,harsh,3.33,0.1,123
21,92.375,6,2,185.975,True,False,0.029921102940897188,PGF,harsh,3.33,0.1,123
22,92.375,6,2,185.975,True,False,0.02903461574346555,PGF,harsh,3.33,0.1,123
23,68.66000000000001,9,1,184.95999999999998,True,False,0.027753886600795044,PGF,harsh,3.33,0.1,123
24,92.375,6,2,185.975,True,False,0.026931608585202722,PGF,harsh,3.33,0.1,123
25,89.375,6,1,184.975,True,False,0.026133692603823915,PGF,harsh,3.33,0.1,123
26,89.375,6,1,184.975,True,False,0.025359416870717893,PGF,harsh,3.33,0.1,123
27,89.375,6,1,184.975,True,False,0.024608080984650137,PGF,harsh,3.33,0.1,123
28,92.375,6,2,185.975,True,False,0.023879005295517154,PGF,harsh,3.33,0.1,123
29,92.375,6,2,185.975,True,False,0.02317153028954254,PGF,harsh,3.33,0.1,123
30,89.375,6,1,184.975,True,False,0.02248501599268811,PGF,harsh,3.33,0.1,123
31,88.97500000000001,8,1,184.975,True,False,0.02160119844885791,PGF,harsh,3.33,0.1,123
32,92.375,6,2,185.975,True,False,0.020961209143920925,PGF,harsh,3.33,0.1,123
33,92.375,6,2,185.975,True,False,0.02034018111612805,PGF,harsh,3.33,0.1,123
34,92.375,6,2,185.975,True,False,0.019737552590418102,PGF,harsh,3.33,0.1,123
35,92.375,6,2,185.975,True,False,0.019152778435715275,PGF,harsh,3.33,0.1,123
36,92.375,6,2,185.975,True,False,0.018585329671809606,PGF,harsh,3.33,0.1,123
37,92.375,6,2,185.975,True,False,0.018034692990847347,PGF,harsh,3.33,0.1,123
38,89.375,6,1,184.975,True,False,0.017500370292998394,PGF,harsh,3.33,0.1,123
39,89.375,6,1,184.975,True,False,0.016981878235880692,PGF,harsh,3.33,0.1,123
40,89.375,6,1,184.975,True,False,0.0164787477973341,PGF,harsh,3.33,0.1,123
41,89.375,6,1,184.975,True,False,0.015990523851148124,PGF,harsh,3.33,0.1,123
42,89.375,6,1,184.975,True,False,0.015516764755359819,PGF,harsh,3.33,0.1,123
43,89.375,6,1,184.975,True,False,0.015057041952749367,PGF,harsh,3.33,0.1,123
44,89.375,6,1,184.975,True,False,0.014610939583171967,PGF,harsh,3.33,0.1,123
45,89.375,6,1,184.975,True,False,0.014178054107375371,PGF,harsh,3.33,0.1,123
46,89.375,6,1,184.975,True,False,0.013757993941962747,PGF,harsh,3.33,0.1,123
47,92.375,6,2,185.975,True,False,0.01335037910517069,PGF,harsh,3.33,0.1,123
48,91.97500000000001,8,2,185.975,True,False,0.012825616335432347,PGF,harsh,3.33,0.1,123
49,92.375,6,2,185.975,True,False,0.012445625507454199,PGF,harsh,3.33,0.1,123
50,89.375,6,1,184.975,True,False,0.012076892854176676,PGF,harsh,3.33,0.1,123
51,89.375,6,1,184.975,True,False,0.011719084824134174,PGF,harsh,3.33,0.1,123
52,92.375,6,2,185.975,True,False,0.01137187774815401,PGF,harsh,3.33,0.1,123
53,89.375,6,1,184.975,True,False,0.011034957546568885,PGF,harsh,3.33,0.1,123
54,89.375,6,1,184.975,True,False,0.01070801944510391,PGF,harsh,3.33,0.1,123
55,89.375,6,1,184.975,True,False,0.01039076769918117,PGF,harsh,3.33,0.1,123
56,92.375,6,2,185.975,True,False,0.010082915326392463,PGF,harsh,3.33,0.1,123
57,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
58,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
59,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
60,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
61,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
62,95.375,6,3,186.975,True,False,0.01,PGF,harsh,3.33,0.1,123
63,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
64,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
65,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
66,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
67,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
68,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
69,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
70,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
71,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
72,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
73,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
74,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
75,95.37500000000001,6,3,186.975,True,False,0.01,PGF,harsh,3.33,0.1,123
76,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
77,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
78,95.37500000000001,6,3,186.975,True,False,0.01,PGF,harsh,3.33,0.1,123
79,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
80,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
81,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
82,92.375,6,2,185.975,True,False,0.01,PGF,harsh,3.33,0.1,123
83,89.375,6,1,184.975,True,False,0.01,PGF,harsh,3.33,0.1,123
84,89.385,6,1,184.985,True,False,0.01,PGF,harsh,3.33,0.1,123
85,92.385,6,2,185.985,True,False,0.01,PGF,harsh,3.33,0.1,123
86,89.385,6,1,184.985,True,False,0.01,PGF,harsh,3.33,0.1,123
87,92.385,6,2,185.985,True,False,0.01,PGF,harsh,3.33,0.1,123
88,88.785,8,1,184.985,True,False,0.01,PGF,harsh,3.33,0.1,123
89,92.385,6,2,185.985,True,False,0.01,PGF,harsh,3.33,0.1,123
90,112.4,6,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,123
91,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,123
92,89.385,6,1,184.985,True,False,0.01,PGF,harsh,3.33,0.1,123
93,115.4,6,3,187.0,True,False,0.01,PGF,harsh,3.33,0.1,123
94,92.385,6,2,185.985,True,False,0.01,PGF,harsh,3.33,0.1,123
95,88.785,8,1,184.985,True,False,0.01,PGF,harsh,3.33,0.1,123
96,115.4,6,3,187.0,True,False,0.01,PGF,harsh,3.33,0.1,123
97,109.4,6,1,185.0,True,False,0.01,PGF,harsh,3.33,0.1,123
98,112.0,8,2,186.0,True,False,0.01,PGF,harsh,3.33,0.1,123
