episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
1,PGF,22.349999999999998,22.349999999999998,5,1,30,False,0,0,0.1720768383829392,0.0,0.4,42,4
2,PGF,22.59,22.59,1,2,30,False,0,0,0.14805219153934096,0.0,0.4,42,4
3,PGF,22.18,22.18,2,1,30,False,0,0,0.12738176517877567,0.0,0.4,42,4
4,PGF,20.979999999999997,20.979999999999997,1,0,30,False,0,0,0.10959725709800847,0.0,0.4,42,4
5,PGF,21.99,21.99,1,1,30,False,0,0,0.09429574748433718,0.0,0.4,42,4
6,PGF,22.59,22.59,1,2,30,False,0,0,0.08113057050030371,0.0,0.4,42,4
7,PGF,21.79,21.79,1,1,30,False,0,0,0.06980346033948207,0.0,0.4,42,4
8,PGF,21.59,21.59,1,1,30,False,0,0,0.06005779381703479,0.0,0.4,42,4
9,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.05167277640144891,0.0,0.4,42,4
10,PGF,21.59,21.59,1,1,30,False,0,0,0.04445843996814939,0.0,0.4,42,4
11,PGF,20.779999999999998,20.779999999999998,2,0,30,False,0,0,0.03825133894578426,0.0,0.4,42,4
12,PGF,21.79,21.79,1,1,30,False,0,0,0.032910847348523745,0.0,0.4,42,4
13,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.028315972801187538,0.0,0.4,42,4
14,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.02436261537682825,0.0,0.4,42,4
15,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.020961209143920925,0.0,0.4,42,4
16,PGF,21.79,21.79,1,1,30,False,0,0,0.018034692990847347,0.0,0.4,42,4
17,PGF,21.59,21.59,1,1,30,False,0,0,0.015516764755359819,0.0,0.4,42,4
18,PGF,21.59,21.59,1,1,30,False,0,0,0.01335037910517069,0.0,0.4,42,4
19,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.011486455138157128,0.0,0.4,42,4
20,PGF,22.59,22.59,1,2,30,False,0,0,0.01,0.0,0.4,42,4
21,PGF,21.59,21.59,1,1,30,False,0,0,0.01,0.0,0.4,42,4
22,PGF,21.59,21.59,1,1,30,False,0,0,0.01,0.0,0.4,42,4
23,PGF,21.59,21.59,1,1,30,False,0,0,0.01,0.0,0.4,42,4
24,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.01,0.0,0.4,42,4
25,PGF,21.59,21.59,1,1,30,False,0,0,0.01,0.0,0.4,42,4
26,PGF,22.59,22.59,1,2,30,False,0,0,0.01,0.0,0.4,42,4
27,PGF,22.59,22.59,1,2,30,False,0,0,0.01,0.0,0.4,42,4
28,PGF,22.79,22.79,1,2,30,False,0,0,0.01,0.0,0.4,42,4
29,PGF,22.59,22.59,1,2,30,False,0,0,0.01,0.0,0.4,42,4
30,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.01,0.0,0.4,42,4
31,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.01,0.0,0.4,42,4
32,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.01,0.0,0.4,42,4
33,PGF,21.59,21.59,1,1,30,False,0,0,0.01,0.0,0.4,42,4
34,PGF,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.01,0.0,0.4,42,4
35,PGF,21.59,21.59,1,1,30,False,0,0,0.01,0.0,0.4,42,4
36,PGF,22.59,22.59,1,2,30,False,0,0,0.01,0.0,0.4,42,4
