Episodio,Recompensa_Simbiosis,Tripwires_Simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,-171.1918842590003,1,-0.48383768518000564,2.94
2,-35.964009090454184,0,-0.13928018180908375,0.58
3,-84.19188425900029,1,-0.48383768518000564,1.2
4,-43.964009090454184,0,-0.13928018180908375,0.74
5,0.0,0,0.0,0.0
6,-70.30728853888661,1,-0.38614577077773243,1.02
7,-93.82528399365953,1,-0.31650567987319056,1.56
8,-10.982004545227094,0,-0.06964009090454187,0.15
9,-49.5,0,0.0,0.99
10,-11.482004545227094,0,-0.06964009090454187,0.16
11,-112.5,0,0.0,2.25
12,-93.82528399365953,1,-0.31650567987319056,1.56
13,-25.912641996829763,0,-0.15825283993659528,0.36
14,-54.825283993659525,1,-0.31650567987319056,0.78
15,-35.964009090454184,0,-0.13928018180908375,0.58
16,-4.5,0,0.0,0.09
17,0.0,0,0.0,0.0
18,-4.982004545227094,0,-0.06964009090454187,0.03
19,0.0,0,0.0,0.0
20,-60.0,0,0.0,1.2
21,-16.912641996829763,0,-0.15825283993659528,0.18
22,-61.91264199682976,0,-0.15825283993659528,1.08
23,-52.946013635681275,0,-0.20892027271362562,0.85
24,-10.482004545227094,0,-0.06964009090454187,0.14
25,-40.946013635681275,0,-0.20892027271362562,0.61
26,0.0,0,0.0,0.0
27,-75.30728853888661,1,-0.38614577077773243,1.12
28,-123.98200454522708,0,-0.06964009090454187,2.41
29,-111.82528399365953,1,-0.31650567987319056,1.92
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-20.982004545227092,0,-0.06964009090454187,0.35
33,-55.5,0,0.0,1.11
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,-66.94601363568128,0,-0.20892027271362562,1.13
38,0.0,0,0.0,0.0
39,0.0,0,0.0,0.0
40,-38.964009090454184,0,-0.13928018180908375,0.64
41,-9.0,0,0.0,0.18
42,-32.325283993659525,0,-0.31650567987319056,0.33
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,-9.982004545227094,0,-0.06964009090454187,0.13
46,-27.464009090454187,0,-0.13928018180908375,0.41
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,-34.91264199682976,0,-0.15825283993659528,0.54
50,-63.0,0,0.0,1.26
51,0.0,0,0.0,0.0
52,-86.80728853888662,1,-0.38614577077773243,1.35
53,-16.964009090454187,0,-0.13928018180908375,0.2
54,-54.0,0,0.0,1.08
55,-10.5,0,0.0,0.21
56,-66.82528399365953,0,-0.31650567987319056,1.02
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,-25.464009090454187,0,-0.13928018180908375,0.37
60,0.0,0,0.0,0.0
61,-22.5,0,0.0,0.45
62,-57.825283993659525,0,-0.31650567987319056,0.84
63,-29.964009090454184,0,-0.13928018180908375,0.46
64,0.0,0,0.0,0.0
65,0.0,0,0.0,0.0
66,-51.0,0,0.0,1.02
67,-16.482004545227092,0,-0.06964009090454187,0.26
68,-11.482004545227094,0,-0.06964009090454187,0.16
69,-104.32528399365953,1,-0.31650567987319056,1.77
70,0.0,0,0.0,0.0
71,-56.55848452434104,2,-0.8348329365215651,0.6153846153846154
72,-27.412641996829763,0,-0.15825283993659528,0.39
73,-12.482004545227094,0,-0.06964009090454187,0.18
74,-40.5,0,0.0,0.81
75,-6.982004545227094,0,-0.06964009090454187,0.07
76,-27.482004545227092,0,-0.06964009090454187,0.48
77,-78.44601363568128,0,-0.20892027271362562,1.36
78,0.0,0,0.0,0.0
79,-27.464009090454184,0,-0.13928018180908375,0.41
80,0.0,0,0.0,0.0
81,-15.982004545227094,0,-0.06964009090454187,0.25
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,0.0,0,0.0,0.0
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,0.0,0,0.0,0.0
88,-18.964009090454187,0,-0.13928018180908375,0.24
89,-34.91264199682976,0,-0.15825283993659528,0.54
90,-10.982004545227094,0,-0.06964009090454187,0.15
91,-123.32761407280384,1,-0.5665522814560766,1.9
92,0.0,0,0.0,0.0
93,-201.7892930841137,1,-0.4557858616822743,3.58
94,-16.482004545227092,0,-0.06964009090454187,0.26
95,0.0,0,0.0,0.0
96,-25.482004545227092,0,-0.06964009090454187,0.44
97,0.0,0,0.0,0.0
98,-77.55848452434104,1,-0.7571740587056056,1.0465116279069768
