risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.2634327334855749,-0.06640273348557485,0.19703,0.02,-4.1
0.5,simbiosis,-0.5357044883524443,-0.1186444883524444,0.41706,0.132,-26.785224417622217
0.5,dqn_control,-0.565575901508918,-0.09823590150891812,0.46734000000000003,0.102,14.81
1.0,control,-0.2715827334855749,-0.06640273348557485,0.20518,0.02,-4.305
1.0,simbiosis,-0.5597990293117729,-0.11985902931177304,0.43994000000000005,0.135,-27.989951465588653
1.0,dqn_control,-0.5953311429891083,-0.09776114298910832,0.49757000000000007,0.101,12.145
1.5,control,-0.2797327334855749,-0.06640273348557485,0.21333,0.02,-4.51
1.5,simbiosis,-0.65864990010063,-0.12628294357889078,0.532366956521739,0.14,-32.90373716890623
1.5,dqn_control,-0.7101224824599575,-0.10792723888981899,0.6021952435701384,0.125,10.09
2.0,control,-0.29076570902919113,-0.06752570902919112,0.22324,0.025,-5.085
2.0,simbiosis,-0.6756826533584251,-0.13316420790023734,0.5425184454581877,0.187,-33.55581481636443
2.0,dqn_control,-0.8160132714628446,-0.11518744123146804,0.7008258302313766,0.164,7.45
3.0,control,-0.29374564835458045,-0.06693238432131642,0.22681326403326404,0.022,-5.475
3.0,simbiosis,-0.8567839541539308,-0.1535992702368769,0.7031846839170539,0.181,-40.376052886420304
3.0,dqn_control,-0.8034714760342445,-0.11053597557059933,0.6929355004636455,0.124,1.495
