risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.2490870632662419,-0.0647970632662418,0.18429,0.018,-4.02
0.5,simbiosis,-0.6158392275464885,-0.1428192275464884,0.47302,0.21,-30.79196137732442
0.5,dqn_control,-0.6706555750775942,-0.1125355750775942,0.55812,0.15,16.985
1.0,control,-0.2570370632662418,-0.0647970632662418,0.19224,0.018,-4.205
1.0,simbiosis,-0.6540692127269597,-0.1411892127269596,0.5128800000000001,0.21,-32.703460636347984
1.0,dqn_control,-0.7101402105461191,-0.113890210546119,0.59625,0.155,13.17
1.5,control,-0.2649870632662419,-0.0647970632662418,0.20019,0.018,-4.39
1.5,simbiosis,-0.7387083203660026,-0.138611653699336,0.6000966666666667,0.19,-36.91101621380606
1.5,dqn_control,-0.7445909076906251,-0.113840907690625,0.63075,0.153,10.145
2.0,control,-0.2729569151357676,-0.0648169151357676,0.20814,0.018,-4.755
2.0,simbiosis,-0.7111292509787718,-0.130066344208912,0.5810629067698597,0.165,-35.207526401903124
2.0,dqn_control,-0.7298728034112796,-0.1047661610850717,0.6251066423262079,0.117,6.11
3.0,control,-0.2815725039378759,-0.0651294736348456,0.2164430303030303,0.017,-4.98
3.0,simbiosis,-0.8020695605685846,-0.141885593072538,0.6601839674960466,0.178,-38.82146810951558
3.0,dqn_control,-0.7599886438000311,-0.1062875024253852,0.6537011413746459,0.12,3.905
0.5,control,-0.2937345743809842,-0.0750745743809842,0.21866,0.035,-4.485
0.5,simbiosis,-0.666891617697255,-0.130551617697255,0.5363399999999999,0.171,-33.34458088486275
0.5,dqn_control,-0.7423544183137584,-0.1054144183137584,0.6369400000000001,0.125,19.225
1.0,control,-0.3071545743809843,-0.0750745743809842,0.2320799999999999,0.035,-4.835
1.0,simbiosis,-0.6871848659148119,-0.1319948659148119,0.5551900000000001,0.174,-34.3592432957406
1.0,dqn_control,-0.7586779126338852,-0.1050979126338852,0.6535799999999999,0.124,15.96
1.5,control,-0.3205745743809842,-0.0750745743809842,0.2455,0.035,-5.185
1.5,simbiosis,-0.7279519223358225,-0.1311287017239061,0.5968232206119162,0.168,-36.15480190768204
1.5,dqn_control,-0.7950920927366338,-0.1060488721247176,0.6890432206119163,0.124,12.7
2.0,control,-0.3311457729601102,-0.0781648030604447,0.2529809698996655,0.039,-6.57
2.0,simbiosis,-0.6053534416630023,-0.1192668182863789,0.4860866233766234,0.143,-29.93758128964344
2.0,dqn_control,-0.7073993012146496,-0.0982175844101785,0.6091817168044711,0.119,7.57
3.0,control,-0.3269395253663934,-0.0779661583331326,0.2489733670332607,0.036,-6.455
3.0,simbiosis,-0.7690372842788527,-0.1294551562394664,0.6395821280393862,0.163,-37.88387936260472
3.0,dqn_control,-0.7562871645092288,-0.1100614636933347,0.6462257008158941,0.124,1.05
0.5,control,-0.2714109074233213,-0.0696209074233212,0.20179,0.026,-4.235
0.5,simbiosis,-0.6240593236997418,-0.1310893236997418,0.49297,0.179,-31.20296618498709
0.5,dqn_control,-0.7047146709960684,-0.1070346709960683,0.5976800000000001,0.14,20.845
1.0,control,-0.2809909074233212,-0.0696209074233212,0.21137,0.026,-4.5
1.0,simbiosis,-0.6409384808302659,-0.132108480830266,0.50883,0.184,-32.0469240415133
1.0,dqn_control,-0.7137954028123058,-0.1067454028123058,0.60705,0.139,16.425
1.5,control,-0.2905709074233212,-0.0696209074233212,0.2209499999999999,0.026,-4.765
1.5,simbiosis,-0.6971867131834203,-0.1366889580813794,0.5604977551020408,0.196,-34.85448536297393
1.5,dqn_control,-0.7658089659314575,-0.1030122992647909,0.6627966666666666,0.124,14.935
2.0,control,-0.2829101465038691,-0.0682647053273985,0.2146454411764705,0.028,-5.15
