Episodio,Recompensa_Dqn_control,Tripwires_Dqn_control,PGF_Bruto_Avg,PGF_Costo_Avg
1,-15.0,0,-0.20892027271362562,1.04
2,-25.0,0,-0.22789293084113715,0.19
3,-155.0,2,-0.7208097813913626,1.93
4,-5.0,0,-0.06964009090454187,0.28
5,345.0,0,0.0,16.17
6,0.0,0,0.0,0.0
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,0.0,0,0.0,0.0
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,0.0,0,0.0,0.0
13,-10.0,0,-0.13928018180908375,0.68
14,240.0,0,0.0,4.32
15,-10.0,0,-0.13928018180908375,0.56
16,-5.0,0,-0.06964009090454187,0.08
17,-135.0,2,-0.7208097813913626,2.09
18,-40.0,1,-0.31650567987319056,0.24
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,-5.0,0,-0.06964009090454187,0.04
22,-5.0,0,-0.06964009090454187,0.16
23,-15.0,0,-0.20892027271362562,0.56
24,-5.0,0,-0.06964009090454187,0.38
25,-5.0,0,-0.06964009090454187,0.14
26,-5.0,0,-0.06964009090454187,0.17
27,135.0,0,0.0,1.62
28,-110.0,1,-1.2908763952470905,2.838709677419355
29,-10.0,0,-0.13928018180908375,0.18
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,-40.0,1,-0.31650567987319056,0.88
33,120.0,0,0.0,1.08
34,-45.0,1,-0.38614577077773243,1.59
35,-5.0,0,-0.06964009090454187,0.12
36,-5.0,0,-0.06964009090454187,0.47
37,150.0,0,0.0,1.71
38,0.0,0,0.0,0.0
39,-40.0,1,-0.31650567987319056,2.32
40,-5.0,0,-0.06964009090454187,0.07
41,0.0,0,0.0,0.0
42,-45.0,1,-0.38614577077773243,1.01
43,-60.0,0,-0.47475851980978584,0.84
44,-20.0,0,-0.15825283993659528,0.24
45,0.0,0,0.0,0.0
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,0.0,0,0.0,0.0
49,-10.0,0,-0.13928018180908375,0.72
50,-5.0,0,-0.06964009090454187,0.12
51,-20.0,0,-0.2785603636181675,0.52
52,0.0,0,0.0,0.0
53,0.0,0,0.0,0.0
54,225.0,0,0.0,3.9
55,0.0,0,0.0,0.0
56,0.0,0,0.0,0.0
57,-40.0,1,-0.31650567987319056,1.12
58,-5.0,0,-0.06964009090454187,0.2
59,0.0,0,0.0,0.0
60,75.0,0,0.0,1.8
61,0.0,0,0.0,0.0
62,-40.0,0,-0.31650567987319056,2.56
63,-5.0,0,-0.06964009090454187,0.49
64,70.0,0,-0.15825283993659528,2.13
65,-10.0,0,-0.13928018180908375,0.3
66,0.0,0,0.0,0.0
67,0.0,0,0.0,0.0
68,-45.0,1,-0.38614577077773243,0.78
69,0.0,0,0.0,0.0
70,-10.0,0,-0.13928018180908375,0.12
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,195.0,0,0.0,4.29
75,135.0,0,0.0,1.53
76,0.0,0,0.0,0.0
77,-5.0,0,-0.06964009090454187,0.22
78,-5.0,0,-0.06964009090454187,0.03
79,0.0,0,0.0,0.0
80,-80.0,2,-0.6330113597463811,0.48
81,45.0,0,0.0,0.18
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,180.0,0,0.0,2.85
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,-80.0,2,-0.6330113597463811,1.44
88,-45.0,1,-0.38614577077773243,1.01
89,-10.0,0,-0.13928018180908375,0.6
90,225.0,0,0.0,3.99
91,120.0,0,0.0,2.52
92,0.0,0,0.0,0.0
93,-5.0,0,-0.06964009090454187,0.34
94,30.0,0,0.0,0.09
95,165.0,0,0.0,1.98
96,0.0,0,0.0,0.0
97,0.0,0,0.0,0.0
98,-40.0,1,-0.31650567987319056,2.0
99,-40.0,0,-0.31650567987319056,1.44
100,-5.0,0,-0.06964009090454187,0.06
101,-235.0,0,-0.8970026748244468,5.255102040816326
102,180.0,0,0.0,2.46
103,-5.0,0,-0.06964009090454187,0.46
104,-5.0,0,-0.06964009090454187,0.41
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,360.0,0,0.0,16.59
108,-5.0,0,-0.06964009090454187,0.48
109,45.0,0,0.0,1.17
110,-10.0,0,-0.13928018180908375,0.14
111,0.0,0,0.0,0.0
112,-10.0,0,-0.13928018180908375,0.65
113,-20.0,0,-0.15825283993659528,0.6
114,0.0,0,0.0,0.0
115,10.0,0,-0.06964009090454187,0.14
116,-40.0,1,-0.31650567987319056,1.28
117,-5.0,0,-0.06964009090454187,0.46
118,-5.0,0,-0.06964009090454187,0.14
119,-15.0,0,-0.20892027271362562,0.35
120,165.0,0,0.0,1.98
121,-45.0,1,-0.38614577077773243,0.43
122,-80.0,1,-0.6330113597463811,6.96
123,-20.0,0,-0.2785603636181675,1.42
124,-25.0,0,-0.3482004545227093,0.54
125,-5.0,0,-0.06964009090454187,0.45
126,0.0,0,0.0,0.0
127,-5.0,0,-0.06964009090454187,0.35
128,0.0,0,0.0,0.0
129,0.0,0,0.0,0.0
130,-80.0,2,-0.6330113597463811,0.8
131,-50.0,1,-0.4557858616822743,1.94
132,135.0,0,0.0,1.59
133,-25.0,0,-0.22789293084113715,0.71
134,0.0,0,0.0,0.0
135,-10.0,0,-0.13928018180908375,0.74
136,-5.0,0,-0.06964009090454187,0.08
137,-40.0,0,-0.31650567987319056,1.2
138,-5.0,0,-0.06964009090454187,0.49
139,-80.0,0,-0.6330113597463811,2.88
140,-20.0,0,-0.15825283993659528,0.04
141,225.0,0,0.0,3.63
142,-10.0,0,-0.13928018180908375,0.51
143,-110.0,2,-0.809422530423416,4.16
144,-10.0,0,-0.13928018180908375,0.08
145,-5.0,0,-0.06964009090454187,0.29
146,0.0,0,0.0,0.0
147,0.0,0,0.0,0.0
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,0.0,0,0.0,0.0
151,-5.0,0,-0.06964009090454187,0.49
152,-40.0,1,-0.31650567987319056,0.08
153,-5.0,0,-0.06964009090454187,0.46
154,0.0,0,0.0,0.0
155,180.0,0,0.0,2.34
156,-5.0,0,-0.06964009090454187,0.14
157,225.0,0,0.0,3.75
158,0.0,0,0.0,0.0
159,-5.0,0,-0.06964009090454187,0.37
160,0.0,0,0.0,0.0
161,0.0,0,0.0,0.0
162,-5.0,0,-0.06964009090454187,0.49
163,-10.0,0,-0.13928018180908375,0.14
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,-5.0,0,-0.06964009090454187,0.1
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,0.0,0,0.0,0.0
170,-5.0,0,-0.06964009090454187,0.09
171,-5.0,0,-0.06964009090454187,0.15
172,0.0,0,0.0,0.0
173,-10.0,0,-0.13928018180908375,0.65
174,0.0,0,0.0,0.0
175,0.0,0,0.0,0.0
176,-5.0,0,-0.06964009090454187,0.02
177,-5.0,0,-0.06964009090454187,0.12
178,0.0,0,0.0,0.0
179,0.0,0,0.0,0.0
180,0.0,0,0.0,0.0
181,-5.0,0,-0.06964009090454187,0.08
182,0.0,0,0.0,0.0
183,-5.0,0,-0.06964009090454187,0.37
184,-215.0,1,-2.3133226877051523,6.2368421052631575
185,0.0,0,0.0,0.0
186,0.0,0,0.0,0.0
187,0.0,0,0.0,0.0
188,-15.0,0,-0.20892027271362562,0.47
189,-20.0,0,-0.2785603636181675,0.42
190,-15.0,0,-0.20892027271362562,1.24
191,-5.0,0,-0.06964009090454187,0.46
192,0.0,0,0.0,0.0
193,-5.0,0,-0.06964009090454187,0.17
194,-40.0,0,-0.31650567987319056,0.6
195,-10.0,0,-0.13928018180908375,0.16
196,-10.0,0,-0.13928018180908375,0.96
197,205.0,0,-0.06964009090454187,3.36
198,-5.0,0,-0.06964009090454187,0.49
199,0.0,0,0.0,0.0
200,-5.0,0,-0.06964009090454187,0.06
201,0.0,0,0.0,0.0
202,-25.0,0,-0.3482004545227093,1.79
203,25.0,0,-0.15825283993659528,0.26
204,-20.0,0,-0.15825283993659528,0.28
205,-5.0,0,-0.06964009090454187,0.04
206,30.0,0,0.0,0.12
207,180.0,0,0.0,2.34
208,0.0,0,0.0,0.0
209,-40.0,1,-0.31650567987319056,0.16
210,0.0,0,0.0,0.0
211,0.0,0,0.0,0.0
212,-10.0,0,-0.13928018180908375,0.33
213,0.0,0,0.0,0.0
214,-60.0,0,-0.47475851980978584,1.8
215,-10.0,0,-0.13928018180908375,0.41
216,45.0,0,0.0,0.9
217,-60.0,1,-0.47475851980978584,1.4
218,0.0,0,0.0,0.0
219,0.0,0,0.0,0.0
220,-5.0,0,-0.06964009090454187,0.17
221,0.0,0,0.0,0.0
222,-5.0,0,-0.06964009090454187,0.08
223,-5.0,0,-0.06964009090454187,0.11
224,-45.0,1,-0.38614577077773243,0.97
225,0.0,0,0.0,0.0
226,0.0,0,0.0,0.0
227,-50.0,1,-0.4557858616822743,0.97
228,0.0,0,0.0,0.0
229,-40.0,1,-0.31650567987319056,2.4
230,0.0,0,0.0,0.0
231,0.0,0,0.0,0.0
232,-40.0,1,-0.31650567987319056,1.36
233,60.0,0,0.0,0.36
234,0.0,0,0.0,0.0
235,-110.0,2,-0.8003433650531961,2.28
236,0.0,0,0.0,0.0
237,45.0,0,0.0,0.18
238,0.0,0,0.0,0.0
239,0.0,0,0.0,0.0
240,-10.0,0,-0.13928018180908375,0.38
241,0.0,0,0.0,0.0
242,0.0,0,0.0,0.0
243,-15.0,0,-0.20892027271362562,0.21
244,0.0,0,0.0,0.0
245,-10.0,0,-0.13928018180908375,0.46
246,0.0,0,0.0,0.0
247,-5.0,0,-0.06964009090454187,0.09
248,30.0,0,0.0,1.59
249,-5.0,0,-0.06964009090454187,0.46
250,0.0,0,0.0,0.0
251,-10.0,0,-0.13928018180908375,0.63
252,-5.0,0,-0.06964009090454187,0.04
253,0.0,0,0.0,0.0
254,-5.0,0,-0.06964009090454187,0.29
255,0.0,0,0.0,0.0
256,-20.0,0,-0.15825283993659528,0.44
257,-20.0,0,-0.15825283993659528,0.52
258,55.0,0,-0.06964009090454187,1.69
259,0.0,0,0.0,0.0
260,-10.0,0,-0.13928018180908375,0.91
261,-50.0,0,-0.4557858616822743,0.92
262,0.0,0,0.0,0.0
263,-10.0,0,-0.13928018180908375,0.76
264,-10.0,0,-0.13928018180908375,0.52
265,-130.0,3,-1.029441883361714,0.7659574468085106
266,0.0,0,0.0,0.0
267,135.0,0,0.0,1.65
268,180.0,0,0.0,2.34
269,-5.0,0,-0.06964009090454187,0.49
270,0.0,0,0.0,0.0
271,0.0,0,0.0,0.0
272,-60.0,1,-0.47475851980978584,0.8
273,-15.0,0,-0.20892027271362562,0.3
274,300.0,0,0.0,7.5
275,-5.0,0,-0.06964009090454187,0.07
276,0.0,0,0.0,0.0
277,-10.0,0,-0.13928018180908375,0.14
278,-5.0,0,-0.06964009090454187,0.15
279,0.0,0,0.0,0.0
280,-20.0,0,-0.2785603636181675,0.97
281,-5.0,0,-0.06964009090454187,0.07
282,-5.0,0,-0.06964009090454187,0.08
283,0.0,0,0.0,0.0
284,-45.0,1,-0.38614577077773243,0.61
285,0.0,0,0.0,0.0
286,135.0,0,0.0,1.53
287,-20.0,0,-0.15825283993659528,0.12
288,-10.0,0,-0.13928018180908375,0.27
289,0.0,0,0.0,0.0
290,0.0,0,0.0,0.0
291,180.0,0,0.0,2.34
292,0.0,0,0.0,0.0
293,0.0,0,0.0,0.0
294,0.0,0,0.0,0.0
295,0.0,0,0.0,0.0
296,-10.0,0,-0.13928018180908375,0.57
297,0.0,0,0.0,0.0
298,190.0,0,-0.06964009090454187,2.96
299,150.0,0,0.0,1.65
300,0.0,0,0.0,0.0
301,0.0,0,0.0,0.0
302,255.0,0,0.0,4.65
303,-15.0,0,-0.20892027271362562,0.61
304,0.0,0,0.0,0.0
305,0.0,0,0.0,0.0
306,60.0,0,0.0,0.3
307,-80.0,2,-0.6330113597463811,0.32
308,105.0,0,0.0,0.93
309,-15.0,0,-0.20892027271362562,0.31
310,0.0,0,0.0,0.0
311,-5.0,0,-0.06964009090454187,0.17
