risk_scale,agent,avg_pgf_neto,avg_pgf_bruto,avg_pgf_costo,avg_tripwire,avg_reward
0.5,control,-0.2714109074233213,-0.06962090742332129,0.20179,0.026,-4.235
0.5,simbiosis,-0.6240593236997418,-0.13108932369974188,0.49297,0.179,-31.20296618498709
0.5,dqn_control,-0.7047146709960684,-0.10703467099606839,0.5976800000000001,0.14,20.845
1.0,control,-0.2809909074233212,-0.06962090742332129,0.21137,0.026,-4.5
1.0,simbiosis,-0.6409384808302659,-0.132108480830266,0.50883,0.184,-32.0469240415133
1.0,dqn_control,-0.7137954028123058,-0.10674540281230588,0.60705,0.139,16.425
1.5,control,-0.29057090742332126,-0.06962090742332129,0.22094999999999998,0.026,-4.765
1.5,simbiosis,-0.6971867131834203,-0.13668895808137943,0.5604977551020408,0.196,-34.85448536297393
1.5,dqn_control,-0.7658089659314575,-0.1030122992647909,0.6627966666666666,0.124,14.935
2.0,control,-0.2829101465038691,-0.06826470532739853,0.21464544117647058,0.028,-5.15
2.0,simbiosis,-0.6866035687271926,-0.13093916724455287,0.55566440148264,0.173,-34.058490500051924
2.0,dqn_control,-0.7331651097886047,-0.10235061609389358,0.6308144936947111,0.117,7.395
3.0,control,-0.2942336075202106,-0.06714423970411866,0.22708936781609196,0.025,-5.355
3.0,simbiosis,-0.7565251072853785,-0.13422908587878135,0.6222960214065972,0.17,-37.093130346156855
3.0,dqn_control,-0.793593032055087,-0.10491836320688813,0.6886746688481991,0.104,6.495
