Episodio,Recompensa_Simbiosis,Tripwires_Simbiosis,PGF_Bruto_Avg,PGF_Costo_Avg
1,0.0,0,0.0,0.0
2,0.0,0,0.0,0.0
3,0.0,0,0.0,0.0
4,0.0,0,0.0,0.0
5,-97.13257253254613,2,-0.7026514506509229,1.24
6,0.0,0,0.0,0.0
7,-13.982004545227094,0,-0.06964009090454187,0.21
8,0.0,0,0.0,0.0
9,-8.982004545227094,0,-0.06964009090454187,0.11
10,0.0,0,0.0,0.0
11,-50.894646542056854,0,-0.22789293084113715,0.79
12,-16.946013635681282,0,-0.20892027271362562,0.13
13,0.0,0,0.0,0.0
14,0.0,0,0.0,0.0
15,-58.80728853888662,1,-0.38614577077773243,0.79
16,-13.5,0,0.0,0.27
17,-15.412641996829763,0,-0.15825283993659528,0.15
18,-48.48200454522709,0,-0.06964009090454187,0.9
19,0.0,0,0.0,0.0
20,0.0,0,0.0,0.0
21,-16.482004545227092,0,-0.06964009090454187,0.26
22,0.0,0,0.0,0.0
23,-23.964009090454187,0,-0.13928018180908375,0.34
24,-12.982004545227094,0,-0.06964009090454187,0.19
25,-30.825283993659525,1,-0.31650567987319056,0.3
26,-44.325283993659525,0,-0.31650567987319056,0.57
27,-24.464009090454187,0,-0.13928018180908375,0.35
28,-52.91264199682976,0,-0.15825283993659528,0.9
29,0.0,0,0.0,0.0
30,-1.5,0,0.0,0.03
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,0.0,0,0.0,0.0
34,-28.5,0,0.0,0.57
35,-66.56320998414881,2,-0.7912641996829763,0.54
36,0.0,0,0.0,0.0
37,-277.5,0,0.0,5.55
38,0.0,0,0.0,0.0
39,-1.5,0,0.0,0.03
40,-14.982004545227094,0,-0.06964009090454187,0.23
41,-78.41264199682976,0,-0.15825283993659528,1.41
42,-14.482004545227094,0,-0.06964009090454187,0.22
43,0.0,0,0.0,0.0
44,-27.482004545227092,0,-0.06964009090454187,0.48
45,0.0,0,0.0,0.0
46,-67.44601363568128,0,-0.20892027271362562,1.14
47,-10.482004545227094,0,-0.06964009090454187,0.14
48,0.0,0,0.0,0.0
49,-17.482004545227092,0,-0.06964009090454187,0.28
50,-42.825283993659525,1,-0.31650567987319056,0.54
51,0.0,0,0.0,0.0
52,-9.982004545227094,0,-0.06964009090454187,0.13
53,-15.982004545227094,0,-0.06964009090454187,0.25
54,-37.5,0,0.0,0.75
55,0.0,0,0.0,0.0
56,-40.5,0,0.0,0.81
57,-15.964009090454187,0,-0.13928018180908375,0.18
58,0.0,0,0.0,0.0
59,-115.77129762934081,1,-0.5254259525868161,1.79
60,-62.928018180908374,0,-0.2785603636181675,0.98
61,-28.946013635681282,0,-0.20892027271362562,0.37
62,-30.964009090454187,0,-0.13928018180908375,0.48
63,-56.73792599048929,1,-0.47475851980978584,0.66
64,-33.41264199682976,0,-0.15825283993659528,0.51
65,-3.9820045452270936,0,-0.06964009090454187,0.01
66,-31.964009090454187,0,-0.13928018180908375,0.5
67,-22.982004545227092,0,-0.06964009090454187,0.39
68,-25.982004545227092,0,-0.06964009090454187,0.45
69,-100.5,0,0.0,2.01
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,-38.964009090454184,0,-0.13928018180908375,0.64
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,0.0,0,0.0,0.0
76,-18.982004545227092,0,-0.06964009090454187,0.31
77,-14.482004545227094,0,-0.06964009090454187,0.22
78,-21.0,0,0.0,0.42
79,-10.964009090454187,0,-0.13928018180908375,0.08
80,0.0,0,0.0,0.0
81,-26.946013635681282,0,-0.20892027271362562,0.33
82,0.0,0,0.0,0.0
83,0.0,0,0.0,0.0
84,-27.982004545227092,0,-0.06964009090454187,0.49
85,-105.41264199682976,0,-0.15825283993659528,1.95
86,-15.982004545227094,0,-0.06964009090454187,0.25
87,-29.325283993659525,1,-0.31650567987319056,0.27
88,-170.89464654205685,0,-0.22789293084113715,3.19
89,0.0,0,0.0,0.0
90,-13.482004545227094,0,-0.06964009090454187,0.2
91,-45.825283993659525,0,-0.31650567987319056,0.6
92,0.0,0,0.0,0.0
93,0.0,0,0.0,0.0
94,-16.964009090454187,0,-0.13928018180908375,0.2
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,-3.9820045452270936,0,-0.06964009090454187,0.01
98,-58.910022726135466,0,-0.3482004545227093,0.83
99,0.0,0,0.0,0.0
100,-19.964009090454187,0,-0.13928018180908375,0.26
101,-6.982004545227094,0,-0.06964009090454187,0.07
102,-30.825283993659525,1,-0.31650567987319056,0.3
103,0.0,0,0.0,0.0
104,-25.928018180908374,0,-0.2785603636181675,0.24
105,0.0,0,0.0,0.0
106,0.0,0,0.0,0.0
107,-125.11696904868208,4,-1.4155862836670017,1.3043478260869565
108,-22.982004545227092,0,-0.06964009090454187,0.39
109,-11.482004545227094,0,-0.06964009090454187,0.16
110,-6.482004545227094,0,-0.06964009090454187,0.06
111,-14.94601363568128,0,-0.20892027271362562,0.09
112,-16.482004545227092,0,-0.06964009090454187,0.26
113,0.0,0,0.0,0.0
114,-30.464009090454187,0,-0.13928018180908375,0.47
115,-42.98200454522709,0,-0.06964009090454187,0.79
116,0.0,0,0.0,0.0
117,-34.91264199682976,0,-0.15825283993659528,0.54
118,-60.28929308411371,1,-0.4557858616822743,0.75
119,-151.91264199682976,0,-0.15825283993659528,2.88
120,0.0,0,0.0,0.0
121,-10.982004545227094,0,-0.06964009090454187,0.15
122,-11.482004545227094,0,-0.06964009090454187,0.16
123,-23.482004545227092,0,-0.06964009090454187,0.4
124,-337.96400909045417,0,-0.13928018180908375,6.62
125,-21.964009090454187,0,-0.13928018180908375,0.3
126,-16.464009090454187,0,-0.13928018180908375,0.19
127,0.0,0,0.0,0.0
128,-27.0,0,0.0,0.54
129,-3.9820045452270936,0,-0.06964009090454187,0.01
130,-9.482004545227094,0,-0.06964009090454187,0.12
131,0.0,0,0.0,0.0
132,-3.9820045452270936,0,-0.06964009090454187,0.01
133,0.0,0,0.0,0.0
134,-19.482004545227092,0,-0.06964009090454187,0.32
135,0.0,0,0.0,0.0
136,-62.894646542056854,0,-0.22789293084113715,1.03
137,-46.928018180908374,0,-0.2785603636181675,0.66
138,-14.482004545227094,0,-0.06964009090454187,0.22
139,0.0,0,0.0,0.0
140,0.0,0,0.0,0.0
141,-123.0,0,0.0,2.46
142,-41.44601363568128,0,-0.20892027271362562,0.62
143,-5.982004545227094,0,-0.06964009090454187,0.05
144,-116.09658162300033,2,-0.8419316324600067,1.48
145,-1.5,0,0.0,0.03
146,-10.5,0,0.0,0.21
147,-83.30728853888661,1,-0.38614577077773243,1.28
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,-5.482004545227094,0,-0.06964009090454187,0.04
151,0.0,0,0.0,0.0
152,-12.982004545227094,0,-0.06964009090454187,0.19
153,-24.964009090454184,0,-0.13928018180908375,0.36
154,-19.982004545227092,0,-0.06964009090454187,0.33
155,-54.964009090454184,0,-0.13928018180908375,0.96
156,-290.9820045452271,0,-0.06964009090454187,5.75
157,-55.65056798731905,2,-0.6330113597463811,0.48
158,0.0,0,0.0,0.0
159,-100.91264199682976,0,-0.15825283993659528,1.86
160,-64.91264199682976,0,-0.15825283993659528,1.14
161,-10.912641996829763,0,-0.15825283993659528,0.06
162,0.0,0,0.0,0.0
163,0.0,0,0.0,0.0
164,0.0,0,0.0,0.0
165,0.0,0,0.0,0.0
166,0.0,0,0.0,0.0
167,-41.964009090454184,0,-0.13928018180908375,0.7
168,0.0,0,0.0,0.0
169,-54.825283993659525,0,-0.31650567987319056,0.78
170,0.0,0,0.0,0.0
171,-31.5,0,0.0,0.63
172,-54.825283993659525,1,-0.31650567987319056,0.78
173,0.0,0,0.0,0.0
174,0.0,0,0.0,0.0
175,-18.982004545227092,0,-0.06964009090454187,0.31
176,0.0,0,0.0,0.0
177,-44.464009090454184,0,-0.13928018180908375,0.75
178,-76.91264199682976,0,-0.15825283993659528,1.38
179,0.0,0,0.0,0.0
180,-48.825283993659525,0,-0.31650567987319056,0.66
181,0.0,0,0.0,0.0
182,-10.964009090454187,0,-0.13928018180908375,0.08
183,-15.412641996829763,0,-0.15825283993659528,0.15
184,-78.80728853888662,0,-0.38614577077773243,1.19
185,-72.41264199682976,0,-0.15825283993659528,1.29
186,-85.65056798731905,2,-0.6330113597463811,1.08
187,-21.825283993659525,1,-0.31650567987319056,0.12
188,-45.825283993659525,0,-0.31650567987319056,0.6
189,0.0,0,0.0,0.0
190,-16.464009090454187,0,-0.13928018180908375,0.19
191,-99.96400909045418,0,-0.13928018180908375,1.86
192,0.0,0,0.0,0.0
193,-16.982004545227092,0,-0.06964009090454187,0.27
194,-54.41264199682976,0,-0.15825283993659528,0.93
195,0.0,0,0.0,0.0
196,-37.464009090454184,0,-0.13928018180908375,0.61
197,-18.482004545227092,0,-0.06964009090454187,0.3
198,0.0,0,0.0,0.0
199,0.0,0,0.0,0.0
200,-13.982004545227094,0,-0.06964009090454187,0.21
201,-52.894646542056854,0,-0.22789293084113715,0.83
202,-19.982004545227092,0,-0.06964009090454187,0.33
203,-105.0,0,0.0,2.1
204,-22.482004545227092,0,-0.06964009090454187,0.38
205,0.0,0,0.0,0.0
206,-19.912641996829763,0,-0.15825283993659528,0.24
207,-30.0,0,0.0,0.6
208,0.0,0,0.0,0.0
209,-40.946013635681275,0,-0.20892027271362562,0.61
210,0.0,0,0.0,0.0
211,-42.825283993659525,0,-0.31650567987319056,0.54
212,-70.42801818090837,0,-0.2785603636181675,1.13
213,-39.825283993659525,1,-0.31650567987319056,0.48
214,-54.825283993659525,0,-0.31650567987319056,0.78
215,0.0,0,0.0,0.0
216,0.0,0,0.0,0.0
217,0.0,0,0.0,0.0
218,0.0,0,0.0,0.0
219,-12.482004545227094,0,-0.06964009090454187,0.18
220,0.0,0,0.0,0.0
221,-85.23792599048929,1,-0.47475851980978584,1.23
222,-40.464009090454184,0,-0.13928018180908375,0.67
223,-96.28929308411371,1,-0.4557858616822743,1.47
224,0.0,0,0.0,0.0
225,0.0,0,0.0,0.0
226,-11.982004545227094,0,-0.06964009090454187,0.17
227,-9.482004545227094,0,-0.06964009090454187,0.12
228,-30.446013635681282,0,-0.20892027271362562,0.4
229,0.0,0,0.0,0.0
230,0.0,0,0.0,0.0
231,-9.964009090454187,0,-0.13928018180908375,0.06
232,0.0,0,0.0,0.0
233,0.0,0,0.0,0.0
234,-56.21993053571638,1,-0.5443986107143277,0.58
235,-40.23792599048929,1,-0.47475851980978584,0.33
236,0.0,0,0.0,0.0
237,0.0,0,0.0,0.0
238,0.0,0,0.0,0.0
239,-42.825283993659525,1,-0.31650567987319056,0.54
240,0.0,0,0.0,0.0
241,-5.482004545227094,0,-0.06964009090454187,0.04
242,-58.44601363568128,0,-0.20892027271362562,0.96
243,0.0,0,0.0,0.0
244,-59.78929308411371,1,-0.4557858616822743,0.74
245,-32.928018180908374,0,-0.2785603636181675,0.38
246,0.0,0,0.0,0.0
247,-17.982004545227092,0,-0.06964009090454187,0.29
248,-44.464009090454184,0,-0.13928018180908375,0.75
249,-19.482004545227092,0,-0.06964009090454187,0.32
250,-510.0,0,0.0,10.2
251,-22.912641996829763,0,-0.15825283993659528,0.3
252,-27.982004545227092,0,-0.06964009090454187,0.49
253,0.0,0,0.0,0.0
254,-12.412641996829763,0,-0.15825283993659528,0.09
255,0.0,0,0.0,0.0
256,0.0,0,0.0,0.0
257,0.0,0,0.0,0.0
258,-4.5,0,0.0,0.09
259,-25.464009090454187,0,-0.13928018180908375,0.37
260,-28.464009090454187,0,-0.13928018180908375,0.43
261,-9.482004545227094,0,-0.06964009090454187,0.12
262,-26.982004545227092,0,-0.06964009090454187,0.47
263,-8.982004545227094,0,-0.06964009090454187,0.11
264,-5.482004545227094,0,-0.06964009090454187,0.04
265,-67.5,0,0.0,1.35
266,-137.92981024948958,2,-0.9585962049897916,1.8
267,0.0,0,0.0,0.0
268,-13.964009090454187,0,-0.13928018180908375,0.14
269,-55.964009090454184,0,-0.13928018180908375,0.98
270,-35.964009090454184,0,-0.13928018180908375,0.58
271,0.0,0,0.0,0.0
272,0.0,0,0.0,0.0
273,-19.964009090454187,0,-0.13928018180908375,0.26
274,0.0,0,0.0,0.0
275,-62.894646542056854,0,-0.22789293084113715,1.03
276,-21.964009090454187,0,-0.13928018180908375,0.3
277,-27.982004545227092,0,-0.06964009090454187,0.49
278,0.0,0,0.0,0.0
279,-29.325283993659525,0,-0.31650567987319056,0.27
280,-13.464009090454187,0,-0.13928018180908375,0.13
281,-29.964009090454187,0,-0.13928018180908375,0.46
282,-27.894646542056854,0,-0.22789293084113715,0.33
283,-94.91264199682976,0,-0.15825283993659528,1.74
284,-34.464009090454184,0,-0.13928018180908375,0.55
285,-5.982004545227094,0,-0.06964009090454187,0.05
286,0.0,0,0.0,0.0
287,-32.464009090454184,0,-0.13928018180908375,0.51
288,-9.982004545227094,0,-0.06964009090454187,0.13
289,0.0,0,0.0,0.0
290,-56.428018180908374,0,-0.2785603636181675,0.85
291,-29.964009090454184,0,-0.13928018180908375,0.46
292,-24.964009090454187,0,-0.13928018180908375,0.36
293,-16.964009090454187,0,-0.13928018180908375,0.2
294,-10.482004545227094,0,-0.06964009090454187,0.14
295,0.0,0,0.0,0.0
296,-88.23792599048929,1,-0.47475851980978584,1.29
297,-46.78929308411371,1,-0.4557858616822743,0.48
298,-76.28929308411371,0,-0.4557858616822743,1.07
299,-5.482004545227094,0,-0.06964009090454187,0.04
300,0.0,0,0.0,0.0
301,0.0,0,0.0,0.0
302,-75.82528399365953,1,-0.31650567987319056,1.2
303,-15.482004545227094,0,-0.06964009090454187,0.24
304,-21.982004545227092,0,-0.06964009090454187,0.37
305,-49.65056798731905,2,-0.6330113597463811,0.36
306,0.0,0,0.0,0.0
307,-10.912641996829763,0,-0.15825283993659528,0.06
308,-45.825283993659525,0,-0.31650567987319056,0.6
309,0.0,0,0.0,0.0
310,-98.71993053571637,0,-0.5443986107143277,1.43
311,0.0,0,0.0,0.0
312,-147.41264199682976,0,-0.15825283993659528,2.79
313,-9.482004545227094,0,-0.06964009090454187,0.12
314,-23.482004545227092,0,-0.06964009090454187,0.4
315,0.0,0,0.0,0.0
316,-10.482004545227094,0,-0.06964009090454187,0.14
317,-28.446013635681282,0,-0.20892027271362562,0.36
318,-16.982004545227092,0,-0.06964009090454187,0.27
319,-32.98200454522709,0,-0.06964009090454187,0.59
320,0.0,0,0.0,0.0
321,0.0,0,0.0,0.0
322,-28.946013635681282,0,-0.20892027271362562,0.37
323,0.0,0,0.0,0.0
324,-67.71993053571637,1,-0.5443986107143277,0.81
325,-58.23792599048929,0,-0.47475851980978584,0.69
326,0.0,0,0.0,0.0
327,-23.982004545227092,0,-0.06964009090454187,0.41
328,-49.65056798731905,0,-0.6330113597463811,0.36
329,0.0,0,0.0,0.0
330,-150.82528399365953,1,-0.31650567987319056,2.7
331,-14.482004545227094,0,-0.06964009090454187,0.22
