Episodio,Recompensa_Control,Tripwires_Control,PGF_Bruto_Avg,PGF_Costo_Avg
1,0.0,0,0.0,0.0
2,0.0,0,0.0,0.0
3,-5.0,0,-0.07613508191678639,0.48
4,-5.0,0,-0.07613508191678639,0.29
5,-5.0,0,-0.07613508191678639,0.28
6,-5.0,0,-0.07613508191678639,0.01
7,0.0,0,0.0,0.0
8,0.0,0,0.0,0.0
9,-5.0,0,-0.07613508191678639,0.43
10,0.0,0,0.0,0.0
11,0.0,0,0.0,0.0
12,-10.0,0,-0.15227016383357278,0.68
13,0.0,0,0.0,0.0
14,0.0,0,0.0,0.0
15,0.0,0,0.0,0.0
16,-5.0,0,-0.07613508191678639,0.45
17,-5.0,0,-0.07613508191678639,0.4
18,0.0,0,0.0,0.0
19,0.0,0,0.0,0.0
20,-5.0,0,-0.07613508191678639,0.16
21,-5.0,0,-0.07613508191678639,0.46
22,0.0,0,0.0,0.0
23,0.0,0,0.0,0.0
24,0.0,0,0.0,0.0
25,0.0,0,0.0,0.0
26,-10.0,0,-0.15227016383357278,0.42
27,-5.0,0,-0.07613508191678639,0.16
28,0.0,0,0.0,0.0
29,0.0,0,0.0,0.0
30,0.0,0,0.0,0.0
31,0.0,0,0.0,0.0
32,0.0,0,0.0,0.0
33,-65.0,1,-0.42215970008255527,2.57
34,0.0,0,0.0,0.0
35,0.0,0,0.0,0.0
36,0.0,0,0.0,0.0
37,-5.0,0,-0.07613508191678639,0.28
38,-10.0,0,-0.15227016383357278,0.77
39,-5.0,0,-0.07613508191678639,0.08
40,-10.0,0,-0.15227016383357278,0.54
41,0.0,0,0.0,0.0
42,-5.0,0,-0.07613508191678639,0.06
43,0.0,0,0.0,0.0
44,0.0,0,0.0,0.0
45,0.0,0,0.0,0.0
46,0.0,0,0.0,0.0
47,0.0,0,0.0,0.0
48,-5.0,0,-0.07613508191678639,0.15
49,0.0,0,0.0,0.0
50,-60.0,1,-0.34602461816576885,1.92
51,-10.0,0,-0.15227016383357278,0.59
52,0.0,0,0.0,0.0
53,-5.0,0,-0.07613508191678639,0.25
54,-5.0,0,-0.07613508191678639,0.36
55,-10.0,0,-0.15227016383357278,0.43
56,-5.0,0,-0.07613508191678639,0.44
57,0.0,0,0.0,0.0
58,0.0,0,0.0,0.0
59,-15.0,0,-0.22840524575035917,0.31
60,-5.0,0,-0.07613508191678639,0.21
61,0.0,0,0.0,0.0
62,0.0,0,0.0,0.0
63,0.0,0,0.0,0.0
64,-10.0,0,-0.15227016383357278,0.49
65,0.0,0,0.0,0.0
66,-5.0,0,-0.07613508191678639,0.24
67,0.0,0,0.0,0.0
68,-10.0,0,-0.15227016383357278,0.29
69,-5.0,0,-0.07613508191678639,0.05
70,0.0,0,0.0,0.0
71,0.0,0,0.0,0.0
72,0.0,0,0.0,0.0
73,0.0,0,0.0,0.0
74,0.0,0,0.0,0.0
75,-15.0,0,-0.22840524575035917,0.39
76,-10.0,0,-0.15227016383357278,0.65
77,0.0,0,0.0,0.0
78,0.0,0,0.0,0.0
79,0.0,0,0.0,0.0
80,0.0,0,0.0,0.0
81,0.0,0,0.0,0.0
82,-15.0,0,-0.22840524575035917,1.27
83,-5.0,0,-0.07613508191678639,0.33
84,0.0,0,0.0,0.0
85,0.0,0,0.0,0.0
86,0.0,0,0.0,0.0
87,-5.0,0,-0.07613508191678639,0.02
88,0.0,0,0.0,0.0
89,0.0,0,0.0,0.0
90,-10.0,0,-0.15227016383357278,0.82
91,-5.0,0,-0.07613508191678639,0.2
92,-10.0,0,-0.15227016383357278,0.58
93,0.0,0,0.0,0.0
94,0.0,0,0.0,0.0
95,0.0,0,0.0,0.0
96,0.0,0,0.0,0.0
97,-5.0,0,-0.07613508191678639,0.24
98,0.0,0,0.0,0.0
99,-10.0,0,-0.15227016383357278,0.64
100,-5.0,0,-0.07613508191678639,0.49
101,-5.0,0,-0.07613508191678639,0.32
102,0.0,0,0.0,0.0
103,-5.0,0,-0.07613508191678639,0.11
104,-10.0,0,-0.15227016383357278,0.8
105,-5.0,0,-0.07613508191678639,0.38
106,-5.0,0,-0.07613508191678639,0.39
107,0.0,0,0.0,0.0
108,-5.0,0,-0.07613508191678639,0.35
109,0.0,0,0.0,0.0
110,0.0,0,0.0,0.0
111,-135.0,2,-1.5154542072577557,1.6346153846153846
112,0.0,0,0.0,0.0
113,0.0,0,0.0,0.0
114,-10.0,0,-0.15227016383357278,0.34
115,0.0,0,0.0,0.0
116,-5.0,0,-0.07613508191678639,0.25
117,-5.0,0,-0.07613508191678639,0.09
118,0.0,0,0.0,0.0
119,0.0,0,0.0,0.0
120,0.0,0,0.0,0.0
121,-5.0,0,-0.07613508191678639,0.31
122,0.0,0,0.0,0.0
123,0.0,0,0.0,0.0
124,0.0,0,0.0,0.0
125,-10.0,0,-0.15227016383357278,0.6
126,-5.0,0,-0.07613508191678639,0.42
127,-5.0,0,-0.07613508191678639,0.28
128,0.0,0,0.0,0.0
129,-10.0,0,-0.15227016383357278,0.34
130,-25.0,0,-0.380675409583932,1.35
131,-5.0,0,-0.07613508191678639,0.42
132,-10.0,0,-0.15227016383357278,0.61
133,0.0,0,0.0,0.0
134,0.0,0,0.0,0.0
135,-10.0,0,-0.15227016383357278,0.48
136,-10.0,0,-0.15227016383357278,0.46
137,0.0,0,0.0,0.0
138,0.0,0,0.0,0.0
139,-5.0,0,-0.07613508191678639,0.27
140,0.0,0,0.0,0.0
141,0.0,0,0.0,0.0
142,-10.0,0,-0.15227016383357278,0.16
143,0.0,0,0.0,0.0
144,-5.0,0,-0.07613508191678639,0.01
145,0.0,0,0.0,0.0
146,-10.0,0,-0.15227016383357278,0.32
147,0.0,0,0.0,0.0
148,0.0,0,0.0,0.0
149,0.0,0,0.0,0.0
150,0.0,0,0.0,0.0
151,0.0,0,0.0,0.0
152,-10.0,0,-0.15227016383357278,0.64
153,0.0,0,0.0,0.0
154,0.0,0,0.0,0.0
155,-10.0,0,-0.15227016383357278,0.04
156,0.0,0,0.0,0.0
157,-5.0,0,-0.07613508191678639,0.08
158,0.0,0,0.0,0.0
159,0.0,0,0.0,0.0
160,0.0,0,0.0,0.0
161,-5.0,0,-0.07613508191678639,0.29
162,0.0,0,0.0,0.0
163,0.0,0,0.0,0.0
164,-10.0,0,-0.15227016383357278,0.12
165,0.0,0,0.0,0.0
166,-5.0,0,-0.07613508191678639,0.16
167,0.0,0,0.0,0.0
168,0.0,0,0.0,0.0
169,-5.0,0,-0.07613508191678639,0.21
170,0.0,0,0.0,0.0
171,-5.0,0,-0.07613508191678639,0.16
172,0.0,0,0.0,0.0
173,-10.0,0,-0.15227016383357278,0.5
174,-5.0,0,-0.07613508191678639,0.07
175,0.0,0,0.0,0.0
176,-5.0,0,-0.07613508191678639,0.43
177,0.0,0,0.0,0.0
178,0.0,0,0.0,0.0
179,-10.0,0,-0.15227016383357278,0.6
180,-5.0,0,-0.07613508191678639,0.25
181,0.0,0,0.0,0.0
182,-20.0,0,-0.30454032766714556,0.76
183,0.0,0,0.0,0.0
184,0.0,0,0.0,0.0
185,-5.0,0,-0.07613508191678639,0.05
186,0.0,0,0.0,0.0
187,0.0,0,0.0,0.0
188,0.0,0,0.0,0.0
189,-10.0,0,-0.15227016383357278,0.36
190,-5.0,0,-0.07613508191678639,0.03
191,0.0,0,0.0,0.0
192,0.0,0,0.0,0.0
193,0.0,0,0.0,0.0
194,0.0,0,0.0,0.0
195,0.0,0,0.0,0.0
196,0.0,0,0.0,0.0
197,-5.0,0,-0.07613508191678639,0.29
198,0.0,0,0.0,0.0
199,-10.0,0,-0.15227016383357278,0.52
200,-5.0,0,-0.07613508191678639,0.08
201,0.0,0,0.0,0.0
202,0.0,0,0.0,0.0
203,0.0,0,0.0,0.0
204,-5.0,0,-0.07613508191678639,0.12
205,-5.0,0,-0.07613508191678639,0.27
206,-10.0,0,-0.15227016383357278,0.62
207,-5.0,0,-0.07613508191678639,0.49
208,-20.0,0,-0.30454032766714556,1.08
209,0.0,0,0.0,0.0
210,-10.0,0,-0.15227016383357278,0.6
211,0.0,0,0.0,0.0
212,-5.0,0,-0.07613508191678639,0.45
213,0.0,0,0.0,0.0
214,0.0,0,0.0,0.0
215,-10.0,0,-0.15227016383357278,0.44
216,0.0,0,0.0,0.0
217,-10.0,0,-0.15227016383357278,0.44
218,0.0,0,0.0,0.0
219,-15.0,0,-0.22840524575035917,0.63
220,0.0,0,0.0,0.0
221,-20.0,0,-0.30454032766714556,1.04
222,0.0,0,0.0,0.0
223,-10.0,0,-0.15227016383357278,0.77
224,-5.0,0,-0.07613508191678639,0.25
225,0.0,0,0.0,0.0
226,0.0,0,0.0,0.0
227,0.0,0,0.0,0.0
228,-5.0,0,-0.07613508191678639,0.27
229,-5.0,0,-0.07613508191678639,0.06
230,0.0,0,0.0,0.0
231,0.0,0,0.0,0.0
232,-130.0,2,-0.9620285214287115,0.6486486486486487
233,-5.0,0,-0.07613508191678639,0.22
234,-5.0,0,-0.07613508191678639,0.01
235,0.0,0,0.0,0.0
236,0.0,0,0.0,0.0
237,-10.0,0,-0.15227016383357278,0.26
238,0.0,0,0.0,0.0
239,-15.0,0,-0.22840524575035917,0.73
240,0.0,0,0.0,0.0
241,0.0,0,0.0,0.0
242,0.0,0,0.0,0.0
243,-10.0,0,-0.15227016383357278,0.44
244,-5.0,0,-0.07613508191678639,0.17
245,-5.0,0,-0.07613508191678639,0.29
246,0.0,0,0.0,0.0
247,0.0,0,0.0,0.0
248,-5.0,0,-0.07613508191678639,0.18
249,0.0,0,0.0,0.0
250,0.0,0,0.0,0.0
251,-5.0,0,-0.07613508191678639,0.24
252,-10.0,0,-0.15227016383357278,0.6
253,0.0,0,0.0,0.0
254,0.0,0,0.0,0.0
255,-5.0,0,-0.07613508191678639,0.4
256,-10.0,0,-0.15227016383357278,0.76
257,0.0,0,0.0,0.0
258,-5.0,0,-0.07613508191678639,0.47
259,-5.0,0,-0.07613508191678639,0.44
260,-10.0,0,-0.15227016383357278,0.37
261,0.0,0,0.0,0.0
262,-15.0,0,-0.22840524575035917,0.49
263,0.0,0,0.0,0.0
264,0.0,0,0.0,0.0
265,-15.0,0,-0.22840524575035917,0.37
266,0.0,0,0.0,0.0
267,0.0,0,0.0,0.0
268,0.0,0,0.0,0.0
269,-5.0,0,-0.07613508191678639,0.13
270,0.0,0,0.0,0.0
271,0.0,0,0.0,0.0
272,-15.0,0,-0.22840524575035917,0.49
273,0.0,0,0.0,0.0
274,0.0,0,0.0,0.0
275,-20.0,0,-0.30454032766714556,1.5
276,0.0,0,0.0,0.0
277,-5.0,0,-0.07613508191678639,0.2
278,0.0,0,0.0,0.0
279,0.0,0,0.0,0.0
280,-10.0,0,-0.15227016383357278,0.09
281,-10.0,0,-0.15227016383357278,0.75
282,-5.0,0,-0.07613508191678639,0.34
283,0.0,0,0.0,0.0
284,-65.0,1,-0.42215970008255527,1.86
285,0.0,0,0.0,0.0
286,-65.0,1,-0.42215970008255527,0.53
287,0.0,0,0.0,0.0
288,-15.0,0,-0.22840524575035917,0.96
289,-5.0,0,-0.07613508191678639,0.3
290,0.0,0,0.0,0.0
291,-10.0,0,-0.15227016383357278,0.27
292,0.0,0,0.0,0.0
293,0.0,0,0.0,0.0
294,0.0,0,0.0,0.0
295,0.0,0,0.0,0.0
296,0.0,0,0.0,0.0
297,-5.0,0,-0.07613508191678639,0.32
298,-5.0,0,-0.07613508191678639,0.39
299,-15.0,0,-0.22840524575035917,0.77
300,0.0,0,0.0,0.0
301,-10.0,0,-0.15227016383357278,0.32
302,-5.0,0,-0.07613508191678639,0.33
303,0.0,0,0.0,0.0
304,-10.0,0,-0.15227016383357278,0.32
305,0.0,0,0.0,0.0
306,0.0,0,0.0,0.0
307,0.0,0,0.0,0.0
308,-5.0,0,-0.07613508191678639,0.02
309,0.0,0,0.0,0.0
310,0.0,0,0.0,0.0
311,-5.0,0,-0.07613508191678639,0.4
312,-5.0,0,-0.07613508191678639,0.3
313,-5.0,0,-0.07613508191678639,0.23
314,-10.0,0,-0.15227016383357278,0.46
315,0.0,0,0.0,0.0
316,0.0,0,0.0,0.0
317,0.0,0,0.0,0.0
318,0.0,0,0.0,0.0
319,-10.0,0,-0.15227016383357278,0.66
320,-60.0,1,-0.34602461816576885,3.96
321,0.0,0,0.0,0.0
322,-15.0,0,-0.22840524575035917,0.9
323,0.0,0,0.0,0.0
324,-5.0,0,-0.07613508191678639,0.15
325,-5.0,0,-0.07613508191678639,0.2
326,0.0,0,0.0,0.0
327,-5.0,0,-0.07613508191678639,0.49
328,0.0,0,0.0,0.0
329,-10.0,0,-0.15227016383357278,0.4
330,-5.0,0,-0.07613508191678639,0.11
331,-5.0,0,-0.07613508191678639,0.03
332,-5.0,0,-0.07613508191678639,0.06
333,-10.0,0,-0.15227016383357278,0.45
334,-5.0,0,-0.07613508191678639,0.25
335,0.0,0,0.0,0.0
336,0.0,0,0.0,0.0
337,-5.0,0,-0.07613508191678639,0.39
338,-5.0,0,-0.07613508191678639,0.47
339,-5.0,0,-0.07613508191678639,0.45
340,0.0,0,0.0,0.0
341,0.0,0,0.0,0.0
342,0.0,0,0.0,0.0
343,-10.0,0,-0.15227016383357278,0.08
344,0.0,0,0.0,0.0
345,0.0,0,0.0,0.0
346,-10.0,0,-0.15227016383357278,0.16
347,-5.0,0,-0.07613508191678639,0.49
348,0.0,0,0.0,0.0
349,0.0,0,0.0,0.0
350,0.0,0,0.0,0.0
351,-10.0,0,-0.15227016383357278,0.67
352,-5.0,0,-0.07613508191678639,0.32
353,-5.0,0,-0.07613508191678639,0.16
354,0.0,0,0.0,0.0
355,-5.0,0,-0.07613508191678639,0.29
356,0.0,0,0.0,0.0
357,0.0,0,0.0,0.0
358,0.0,0,0.0,0.0
359,-5.0,0,-0.07613508191678639,0.43
360,0.0,0,0.0,0.0
361,0.0,0,0.0,0.0
362,0.0,0,0.0,0.0
363,-5.0,0,-0.07613508191678639,0.27
364,-5.0,0,-0.07613508191678639,0.39
365,0.0,0,0.0,0.0
366,-5.0,0,-0.07613508191678639,0.4
367,0.0,0,0.0,0.0
368,0.0,0,0.0,0.0
369,0.0,0,0.0,0.0
370,0.0,0,0.0,0.0
371,-15.0,0,-0.22840524575035917,0.99
372,0.0,0,0.0,0.0
373,-15.0,0,-0.22840524575035917,0.64
374,0.0,0,0.0,0.0
375,0.0,0,0.0,0.0
376,-5.0,0,-0.07613508191678639,0.41
377,0.0,0,0.0,0.0
378,0.0,0,0.0,0.0
379,-20.0,0,-0.30454032766714556,1.02
380,-5.0,0,-0.07613508191678639,0.07
381,-5.0,0,-0.07613508191678639,0.23
382,0.0,0,0.0,0.0
383,-5.0,0,-0.07613508191678639,0.39
384,0.0,0,0.0,0.0
385,-10.0,0,-0.15227016383357278,0.95
386,0.0,0,0.0,0.0
387,-15.0,0,-0.22840524575035917,0.69
388,0.0,0,0.0,0.0
389,-5.0,0,-0.07613508191678639,0.17
390,0.0,0,0.0,0.0
391,-10.0,0,-0.15227016383357278,0.19
392,0.0,0,0.0,0.0
