total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
23.87,23.87,30,0,0,0,2,7,0,0.0,0,0,,0.8603841919146962,42,0
23.48,23.48,30,0,0,0,1,8,1,0.0,0,1,,0.7402609576967045,42,0
21.48,21.48,30,0,0,0,0,7,2,0.0,0,2,,0.6369088258938781,42,0
10.969999999999999,10.969999999999999,30,0,0,0,0,3,3,0.0,0,3,,0.547986285490042,42,0
21.53,21.53,30,0,0,0,0,7,4,0.0,0,4,,0.47147873742168567,42,0
23.52,23.52,30,0,0,0,1,7,5,0.0,0,5,,0.40565285250151817,42,0
22.65,22.65,30,0,0,0,0,15,6,0.0,0,6,,0.34901730169741024,42,0
21.71,21.71,30,0,0,0,0,8,7,0.0,0,7,,0.30028896908517405,42,0
22.13,22.13,30,0,0,0,0,7,8,0.0,0,8,,0.2583638820072446,42,0
21.78,21.78,30,0,0,0,0,2,9,0.0,0,9,,0.22229219984074702,42,0
21.77,21.77,30,0,0,0,0,3,10,0.0,0,10,,0.1912566947289212,42,0
20.58,20.58,30,0,0,0,0,1,11,0.0,0,11,,0.16455423674261854,42,0
22.57,22.57,30,0,0,0,1,2,12,0.0,0,12,,0.14157986400593744,42,0
20.189999999999998,20.189999999999998,30,0,0,0,0,1,13,0.0,0,13,,0.12181307688414106,42,0
21.96,21.96,30,0,0,0,0,4,14,0.0,0,14,,0.10480604571960442,42,0
22.57,22.57,30,0,0,0,1,2,15,0.0,0,15,,0.09017346495423652,42,0
21.57,21.57,30,0,0,0,0,2,16,0.0,0,16,,0.07758382377679894,42,0
13.459999999999994,13.459999999999994,30,0,0,0,2,12,17,0.0,0,17,,0.0667518955258533,42,0
21.96,21.96,30,0,0,0,0,4,18,0.0,0,18,,0.05743227569078546,42,0
21.97,21.97,30,0,0,0,1,22,19,0.0,0,19,,0.0494138221100385,42,0
