total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
20.259999999999998,20.259999999999998,30,0,0,0,0,13,0,0.0,0,1,,0,0.8603841919146962,123
23.54,23.54,30,0,0,0,1,6,1,0.0,0,2,,0,0.7402609576967045,123
22.91,22.91,30,0,0,0,0,9,2,0.0,0,3,,0,0.6369088258938781,123
23.55,23.55,30,0,0,0,1,4,3,0.0,0,4,,0,0.547986285490042,123
22.700000000000003,22.700000000000003,30,0,0,0,0,7,4,0.0,0,5,,0,0.47147873742168567,123
24.92,24.92,30,0,0,0,1,7,5,0.0,0,6,,0,0.40565285250151817,123
125.32,125.32,23,1,0,0,1,8,6,0.0,0,7,,0,0.3614809303671764,123
123.95,123.95,27,1,0,0,0,5,7,0.0,0,8,,0,0.3157247089126454,123
22.57,22.57,30,0,0,0,0,3,8,0.0,0,9,,0,0.27164454854530906,123
22.88,22.88,30,0,0,0,0,12,9,0.0,0,10,,0,0.23371867538818816,123
13.259999999999998,13.259999999999998,30,0,0,0,0,14,10,0.0,0,11,,0,0.2010878536592394,123
14.150000000000011,14.150000000000011,30,0,0,0,1,4,11,0.0,0,12,,0,0.1730128104744653,123
22.92,22.92,30,0,0,0,0,8,12,0.0,0,13,,0,0.14885748713096328,123
125.54,125.54,17,1,0,0,0,6,13,0.0,0,14,,0,0.13669828187021155,123
113.55000000000001,113.55000000000001,28,1,0,0,0,5,14,0.0,0,15,,0,0.11879805134519765,123
124.35,124.35,23,1,0,0,0,5,15,0.0,0,16,,0,0.10586201936274783,123
125.76,125.76,30,1,0,0,3,4,16,0.0,0,17,,0,0.09108200798387568,123
125.59,125.59,17,1,0,0,0,1,17,0.0,0,18,,0,0.08364210790237678,123
125.3,125.3,18,1,0,0,0,9,18,0.0,0,19,,0,0.07642587550895225,123
125.59,125.59,16,1,0,0,0,1,19,0.0,0,20,,0,0.07053581918419231,123
123.5,123.5,29,1,0,0,0,10,20,0.0,0,21,,0,0.0609928681304848,123
116.95,116.95,14,1,0,0,1,4,21,0.0,0,22,,0,0.05685938874076987,123
115.37,115.37,28,1,0,0,2,3,22,0.0,0,23,,0,0.0494138221100385,123
125.54,125.54,16,1,0,0,0,6,23,0.0,0,24,,0,0.045605554379880814,123
114.95,114.95,19,1,0,0,0,5,24,0.0,0,25,,0,0.04146257532741124,123
125.35,125.35,17,1,0,0,0,5,25,0.0,0,26,,0,0.038075765743545126,123
127.58,127.58,21,1,0,0,3,2,26,0.0,0,27,,0,0.034271518052411715,123
125.98,125.98,14,1,0,0,0,2,27,0.0,0,28,,0,0.031948941366546975,123
115.76,115.76,16,1,0,0,0,4,28,0.0,0,29,,0,0.02948667236521416,123
125.98,125.98,14,1,0,0,0,2,29,0.0,0,30,,0,0.027488364100186506,123
114.96000000000001,114.96000000000001,19,1,0,0,0,4,30,0.0,0,31,,0,0.024991218342344988,123
126.92,126.92,19,1,0,0,2,8,31,0.0,0,32,,0,0.022720922640519125,123
115.96000000000001,115.96000000000001,19,1,0,0,1,4,32,0.0,0,33,,0,0.020656869087560238,123
125.78,125.78,16,1,0,0,0,2,33,0.0,0,34,,0,0.019064867404770626,123
