total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
20.560000000000002,20.560000000000002,30,0,0,0,0,10,0,0.0,0,0,,0.8603841919146962,42,0
20.98,20.98,30,0,0,0,0,9,1,0.0,0,1,,0.7402609576967045,42,0
20.21,20.21,30,0,0,0,0,7,2,0.0,0,2,,0.6369088258938781,42,0
19.87,19.87,30,0,0,0,0,2,3,0.0,0,3,,0.547986285490042,42,0
19.65,19.65,30,0,0,0,0,4,4,0.0,0,4,,0.47147873742168567,42,0
21.840000000000003,21.840000000000003,30,0,0,0,0,6,5,0.0,0,5,,0.40565285250151817,42,0
23.259999999999998,23.259999999999998,30,0,0,0,0,4,6,0.0,0,6,,0.34901730169741024,42,0
22.41,22.41,30,0,0,0,0,9,7,0.0,0,7,,0.30028896908517405,42,0
22.02,22.02,30,0,0,0,0,8,8,0.0,0,8,,0.2583638820072446,42,0
21.64,21.64,30,0,0,0,0,6,9,0.0,0,9,,0.22229219984074702,42,0
21.619999999999997,21.619999999999997,30,0,0,0,0,8,10,0.0,0,10,,0.1912566947289212,42,0
22.2,22.2,30,0,0,0,0,10,11,0.0,0,11,,0.16455423674261854,42,0
21.64,21.64,30,0,0,0,0,6,12,0.0,0,12,,0.14157986400593744,42,0
22.6,22.6,30,0,0,0,1,5,13,0.0,0,13,,0.12181307688414106,42,0
21.62,21.62,30,0,0,0,0,8,14,0.0,0,14,,0.10480604571960442,42,0
20.67,20.67,30,0,0,0,0,3,15,0.0,0,15,,0.09017346495423652,42,0
22.22,22.22,30,0,0,0,1,3,16,0.0,0,16,,0.07758382377679894,42,0
21.67,21.67,30,0,0,0,0,3,17,0.0,0,17,,0.0667518955258533,42,0
21.46,21.46,30,0,0,0,0,4,18,0.0,0,18,,0.05743227569078546,42,0
18.7,18.7,30,0,0,0,0,0,19,0.0,0,19,,0.0494138221100385,42,0
18.5,18.5,30,0,0,0,0,0,20,0.0,0,20,,0.04251487140556204,42,0
