total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
11.76,11.76,23,0,0,0,0,6,0,0.0,0,1,,0,0.8911090557802088,42
12.2,12.2,19,0,0,0,0,3,1,0.0,0,2,,0,0.810157377815473,42
20.17,20.17,30,0,0,0,0,8,2,0.0,0,3,,0,0.697046600835495,42
23.03,23.03,30,0,0,0,0,6,3,0.0,0,4,,0,0.5997278763867329,42
23.96,23.96,30,0,0,0,1,9,4,0.0,0,5,,0,0.5159963842937159,42
14.42,14.42,7,0,0,0,0,1,5,0.0,0,6,,0,0.4982051627146237,42
13.569999999999999,13.569999999999999,12,0,0,0,0,1,6,0.0,0,7,,0,0.46912134373457726,42
14.049999999999999,14.049999999999999,10,0,0,0,0,3,7,0.0,0,8,,0,0.446186062443672,42
23.2,23.2,30,0,0,0,0,10,8,0.0,0,9,,0,0.38389143477919885,42
23.04,23.04,30,0,0,0,0,6,9,0.0,0,10,,0,0.3302941218954743,42
22.22,22.22,30,0,0,0,0,8,10,0.0,0,11,,0,0.28417984116121187,42
22.64,22.64,30,0,0,0,0,6,11,0.0,0,12,,0,0.24450384299593592,42
20.990000000000002,20.990000000000002,30,0,0,0,0,11,12,0.0,0,13,,0,0.21036724137609603,42
22.45,22.45,30,0,0,0,0,5,13,0.0,0,14,,0,0.18099664897669618,42
22.98,22.98,30,0,0,0,1,7,14,0.0,0,15,,0,0.1557266555690826,42
21.86,21.86,30,0,0,0,0,4,15,0.0,0,16,,0,0.13398475271138335,42
20.439999999999998,20.439999999999998,30,0,0,0,0,6,16,0.0,0,17,,0,0.11527836319047392,42
21.75,21.75,30,0,0,0,0,15,17,0.0,0,18,,0,0.09918368135888474,42
21.45,21.45,30,0,0,0,0,5,18,0.0,0,19,,0,0.08533607153708872,42
21.45,21.45,30,0,0,0,0,5,19,0.0,0,20,,0,0.07342180695061275,42
21.86,21.86,30,0,0,0,0,4,20,0.0,0,21,,0,0.06317096204211972,42
22.2,22.2,30,0,0,0,1,5,21,0.0,0,22,,0,0.0543512971290831,42
