total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
21.5,21.5,30,0,0,0,0,0,0,0.0,0,0,,0.8603841919146962,456,0
13.129999999999999,13.129999999999999,30,0,0,0,1,0,1,0.0,0,1,,0.7402609576967045,456,0
25.29,25.29,30,0,0,0,2,0,2,0.0,0,2,,0.6369088258938781,456,0
25.11,25.11,30,0,0,0,2,0,3,0.0,0,3,,0.547986285490042,456,0
22.68,22.68,30,0,0,0,0,0,4,0.0,0,4,,0.47147873742168567,456,0
5.350000000000005,5.350000000000005,30,0,0,0,2,0,5,0.0,0,5,,0.40565285250151817,456,0
125.34,125.34,26,1,0,0,1,0,6,0.0,0,6,,0.35608578229633,456,0
123.95,123.95,27,1,0,0,0,0,7,0.0,0,7,,0.31101247816653554,456,0
126.74,126.74,16,1,0,0,1,0,8,0.0,0,8,,0.28704309604425327,456,0
23.38,23.38,30,0,0,0,1,0,9,0.0,0,9,,0.24696734223472733,456,0
124.74,124.74,22,1,0,0,0,0,10,0.0,0,10,,0.2211807388415433,456,0
124.76,124.76,29,1,0,0,1,0,11,0.0,0,11,,0.1912566947289212,456,0
126.93,126.93,22,1,0,0,2,0,12,0.0,0,12,,0.1712870076899825,456,0
123.74,123.74,27,1,0,0,0,0,13,0.0,0,13,,0.14960551470448571,456,0
117.75,117.75,15,1,0,0,2,0,14,0.0,0,14,,0.138769433003975,456,0
126.35,126.35,19,1,0,0,1,0,15,0.0,0,15,,0.1261630989318213,456,0
123.16,123.16,29,1,0,0,0,0,16,0.0,0,16,,0.10909420695870241,456,0
114.96000000000001,114.96000000000001,19,1,0,0,0,0,17,0.0,0,17,,0.09918368135888474,456,0
124.69,124.69,21,1,0,0,0,0,18,0.0,0,18,,0.089273984641318,456,0
2.069999999999993,2.069999999999993,30,0,0,0,0,0,19,0.0,0,19,,0.07680992513462537,456,0
123.23,123.23,27,1,0,0,0,0,20,0.0,0,20,,0.06708733218678724,456,0
125.74,125.74,15,1,0,0,0,0,21,0.0,0,21,,0.062228127537270826,456,0
115.35,115.35,17,1,0,0,0,0,22,0.0,0,22,,0.05714511431233153,456,0
115.15,115.15,18,1,0,0,0,0,23,0.0,0,23,,0.052214913061211746,456,0
125.75,125.75,16,1,0,0,0,0,24,0.0,0,24,,0.048190768399801194,456,1
124.16,126.66,28,1,0,0,1,0,25,0.25,1,0,0.68,0.0418803316354751,456,1
113.02999999999999,113.02999999999999,29,1,0,0,0,0,26,0.5,2,0,0.72,0.03621424652392737,456,1
126.96,134.46,14,1,0,0,1,0,27,0.75,3,0,0.76,0.033760011361539714,456,1
125.75,125.75,16,1,0,0,0,0,28,1.0,4,0,0.8,0.031158165231288826,456,0
125.94,125.94,14,1,0,0,0,0,29,1.0,4,1,0.84,0.02904658009432929,456,0
125.94,125.94,14,1,0,0,0,0,30,1.0,4,2,0.88,0.02707809682994571,456,0
125.94,125.94,14,1,0,0,0,0,31,1.0,4,3,0.92,0.02524301744132218,456,0
123.7,123.7,25,1,0,0,0,0,32,1.0,4,4,0.92,0.022269900979844076,456,0
125.73,125.73,15,1,0,0,0,0,33,1.0,4,5,0.92,0.020656869087560238,456,0
124.73,124.73,20,1,0,0,0,0,34,1.0,4,6,0.92,0.018686420266267767,456,0
126.94,136.94,14,1,0,0,1,0,35,1.0,4,7,0.96,0.017420043796269234,456,0
123.64,123.64,25,1,0,0,0,0,36,1.0,4,8,0.96,0.015368315270123408,456,0
125.48,135.48,21,1,0,0,1,0,37,1.0,4,9,0.96,0.013832827362230486,456,0
125.91,135.91,19,1,0,0,1,0,38,1.0,4,10,0.96,0.012576201611761997,456,0
126.94,136.94,14,1,0,0,1,0,39,1.0,4,11,0.96,0.011723913930325095,456,0
125.95,125.95,14,1,0,0,0,0,40,1.0,4,12,0.96,0.010929385683282892,456,0
123.02,123.02,28,1,0,0,0,0,41,1.0,4,13,0.96,0.01,456,0
127.94,147.94,14,1,0,0,2,0,42,1.0,4,14,0.96,0.01,456,0
126.94,136.94,14,1,0,0,1,0,43,1.0,4,15,0.96,0.01,456,0
125.94,125.94,14,1,0,0,0,0,44,1.0,4,16,0.96,0.01,456,0
125.94,125.94,14,1,0,0,0,0,45,1.0,4,17,1.0,0.01,456,0
126.94,136.94,14,1,0,0,1,0,46,1.0,4,18,1.0,0.01,456,0
125.94,125.94,14,1,0,0,0,0,47,1.0,4,19,1.0,0.01,456,0
125.95,125.95,14,1,0,0,0,0,48,1.0,4,20,1.0,0.01,456,0
125.96,125.96,14,1,0,0,0,0,49,1.0,4,21,1.0,0.01,456,0
125.75,125.75,16,1,0,0,0,0,50,1.0,4,22,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,51,1.0,4,23,1.0,0.01,456,0
128.95,158.95000000000002,14,1,0,0,3,0,52,1.0,4,24,1.0,0.01,456,0
126.76,136.76,15,1,0,0,1,0,53,1.0,4,25,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,54,1.0,4,26,1.0,0.01,456,0
125.96,125.96,14,1,0,0,0,0,55,1.0,4,27,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,56,1.0,4,28,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,57,1.0,4,29,1.0,0.01,456,0
125.96,125.96,14,1,0,0,0,0,58,1.0,4,30,1.0,0.01,456,0
125.95,125.95,14,1,0,0,0,0,59,1.0,4,31,1.0,0.01,456,0
124.9,124.9,19,1,0,0,0,0,60,1.0,4,32,1.0,0.01,456,0
125.96,125.96,14,1,0,0,0,0,61,1.0,4,33,1.0,0.01,456,0
125.95,125.95,14,1,0,0,0,0,62,1.0,4,34,1.0,0.01,456,0
125.96,125.96,14,1,0,0,0,0,63,1.0,4,35,1.0,0.01,456,0
125.96,125.96,14,1,0,0,0,0,64,1.0,4,36,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,65,1.0,4,37,1.0,0.01,456,0
127.95,147.95,14,1,0,0,2,0,66,1.0,4,38,1.0,0.01,456,0
125.95,125.95,14,1,0,0,0,0,67,1.0,4,39,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,68,1.0,4,40,1.0,0.01,456,0
125.96,125.96,14,1,0,0,0,0,69,1.0,4,41,1.0,0.01,456,0
125.95,125.95,14,1,0,0,0,0,70,1.0,4,42,1.0,0.01,456,0
126.96,136.96,14,1,0,0,1,0,71,1.0,4,43,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,72,1.0,4,44,1.0,0.01,456,0
126.95,136.95,14,1,0,0,1,0,73,1.0,4,45,1.0,0.01,456,0
125.95,125.95,14,1,0,0,0,0,74,1.0,4,46,1.0,0.01,456,0
