total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
21.509999999999998,21.509999999999998,30,0,0,0,0,0,0,0.0,0,1,,0,0.8603841919146962,101112
24.18,24.18,30,0,0,0,2,0,1,0.0,0,2,,0,0.7402609576967045,101112
22.35,22.35,30,0,0,0,0,0,2,0.0,0,3,,0,0.6369088258938781,101112
21.4,21.4,30,0,0,0,0,0,3,0.0,0,4,,0,0.547986285490042,101112
23.59,23.59,30,0,0,0,2,0,4,0.0,0,5,,0,0.47147873742168567,101112
24.09,24.09,30,0,0,0,3,0,5,0.0,0,6,,0,0.40565285250151817,101112
13.94000000000001,13.94000000000001,30,0,0,0,1,0,6,0.0,0,7,,0,0.34901730169741024,101112
23.14,23.14,30,0,0,0,1,0,7,0.0,0,8,,0,0.30028896908517405,101112
23.18,23.18,30,0,0,0,1,0,8,0.0,0,9,,0,0.2583638820072446,101112
123.38,123.38,29,1,0,0,0,0,9,0.0,0,10,,0,0.22340924607110255,101112
21.220000000000002,21.220000000000002,30,0,0,0,0,0,10,0.0,0,11,,0,0.192217783647157,101112
22.49,22.49,30,0,0,0,0,0,11,0.0,0,12,,0,0.16538114245489302,101112
114.93,114.93,28,1,0,0,1,0,12,0.0,0,13,,0,0.14372497725712216,101112
21.759999999999998,21.759999999999998,30,0,0,0,0,0,13,0.0,0,14,,0,0.12365869841532712,101112
125.19,125.19,29,1,0,0,2,0,14,0.0,0,15,,0,0.10692863247165257,101112
21.31,21.31,30,0,0,0,0,0,15,0.0,0,16,,0,0.09199970504166631,101112
114.96000000000001,114.96000000000001,20,1,0,0,0,0,16,0.0,0,17,,0,0.0832238973628649,101112
22.619999999999997,22.619999999999997,30,0,0,0,1,0,17,0.0,0,18,,0,0.0716045256805401,101112
12.71,12.71,30,0,0,0,0,0,18,0.0,0,19,,0,0.061607401965086545,101112
126.12,126.12,19,1,0,0,1,0,19,0.0,0,20,,0,0.05601075525639029,101112
115.96000000000001,115.96000000000001,14,1,0,0,0,0,20,0.0,0,21,,0,0.052214913061211746,101112
115.99,115.99,14,1,0,0,0,0,21,0.0,0,22,,0,0.04867631463831842,101112
105.75,105.75,16,1,0,0,0,0,22,0.0,0,23,,0,0.044924885780066794,101112
