total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,transition_triggered,epsilon,seed
23.1,23.1,30,0,0,0,0,0,0,0.0,0,1,,0,0.8603841919146962,456
13.46,13.46,30,0,0,0,2,0,1,0.0,0,2,,0,0.7402609576967045,456
23.52,23.52,30,0,0,0,1,0,2,0.0,0,3,,0,0.6369088258938781,456
25.98,25.98,30,0,0,0,3,0,3,0.0,0,4,,0,0.547986285490042,456
22.95,22.95,30,0,0,0,0,0,4,0.0,0,5,,0,0.47147873742168567,456
24.45,24.45,30,0,0,0,1,0,5,0.0,0,6,,0,0.40565285250151817,456
114.92,114.92,22,1,0,0,0,0,6,0.0,0,7,,0,0.3632974174544486,456
124.9,124.9,29,1,0,0,1,0,7,0.0,0,8,,0,0.3141460853680822,456
124.29,124.29,22,1,0,0,0,0,8,0.0,0,9,,0,0.28134514724562876,456
123.71,123.71,27,1,0,0,0,0,9,0.0,0,10,,0,0.2457325055235537,456
114.89,114.89,22,1,0,0,0,0,10,0.0,0,11,,0,0.22007483514733558,456
114.35000000000001,114.35000000000001,24,1,0,0,0,0,11,0.0,0,12,,0,0.19513012515638165,456
114.07,114.07,24,1,0,0,0,0,12,0.0,0,13,,0,0.1730128104744653,456
115.95,115.95,14,1,0,0,0,0,13,0.0,0,14,,0,0.16128775296900558,456
124.07,124.07,25,1,0,0,0,0,14,0.0,0,15,,0,0.14229132060898236,456
125.57,125.57,17,1,0,0,0,0,15,0.0,0,16,,0,0.13066846301911936,456
125.12,125.12,20,1,0,0,0,0,16,0.0,0,17,,0,0.11820406108847166,456
125.53,125.53,17,1,0,0,0,0,17,0.0,0,18,,0,0.1085487359239089,456
125.13,125.13,27,1,0,0,1,0,18,0.0,0,19,,0,0.09480864735409487,456
115.33,115.33,17,1,0,0,0,0,19,0.0,0,20,,0,0.08706434220766679,456
123.4,123.4,28,1,0,0,0,0,20,0.0,0,21,,0,0.07566352740075044,456
125.96,125.96,14,1,0,0,0,0,21,0.0,0,22,,0,0.07053581918419231,456
126.67,126.67,21,1,0,0,2,0,22,0.0,0,23,,0,0.06348840406243188,456
124.26,124.26,22,1,0,0,0,0,23,0.0,0,24,,0,0.05685938874076987,456
126.74,126.74,15,1,0,0,1,0,24,0.0,0,25,,0,0.052741004581916356,456
