variant,seed,success_rate_total,success_last_100,gate,gate_passed,first_success_episode,convergence_episode,episodes,learning_rate,gamma,batch_size,shaping,reward_extra,regularization,curriculum,transfer,shaping_scale,shaping_tripwire_penalty,shaping_resource_bonus,weight_decay,dropout,transfer_checkpoint,notes,source_file
baseline,13,0.756,0.86,0.1,True,24.0,-1.0,1500,0.001,0.99,32,False,False,False,False,False,1.0,-100.0,10.0,0.0,0.0,,,results/pgf_v10_ablation\component_baseline\seeds\seed_0013\baseline_summary_20251208_092830.csv
baseline,42,0.806,0.85,0.1,True,11.0,-1.0,1500,0.001,0.99,32,False,False,False,False,False,1.0,-100.0,10.0,0.0,0.0,,,results/pgf_v10_ablation\component_baseline\seeds\seed_0042\baseline_summary_20251208_085101.csv
baseline,101,0.7746666666666666,0.81,0.1,True,74.0,-1.0,1500,0.001,0.99,32,False,False,False,False,False,1.0,-100.0,10.0,0.0,0.0,,,results/pgf_v10_ablation\component_baseline\seeds\seed_0101\baseline_summary_20251208_093422.csv
with_curriculum,101,0.614,0.81,0.1,True,1.0,-1.0,1500,0.001,0.99,32,False,False,False,True,False,1.0,-100.0,10.0,0.0,0.0,,,results/pgf_v10_ablation\component_with_curriculum\seeds\seed_0101\with_curriculum_summary_20251208_103954.csv
with_regularization,13,0.7566666666666667,0.97,0.1,True,6.0,-1.0,1500,0.001,0.99,32,False,False,True,False,False,1.0,-100.0,10.0,1e-05,0.1,,,results/pgf_v10_ablation\component_with_regularization\seeds\seed_0013\with_regularization_summary_20251208_110524.csv
with_regularization,42,0.7873333333333333,0.9,0.1,True,9.0,-1.0,1500,0.001,0.99,32,False,False,True,False,False,1.0,-100.0,10.0,1e-05,0.1,,,results/pgf_v10_ablation\component_with_regularization\seeds\seed_0042\with_regularization_summary_20251208_105856.csv
with_regularization,101,0.8186666666666667,0.97,0.1,True,2.0,-1.0,1500,0.001,0.99,32,False,False,True,False,False,1.0,-100.0,10.0,1e-05,0.1,,,results/pgf_v10_ablation\component_with_regularization\seeds\seed_0101\with_regularization_summary_20251208_111711.csv
with_rewardextra,13,0.522,0.21,0.1,True,5.0,-1.0,1500,0.001,0.99,32,False,True,False,False,False,1.0,-100.0,10.0,0.0,0.0,,,results/pgf_v10_ablation\component_with_rewardextra\seeds\seed_0013\with_rewardextra_summary_20251208_101413.csv
with_rewardextra,42,0.5013333333333333,0.74,0.1,True,13.0,-1.0,1500,0.001,0.99,32,False,True,False,False,False,1.0,-100.0,10.0,0.0,0.0,,,results/pgf_v10_ablation\component_with_rewardextra\seeds\seed_0042\with_rewardextra_summary_20251208_100648.csv
with_rewardextra,101,0.6366666666666667,0.73,0.1,True,136.0,-1.0,1500,0.001,0.99,32,False,True,False,False,False,1.0,-100.0,10.0,0.0,0.0,,,results/pgf_v10_ablation\component_with_rewardextra\seeds\seed_0101\with_rewardextra_summary_20251208_102223.csv
with_shaping,13,0.0,0.0,0.1,False,,-1.0,1500,0.001,0.99,32,True,False,False,False,False,1.0,-100.0,10.0,0.0,0.0,,collapsed_to_zero_success,results/pgf_v10_ablation\component_with_shaping\seeds\seed_0013\with_shaping_summary_20251208_095033.csv
with_shaping,42,0.018,0.0,0.1,False,4.0,-1.0,1500,0.001,0.99,32,True,False,False,False,False,1.0,-100.0,10.0,0.0,0.0,,collapsed_to_zero_success,results/pgf_v10_ablation\component_with_shaping\seeds\seed_0042\with_shaping_summary_20251208_094348.csv
with_shaping,101,0.0,0.0,0.1,False,,-1.0,1500,0.001,0.99,32,True,False,False,False,False,1.0,-100.0,10.0,0.0,0.0,,collapsed_to_zero_success,results/pgf_v10_ablation\component_with_shaping\seeds\seed_0101\with_shaping_summary_20251208_095722.csv
with_curriculum,13,,,0.1,False,,,1500,0.001,0.99,32,False,False,False,True,False,1.0,-100.0,10.0,0.0,0.0,,aborted_in_4x4_gate,
with_curriculum,42,,,0.1,False,,,1500,0.001,0.99,32,False,False,False,True,False,1.0,-100.0,10.0,0.0,0.0,,aborted_in_4x4_gate,
