success,rewards,steps,resources,epsilon,first_success
0,-7.770000000000001,57,1,0.7514768435208588,24
0,-35.87,7,0,0.7255664080186093,24
0,-37.4,50,1,0.5647174463480732,24
0,-7.600000000000001,60,1,0.4180382776616619,24
0,-35.349999999999994,7,0,0.4036245882390106,24
0,-29.3,70,4,0.28417984116121187,24
0,-9.600000000000001,54,0,0.2167901907234072,24
0,-8.02,60,1,0.16048131420416054,24
0,-7.400000000000002,54,0,0.12242520289863423,24
0,-7.6,60,1,0.1,24
0,-9.950000000000006,67,2,0.1,24
0,-7.200000000000001,60,1,0.1,24
0,-29.599999999999998,70,3,0.1,24
0,-7.800000000000001,60,1,0.1,24
0,-9.200000000000001,54,0,0.1,24
0,-8.800000000000002,60,1,0.1,24
0,-9.000000000000002,54,0,0.1,24
0,-9.400000000000002,54,0,0.1,24
0,-8.200000000000001,60,1,0.1,24
0,-31.77,70,3,0.1,24
0,-10.200000000000003,54,0,0.1,24
0,-6.55,56,1,0.1,24
0,-9.600000000000003,54,0,0.1,24
1,46.550000000000004,15,0,0.1,24
1,44.60000000000001,28,0,0.1,24
1,45.95,19,0,0.1,24
0,-9.000000000000002,54,0,0.1,24
0,-8.200000000000001,60,1,0.1,24
0,-34.4,10,1,0.1,24
1,44.75000000000001,27,0,0.1,24
0,-34.49999999999999,32,2,0.1,24
0,-37.3,18,1,0.1,24
1,48.6,16,2,0.1,24
1,45.25000000000001,47,1,0.1,24
1,43.650000000000006,35,0,0.1,24
1,45.690000000000005,38,1,0.1,24
0,-35.3,8,0,0.1,24
1,47.39000000000001,40,3,0.1,24
1,48.690000000000005,14,2,0.1,24
1,44.39000000000001,32,0,0.1,24
1,47.24,17,1,0.1,24
1,46.540000000000006,15,0,0.1,24
1,44.050000000000004,31,0,0.1,24
1,47.7,14,1,0.1,24
1,44.75000000000001,27,0,0.1,24
1,46.690000000000005,14,0,0.1,24
1,46.300000000000004,18,0,0.1,24
1,46.7,14,0,0.1,24
1,46.6,16,0,0.1,24
1,47.7,14,1,0.1,24
1,46.34,19,0,0.1,24
1,47.690000000000005,14,1,0.1,24
1,46.59,16,0,0.1,24
1,46.580000000000005,16,0,0.1,24
1,46.7,14,0,0.1,24
1,45.940000000000005,27,1,0.1,24
1,46.540000000000006,15,0,0.1,24
1,46.540000000000006,15,0,0.1,24
1,44.89000000000001,26,0,0.1,24
1,47.59,16,1,0.1,24
1,46.300000000000004,18,0,0.1,24
1,47.800000000000004,20,2,0.1,24
1,45.800000000000004,20,0,0.1,24
1,45.190000000000005,24,0,0.1,24
1,44.440000000000005,27,0,0.1,24
1,43.800000000000004,36,0,0.1,24
1,46.540000000000006,15,0,0.1,24
1,45.95,19,0,0.1,24
1,46.7,14,0,0.1,24
1,45.6,24,0,0.1,24
1,48.150000000000006,27,3,0.1,24
1,45.75000000000001,27,1,0.1,24
1,43.900000000000006,34,0,0.1,24
1,46.45,17,0,0.1,24
1,41.150000000000006,49,0,0.1,24
1,47.75,23,2,0.1,24
1,42.85000000000001,53,1,0.1,24
1,45.1,26,0,0.1,24
1,39.2,52,0,0.1,24
1,43.550000000000004,51,2,0.1,24
1,44.050000000000004,45,2,0.1,24
0,-8.600000000000001,54,0,0.1,24
0,-8.500000000000002,60,1,0.1,24
0,-8.4,54,0,0.1,24
1,40.50000000000001,50,0,0.1,24
0,-7.2,60,1,0.1,24
1,47.150000000000006,23,1,0.1,24
1,41.35000000000001,63,2,0.1,24
0,-7.8,54,0,0.1,24
1,42.10000000000001,50,1,0.1,24
0,-7.0,60,1,0.1,24
0,-7.600000000000001,54,0,0.1,24
1,40.45,51,0,0.1,24
0,-7.3999999999999995,60,1,0.1,24
0,-5.409999999999999,60,1,0.1,24
0,-6.949999999999999,67,2,0.1,24
1,39.7,54,0,0.1,24
1,40.60000000000001,58,1,0.1,24
1,40.85000000000001,57,1,0.1,24
1,44.75000000000001,39,0,0.1,24
1,39.6,52,0,0.1,24
0,-6.8,54,0,0.1,24
0,-8.4,54,0,0.1,24
0,-9.200000000000001,54,0,0.1,24
1,40.7,50,0,0.1,24
1,39.800000000000004,52,0,0.1,24
1,38.5,54,0,0.1,24
0,-7.3999999999999995,60,1,0.1,24
1,38.35,53,0,0.1,24
0,-7.6,60,1,0.1,24
0,-9.000000000000002,54,0,0.1,24
1,46.550000000000004,47,3,0.1,24
0,-6.550000000000001,67,2,0.1,24
0,-6.21,54,0,0.1,24
0,-6.76,67,2,0.1,24
0,-8.200000000000001,60,1,0.1,24
0,-5.81,54,0,0.1,24
1,44.650000000000006,53,1,0.1,24
1,44.10000000000001,56,1,0.1,24
0,-8.01,54,0,0.1,24
1,40.50000000000001,54,0,0.1,24
0,-9.110000000000003,60,1,0.1,24
0,-36.9,20,0,0.1,24
0,-36.849999999999994,17,0,0.1,24
0,-6.999999999999999,53,0,0.1,24
1,42.1,46,0,0.1,24
0,-6.95,53,0,0.1,24
0,-38.74999999999999,33,0,0.1,24
0,-5.56,60,1,0.1,24
0,-8.209999999999999,54,0,0.1,24
