success,rewards,steps,resources,epsilon,first_success
0,-5.799999999999999,60,1,0.7402609576967045,19
0,-5.949999999999999,67,3,0.5290920728090721,19
0,-34.599999999999994,10,1,0.5032248303978422,19
0,-27.999999999999996,70,3,0.3543053533848483,19
0,-6.0,64,2,0.2570720625972084,19
0,-7.75,67,2,0.18373897616330553,19
0,-8.610000000000001,54,0,0.14016760486247823,19
0,-9.410000000000004,54,0,0.10692863247165257,19
0,-8.0,60,1,0.1,19
0,-8.4,54,0,0.1,19
0,-7.800000000000001,54,0,0.1,19
0,-6.999999999999999,60,1,0.1,19
0,-8.700000000000001,60,1,0.1,19
0,-8.41,54,0,0.1,19
0,-8.950000000000001,67,2,0.1,19
0,-7.800000000000001,60,1,0.1,19
0,-7.600000000000002,64,2,0.1,19
0,-35.949999999999996,19,0,0.1,19
1,42.050000000000004,61,2,0.1,19
1,46.25000000000001,17,0,0.1,19
0,-5.409999999999999,60,2,0.1,19
1,40.650000000000006,65,2,0.1,19
0,-8.4,54,0,0.1,19
0,-10.010000000000003,54,0,0.1,19
0,-6.2,50,0,0.1,19
1,44.74,27,0,0.1,19
1,45.45,27,0,0.1,19
1,45.85,27,1,0.1,19
0,-35.6,10,0,0.1,19
1,44.050000000000004,33,0,0.1,19
0,-6.199999999999999,54,1,0.1,19
1,46.7,22,1,0.1,19
1,46.550000000000004,15,0,0.1,19
1,46.45,17,0,0.1,19
1,47.50000000000001,26,2,0.1,19
1,47.7,14,1,0.1,19
1,46.550000000000004,15,0,0.1,19
0,-35.65,13,0,0.1,19
1,47.300000000000004,22,1,0.1,19
1,46.85000000000001,21,1,0.1,19
1,46.7,14,0,0.1,19
1,46.45,17,0,0.1,19
1,46.7,14,0,0.1,19
0,-35.349999999999994,7,0,0.1,19
0,-35.199999999999996,6,0,0.1,19
1,46.6,16,0,0.1,19
1,46.150000000000006,19,0,0.1,19
1,45.7,30,1,0.1,19
1,46.7,14,0,0.1,19
1,46.7,14,0,0.1,19
1,47.150000000000006,19,1,0.1,19
1,47.60000000000001,16,1,0.1,19
1,45.650000000000006,29,1,0.1,19
1,48.10000000000001,18,2,0.1,19
1,47.550000000000004,15,1,0.1,19
1,46.7,14,0,0.1,19
1,42.2,52,0,0.1,19
