success,rewards,steps,resources,epsilon,first_success
0,-35.51,15,1,0.9275689688183278,12
0,-38.11,18,0,0.8475428503023453,12
0,-37.67999999999999,25,0,0.7477194593032545,12
0,-5.629999999999999,60,1,0.5535075230322891,12
0,-35.3,8,0,0.531750826943791,12
0,-7.2299999999999995,67,2,0.3800621177172763,12
0,-29.439999999999998,70,3,0.26759021970270175,12
0,-9.200000000000003,54,0,0.2041345879004775,12
0,-8.200000000000001,54,0,0.1557266555690826,12
0,-8.8,54,0,0.11879805134519765,12
0,-8.010000000000002,54,0,0.1,12
1,45.190000000000005,36,1,0.1,12
1,45.25000000000001,45,2,0.1,12
0,-10.150000000000002,67,2,0.1,12
0,-9.800000000000004,54,0,0.1,12
1,44.93000000000001,44,1,0.1,12
0,-4.799999999999999,60,1,0.1,12
0,-9.15,67,2,0.1,12
1,46.25000000000001,21,0,0.1,12
1,46.7,22,1,0.1,12
0,-8.600000000000001,60,1,0.1,12
1,45.35,31,1,0.1,12
0,-30.199999999999996,70,3,0.1,12
0,-10.000000000000004,54,0,0.1,12
0,-9.800000000000002,54,0,0.1,12
0,-8.820000000000002,60,1,0.1,12
1,43.85,41,1,0.1,12
1,46.25000000000001,17,0,0.1,12
0,-8.800000000000002,60,1,0.1,12
1,46.75000000000001,23,1,0.1,12
1,41.150000000000006,49,0,0.1,12
1,46.95,19,1,0.1,12
1,44.300000000000004,30,0,0.1,12
1,44.650000000000006,29,0,0.1,12
1,45.50000000000001,46,3,0.1,12
1,46.00000000000001,20,0,0.1,12
1,48.6,16,2,0.1,12
1,44.50000000000001,30,0,0.1,12
1,46.7,14,0,0.1,12
1,48.550000000000004,15,2,0.1,12
1,46.6,16,0,0.1,12
1,46.7,14,0,0.1,12
1,47.60000000000001,16,1,0.1,12
1,46.35000000000001,39,1,0.1,12
1,46.150000000000006,23,0,0.1,12
1,45.35000000000001,39,0,0.1,12
1,47.7,14,1,0.1,12
1,47.10000000000001,18,1,0.1,12
1,47.6,16,1,0.1,12
1,48.550000000000004,15,2,0.1,12
1,46.85000000000001,49,2,0.1,12
1,47.7,14,1,0.1,12
1,46.45,17,0,0.1,12
1,46.7,14,0,0.1,12
1,46.1,18,0,0.1,12
1,48.550000000000004,15,2,0.1,12
1,47.7,14,1,0.1,12
1,46.6,16,0,0.1,12
1,46.7,14,0,0.1,12
1,49.5,18,3,0.1,12
1,45.800000000000004,20,0,0.1,12
1,46.550000000000004,15,0,0.1,12
1,47.6,44,3,0.1,12
1,45.800000000000004,20,0,0.1,12
1,45.95,19,0,0.1,12
1,48.75000000000001,23,3,0.1,12
1,47.440000000000005,17,1,0.1,12
1,46.7,14,0,0.1,12
1,46.7,14,0,0.1,12
0,-34.3,8,1,0.1,12
1,46.1,22,0,0.1,12
1,46.550000000000004,15,0,0.1,12
1,48.7,14,2,0.1,12
1,45.050000000000004,29,0,0.1,12
1,47.550000000000004,15,1,0.1,12
1,46.7,14,0,0.1,12
1,46.400000000000006,16,0,0.1,12
1,46.7,14,0,0.1,12
1,46.25000000000001,21,0,0.1,12
1,47.7,14,1,0.1,12
1,45.650000000000006,21,0,0.1,12
1,46.24,25,1,0.1,12
1,45.650000000000006,25,0,0.1,12
1,46.6,16,0,0.1,12
1,45.800000000000004,20,0,0.1,12
0,-6.949999999999999,67,2,0.1,12
1,45.25000000000001,33,0,0.1,12
1,42.24000000000001,51,0,0.1,12
1,40.50000000000001,60,1,0.1,12
0,-10.200000000000005,54,0,0.1,12
0,-9.400000000000002,60,1,0.1,12
0,-10.000000000000004,54,0,0.1,12
0,-35.3,8,0,0.1,12
0,-7.400000000000001,60,1,0.1,12
1,45.400000000000006,28,0,0.1,12
1,40.300000000000004,60,1,0.1,12
1,42.7,50,0,0.1,12
1,43.10000000000001,70,3,0.1,12
1,44.00000000000001,62,2,0.1,12
1,43.75000000000001,39,0,0.1,12
0,-5.8,60,1,0.1,12
0,-6.599999999999999,60,1,0.1,12
1,39.10000000000001,60,1,0.1,12
1,44.60000000000001,44,0,0.1,12
0,-6.799999999999999,60,1,0.1,12
1,43.2,62,2,0.1,12
0,-6.6000000000000005,60,1,0.1,12
1,39.85,51,0,0.1,12
1,41.050000000000004,57,1,0.1,12
0,-5.599999999999999,60,1,0.1,12
0,-8.400000000000002,60,1,0.1,12
1,42.050000000000004,57,1,0.1,12
0,-8.100000000000001,60,1,0.1,12
1,42.150000000000006,49,0,0.1,12
0,-7.000000000000002,54,0,0.1,12
1,41.45,57,1,0.1,12
1,39.95,59,1,0.1,12
1,41.85000000000001,57,1,0.1,12
1,40.95,49,0,0.1,12
1,40.300000000000004,50,0,0.1,12
0,-8.400000000000002,54,0,0.1,12
1,40.60000000000001,52,0,0.1,12
1,43.60000000000001,58,2,0.1,12
1,39.85,51,0,0.1,12
0,-34.36000000000001,51,0,0.1,12
1,41.1,56,1,0.1,12
1,41.050000000000004,51,0,0.1,12
1,43.35000000000001,39,0,0.1,12
0,-7.600000000000002,60,1,0.1,12
1,42.45,57,1,0.1,12
1,43.150000000000006,49,0,0.1,12
1,43.25000000000001,45,1,0.1,12
0,-7.349999999999999,67,2,0.1,12
0,-8.600000000000001,54,0,0.1,12
1,42.75000000000001,63,2,0.1,12
1,42.550000000000004,51,1,0.1,12
1,40.300000000000004,54,0,0.1,12
1,42.25000000000001,65,3,0.1,12
1,41.25000000000001,51,0,0.1,12
1,40.1,62,2,0.1,12
1,37.7,54,0,0.1,12
1,41.5,56,1,0.1,12
1,43.900000000000006,54,2,0.1,12
0,-7.800000000000003,54,1,0.1,12
0,-8.810000000000002,54,0,0.1,12
1,41.300000000000004,56,1,0.1,12
0,-6.6,54,0,0.1,12
1,39.15,59,1,0.1,12
1,43.900000000000006,56,1,0.1,12
1,42.330000000000005,62,2,0.1,12
0,-8.600000000000003,54,0,0.1,12
1,40.849999999999994,57,1,0.1,12
0,-6.999999999999999,60,1,0.1,12
0,-6.349999999999998,67,2,0.1,12
1,43.60000000000001,62,2,0.1,12
0,-9.400000000000002,54,0,0.1,12
1,42.550000000000004,49,0,0.1,12
1,42.45,57,1,0.1,12
1,42.14000000000001,59,1,0.1,12
1,42.550000000000004,49,0,0.1,12
0,-8.810000000000004,54,0,0.1,12
1,43.050000000000004,57,1,0.1,12
0,-9.300000000000002,60,1,0.1,12
0,-8.600000000000007,60,1,0.1,12
1,44.7,30,0,0.1,12
0,-7.15,67,2,0.1,12
0,-8.000000000000002,60,1,0.1,12
0,-6.000000000000001,60,1,0.1,12
0,-8.0,54,0,0.1,12
1,40.85000000000001,57,1,0.1,12
0,-8.200000000000001,60,1,0.1,12
0,-24.499999999999996,70,4,0.1,12
1,46.150000000000006,23,0,0.1,12
1,45.1,42,2,0.1,12
0,-8.200000000000003,54,0,0.1,12
0,-8.410000000000002,54,0,0.1,12
1,41.1,50,0,0.1,12
0,-9.600000000000005,54,0,0.1,12
0,-8.600000000000003,54,0,0.1,12
0,-8.800000000000002,54,0,0.1,12
1,42.35000000000001,49,0,0.1,12
0,-9.000000000000002,54,0,0.1,12
0,-8.600000000000001,60,1,0.1,12
0,-9.000000000000004,54,0,0.1,12
0,-10.200000000000005,54,0,0.1,12
0,-8.800000000000002,60,1,0.1,12
0,-9.200000000000003,54,0,0.1,12
0,-9.000000000000002,54,0,0.1,12
0,-9.800000000000004,54,0,0.1,12
0,-9.000000000000004,60,1,0.1,12
0,-10.800000000000006,54,0,0.1,12
0,-9.800000000000004,54,0,0.1,12
0,-31.2,70,3,0.1,12
0,-8.810000000000004,54,0,0.1,12
0,-8.400000000000004,54,0,0.1,12
0,-8.800000000000002,54,0,0.1,12
0,-7.2000000000000055,60,1,0.1,12
1,43.050000000000004,41,0,0.1,12
0,-10.400000000000002,54,0,0.1,12
0,-7.010000000000002,60,1,0.1,12
0,-6.6,60,1,0.1,12
0,-8.400000000000002,60,1,0.1,12
0,-8.600000000000001,54,0,0.1,12
0,-8.800000000000004,60,1,0.1,12
1,40.5,56,2,0.1,12
0,-7.600000000000002,60,1,0.1,12
0,-11.35,67,2,0.1,12
0,-8.810000000000002,60,1,0.1,12
0,-10.210000000000004,54,0,0.1,12
0,-7.440000000000003,53,0,0.1,12
1,38.95,53,0,0.1,12
0,-10.400000000000004,54,0,0.1,12
0,-9.000000000000002,54,0,0.1,12
0,-7.6000000000000005,53,0,0.1,12
0,-8.400000000000004,54,0,0.1,12
1,43.040000000000006,39,0,0.1,12
0,-9.400000000000002,54,0,0.1,12
1,44.09,56,1,0.1,12
0,-42.83,60,1,0.1,12
0,-10.000000000000004,54,0,0.1,12
0,-10.200000000000003,54,0,0.1,12
0,-11.000000000000007,54,0,0.1,12
1,40.65,59,1,0.1,12
1,46.650000000000006,21,1,0.1,12
0,-10.610000000000005,54,0,0.1,12
0,-8.4,54,1,0.1,12
0,-6.64,54,0,0.1,12
0,-8.440000000000003,53,0,0.1,12
0,-10.400000000000004,54,0,0.1,12
0,-42.81999999999999,60,1,0.1,12
1,44.7,42,1,0.1,12
1,44.040000000000006,37,0,0.1,12
1,40.49,56,1,0.1,12
0,-7.780000000000002,60,1,0.1,12
