success,rewards,steps,resources,epsilon,first_success
0,-40.81999999999999,64,2,0.7255664080186093,67
0,-36.53999999999999,24,0,0.6433260027715241,67
0,-8.800000000000002,47,0,0.5082950737585841,67
0,-7.0,60,1,0.37627099809304654,67
0,-34.900000000000006,54,0,0.28704309604425327,67
0,-8.81,60,1,0.21248679717794605,67
0,-7.2299999999999995,60,1,0.1572956799768517,67
0,-9.600000000000003,54,0,0.11999500148501063,67
0,-9.000000000000004,54,0,0.1,67
0,-5.6,60,1,0.1,67
0,-9.800000000000004,54,0,0.1,67
0,-8.350000000000001,67,2,0.1,67
0,-8.010000000000002,50,0,0.1,67
0,-7.810000000000001,50,0,0.1,67
0,-38.849999999999994,41,0,0.1,67
0,-9.410000000000002,54,1,0.1,67
0,-29.009999999999998,70,3,0.1,67
0,-7.6000000000000005,60,1,0.1,67
0,-7.61,50,0,0.1,67
0,-9.200000000000003,60,1,0.1,67
0,-8.600000000000001,60,1,0.1,67
0,-9.600000000000003,60,1,0.1,67
0,-11.600000000000009,54,0,0.1,67
0,-8.01,54,0,0.1,67
0,-10.610000000000005,54,0,0.1,67
0,-7.960000000000003,67,2,0.1,67
0,-9.400000000000004,54,0,0.1,67
0,-7.61,54,0,0.1,67
0,-8.15,67,2,0.1,67
0,-8.55,67,2,0.1,67
0,-9.800000000000002,54,0,0.1,67
0,-8.0,60,1,0.1,67
0,-8.35,67,2,0.1,67
0,-9.200000000000003,60,1,0.1,67
0,-9.000000000000002,54,0,0.1,67
0,-9.200000000000001,54,0,0.1,67
0,-7.6000000000000005,54,0,0.1,67
0,-9.000000000000002,54,0,0.1,67
0,-9.000000000000002,60,1,0.1,67
0,-8.800000000000002,60,1,0.1,67
0,-8.2,60,1,0.1,67
0,-9.400000000000002,54,0,0.1,67
0,-29.799999999999997,70,3,0.1,67
0,-8.4,60,1,0.1,67
0,-8.000000000000002,54,0,0.1,67
0,-8.4,54,0,0.1,67
0,-9.800000000000004,54,0,0.1,67
0,-8.600000000000001,60,1,0.1,67
0,-8.800000000000002,60,1,0.1,67
0,-7.8,54,0,0.1,67
0,-7.4,60,1,0.1,67
0,-7.15,67,2,0.1,67
0,-9.800000000000002,54,0,0.1,67
0,-9.15,67,2,0.1,67
0,-7.6000000000000005,54,0,0.1,67
0,-9.000000000000002,54,0,0.1,67
0,-8.4,54,0,0.1,67
0,-8.200000000000003,60,1,0.1,67
0,-8.0,60,1,0.1,67
0,-9.000000000000002,54,0,0.1,67
0,-8.8,54,0,0.1,67
0,-10.220000000000004,54,0,0.1,67
0,-9.750000000000004,67,2,0.1,67
0,-11.010000000000007,54,0,0.1,67
0,-29.999999999999996,70,3,0.1,67
0,-7.610000000000002,60,1,0.1,67
1,44.550000000000004,55,3,0.1,67
0,-8.0,60,1,0.1,67
1,42.50000000000001,42,0,0.1,67
0,-10.000000000000004,54,0,0.1,67
0,-8.01,54,0,0.1,67
0,-8.2,54,0,0.1,67
0,-7.61,60,1,0.1,67
1,43.45,37,0,0.1,67
1,46.300000000000004,18,0,0.1,67
0,-8.75,67,2,0.1,67
0,-10.850000000000005,67,2,0.1,67
1,45.35,27,0,0.1,67
1,43.150000000000006,51,1,0.1,67
1,46.1,22,0,0.1,67
1,47.400000000000006,16,1,0.1,67
1,42.1,46,0,0.1,67
1,47.550000000000004,15,1,0.1,67
1,46.050000000000004,29,1,0.1,67
1,46.550000000000004,15,0,0.1,67
0,-10.700000000000005,60,1,0.1,67
1,42.050000000000004,53,1,0.1,67
1,46.45,33,2,0.1,67
1,43.60000000000001,36,0,0.1,67
1,46.550000000000004,15,0,0.1,67
1,46.550000000000004,15,0,0.1,67
1,47.400000000000006,16,1,0.1,67
1,48.550000000000004,15,2,0.1,67
1,47.60000000000001,16,1,0.1,67
1,47.7,14,1,0.1,67
1,46.1,16,0,0.1,67
1,48.6,16,2,0.1,67
1,47.7,14,1,0.1,67
1,46.7,14,0,0.1,67
1,46.7,14,0,0.1,67
1,46.7,14,0,0.1,67
1,46.7,14,0,0.1,67
1,47.50000000000001,22,2,0.1,67
1,47.50000000000001,18,1,0.1,67
1,47.60000000000001,16,1,0.1,67
1,46.50000000000001,18,0,0.1,67
1,46.550000000000004,15,0,0.1,67
1,47.7,14,1,0.1,67
1,46.400000000000006,16,0,0.1,67
1,46.7,14,0,0.1,67
1,47.7,14,1,0.1,67
1,46.25000000000001,17,0,0.1,67
1,43.050000000000004,35,0,0.1,67
1,46.7,14,0,0.1,67
1,48.7,14,2,0.1,67
1,46.6,16,0,0.1,67
1,47.7,14,1,0.1,67
1,46.7,14,0,0.1,67
1,47.50000000000001,18,1,0.1,67
1,46.6,16,0,0.1,67
1,47.7,14,1,0.1,67
1,47.45,17,1,0.1,67
1,47.550000000000004,15,1,0.1,67
1,48.6,16,2,0.1,67
1,45.50000000000001,22,0,0.1,67
0,-35.449999999999996,9,0,0.1,67
0,-35.4,10,0,0.1,67
0,-8.0,60,1,0.1,67
1,45.800000000000004,20,0,0.1,67
1,48.6,16,2,0.1,67
0,-35.6,10,0,0.1,67
1,46.7,14,0,0.1,67
1,48.550000000000004,15,2,0.1,67
1,45.300000000000004,34,1,0.1,67
1,47.6,16,1,0.1,67
1,47.7,22,2,0.1,67
1,45.800000000000004,20,0,0.1,67
1,45.1,34,1,0.1,67
1,46.6,16,0,0.1,67
1,45.800000000000004,28,1,0.1,67
1,46.400000000000006,16,0,0.1,67
1,45.50000000000001,26,0,0.1,67
1,44.2,32,0,0.1,67
1,48.400000000000006,20,2,0.1,67
1,44.95,27,0,0.1,67
1,45.400000000000006,24,0,0.1,67
1,45.95,17,0,0.1,67
1,47.10000000000001,18,1,0.1,67
1,46.400000000000006,16,0,0.1,67
1,46.550000000000004,15,0,0.1,67
1,47.00000000000001,20,1,0.1,67
1,46.7,22,1,0.1,67
1,46.7,14,0,0.1,67
1,46.900000000000006,22,1,0.1,67
1,47.550000000000004,15,1,0.1,67
1,45.150000000000006,39,2,0.1,67
1,47.1,18,1,0.1,67
1,46.6,16,0,0.1,67
1,48.95,19,3,0.1,67
0,-8.8,54,0,0.1,67
0,-7.6000000000000005,60,1,0.1,67
1,47.25000000000001,17,1,0.1,67
1,42.550000000000004,43,0,0.1,67
0,-9.150000000000002,67,2,0.1,67
0,-8.2,54,0,0.1,67
0,-7.600000000000002,60,1,0.1,67
1,43.35000000000001,59,2,0.1,67
1,46.900000000000006,30,2,0.1,67
0,-8.600000000000003,60,1,0.1,67
0,-26.599999999999998,70,3,0.1,67
0,-27.299999999999997,70,3,0.1,67
0,-9.150000000000002,67,2,0.1,67
0,-9.000000000000002,54,0,0.1,67
0,-8.200000000000001,60,1,0.1,67
0,-8.600000000000001,60,1,0.1,67
0,-8.15,67,2,0.1,67
0,-26.9,70,4,0.1,67
0,-7.8,54,0,0.1,67
0,-8.400000000000002,54,0,0.1,67
0,-7.6,54,0,0.1,67
0,-7.8,54,0,0.1,67
0,-8.8,54,0,0.1,67
1,44.50000000000001,38,1,0.1,67
0,-9.400000000000002,54,0,0.1,67
0,-7.200000000000001,60,1,0.1,67
0,-8.000000000000002,54,0,0.1,67
0,-9.000000000000002,54,0,0.1,67
0,-8.900000000000002,60,1,0.1,67
0,-8.8,54,0,0.1,67
0,-11.600000000000009,54,0,0.1,67
0,-8.200000000000001,54,0,0.1,67
0,-7.3500000000000005,67,2,0.1,67
0,-29.209999999999994,70,3,0.1,67
0,-8.0,54,0,0.1,67
0,-9.000000000000004,54,0,0.1,67
0,-35.2,70,3,0.1,67
0,-28.009999999999998,70,3,0.1,67
0,-8.4,54,0,0.1,67
0,-8.000000000000002,60,1,0.1,67
0,-6.200000000000001,60,1,0.1,67
0,-8.400000000000007,60,1,0.1,67
0,-8.0,54,0,0.1,67
0,-9.200000000000001,54,0,0.1,67
0,-11.200000000000006,54,0,0.1,67
0,-11.400000000000007,54,0,0.1,67
0,-8.010000000000003,60,1,0.1,67
0,-10.200000000000005,60,1,0.1,67
0,-11.400000000000007,54,0,0.1,67
0,-9.200000000000003,54,0,0.1,67
0,-9.600000000000003,54,0,0.1,67
0,-27.799999999999997,70,3,0.1,67
0,-10.800000000000004,60,1,0.1,67
0,-8.410000000000002,54,0,0.1,67
0,-4.999999999999998,60,1,0.1,67
0,-6.610000000000001,60,2,0.1,67
0,-27.4,70,3,0.1,67
0,-33.800000000000004,70,3,0.1,67
0,-8.400000000000002,54,0,0.1,67
0,-8.600000000000001,54,0,0.1,67
1,38.7,54,0,0.1,67
0,-8.000000000000002,54,0,0.1,67
0,-8.800000000000004,54,0,0.1,67
0,-11.200000000000006,54,0,0.1,67
0,-7.3500000000000005,67,2,0.1,67
0,-8.610000000000005,54,0,0.1,67
0,-8.800000000000002,54,0,0.1,67
0,-8.8,54,0,0.1,67
0,-11.000000000000007,54,0,0.1,67
1,41.400000000000006,58,1,0.1,67
0,-8.810000000000004,54,0,0.1,67
1,43.400000000000006,44,1,0.1,67
0,-11.200000000000006,54,0,0.1,67
0,-8.000000000000004,54,0,0.1,67
0,-7.960000000000006,67,2,0.1,67
0,-7.999999999999999,60,1,0.1,67
1,42.290000000000006,46,0,0.1,67
0,-11.000000000000007,54,0,0.1,67
0,-9.020000000000001,54,0,0.1,67
0,-9.000000000000004,54,0,0.1,67
0,-7.350000000000001,67,2,0.1,67
1,45.150000000000006,31,1,0.1,67
1,45.650000000000006,21,0,0.1,67
0,-7.210000000000001,54,0,0.1,67
0,-7.300000000000001,60,1,0.1,67
0,-9.600000000000005,60,1,0.1,67
1,39.699999999999996,60,1,0.1,67
0,-9.410000000000002,54,0,0.1,67
0,-8.950000000000006,67,2,0.1,67
0,-10.400000000000006,53,0,0.1,67
1,43.59,48,2,0.1,67
0,-11.010000000000007,54,0,0.1,67
0,-10.000000000000004,54,0,0.1,67
0,-11.200000000000006,54,0,0.1,67
0,-11.400000000000007,54,0,0.1,67
0,-7.8,60,1,0.1,67
1,42.400000000000006,48,0,0.1,67
0,-11.000000000000007,54,0,0.1,67
0,-10.810000000000006,54,0,0.1,67
1,46.50000000000001,22,1,0.1,67
1,47.7,14,1,0.1,67
1,44.550000000000004,35,1,0.1,67
1,44.2,32,0,0.1,67
0,-9.820000000000004,54,0,0.1,67
1,45.10000000000001,34,1,0.1,67
1,41.540000000000006,49,0,0.1,67
0,-8.000000000000002,67,2,0.1,67
1,44.540000000000006,43,1,0.1,67
0,-8.4,54,0,0.1,67
0,-11.600000000000009,54,0,0.1,67
0,-11.000000000000007,54,0,0.1,67
0,-9.000000000000004,54,0,0.1,67
1,45.650000000000006,37,1,0.1,67
1,45.89000000000001,26,0,0.1,67
0,-11.510000000000005,60,1,0.1,67
0,-10.300000000000006,60,1,0.1,67
0,-10.120000000000005,50,1,0.1,67
0,-8.4,54,0,0.1,67
0,-7.170000000000001,67,2,0.1,67
0,-10.210000000000004,60,1,0.1,67
0,-10.000000000000005,60,1,0.1,67
1,46.800000000000004,20,1,0.1,67
0,-11.200000000000006,54,0,0.1,67
0,-11.200000000000006,54,0,0.1,67
1,44.150000000000006,51,3,0.1,67
1,42.50000000000001,42,0,0.1,67
1,45.09,26,0,0.1,67
0,-10.830000000000005,54,0,0.1,67
1,46.7,14,0,0.1,67
1,44.45,49,2,0.1,67
1,47.550000000000004,15,1,0.1,67
0,-8.170000000000003,67,2,0.1,67
0,-9.400000000000004,54,0,0.1,67
0,-9.430000000000003,54,0,0.1,67
0,-7.980000000000003,60,1,0.1,67
0,-11.000000000000007,54,0,0.1,67
0,-7.6000000000000005,60,1,0.1,67
0,-8.230000000000002,53,0,0.1,67
0,-10.400000000000006,54,0,0.1,67
0,-10.200000000000005,54,0,0.1,67
0,-11.600000000000009,54,0,0.1,67
1,45.550000000000004,27,0,0.1,67
0,-9.000000000000005,54,1,0.1,67
1,46.25000000000001,17,0,0.1,67
1,47.7,14,1,0.1,67
1,47.85,21,2,0.1,67
1,46.7,14,0,0.1,67
0,-11.200000000000006,54,0,0.1,67
1,44.85000000000001,37,1,0.1,67
1,46.7,14,0,0.1,67
1,43.550000000000004,43,1,0.1,67
1,44.050000000000004,41,1,0.1,67
1,42.800000000000004,40,0,0.1,67
1,42.60000000000001,44,0,0.1,67
1,47.25000000000001,17,1,0.1,67
1,44.45,37,0,0.1,67
1,44.900000000000006,26,0,0.1,67
1,47.35,19,1,0.1,67
1,46.25000000000001,17,0,0.1,67
0,-10.200000000000005,54,0,0.1,67
1,46.7,14,0,0.1,67
0,-7.600000000000001,54,0,0.1,67
1,46.400000000000006,16,0,0.1,67
1,45.900000000000006,26,1,0.1,67
1,46.300000000000004,18,0,0.1,67
