success,rewards,steps,resources,epsilon,first_success
1,35.440000000000005,13,1,0.9369146928798039,1
0,-25.2,24,1,0.8307187014821328,1
1,34.50000000000001,8,0,0.798065677681905,1
0,-25.639999999999997,24,0,0.7076077347272662,1
1,33.64000000000001,15,0,0.6563549768288433,1
1,32.99,20,3,0.5937455908197752,1
1,33.25000000000001,11,0,0.5618938591163328,1
1,34.870000000000005,24,2,0.4982051627146237,1
1,35.2,8,0,0.47862223409330756,1
1,35.84,9,1,0.457510005540005,1
1,37.300000000000004,22,4,0.40974000909221303,1
1,37.18000000000001,8,2,0.3936343764094253,1
1,37.64,7,3,0.3800621177172763,1
1,36.14000000000001,7,1,0.3669578217261671,1
1,34.970000000000006,14,1,0.3420891339682016,1
1,34.95,11,0,0.3237376186352221,1
1,36.900000000000006,10,2,0.3079101286968243,1
1,36.480000000000004,8,2,0.29580711868545667,1
1,35.18000000000001,8,0,0.28417984116121187,1
1,34.84,17,1,0.2609670281126685,1
1,34.190000000000005,8,0,0.2507092085103961,1
1,34.790000000000006,6,0,0.24328132378095624,1
1,37.290000000000006,6,2,0.23607350863684065,1
1,35.790000000000006,6,1,0.2290792429684691,1
1,37.190000000000005,8,2,0.22007483514733558,1
1,36.650000000000006,7,2,0.21248679717794605,1
1,36.290000000000006,6,1,0.20619134658263935,1
1,36.290000000000006,6,1,0.2000824143909432,1
1,36.300000000000004,6,1,0.19415447453059972,1
1,35.14000000000001,7,0,0.18746015382974018,1
1,34.690000000000005,8,0,0.1800916657318127,1
1,33.940000000000005,21,1,0.16209824418995536,1
0,-24.709999999999997,24,2,0.14372497725712216,1
1,36.09,10,2,0.13669828187021155,1
1,37.14000000000001,7,2,0.13198501352907185,1
1,33.580000000000005,22,1,0.11820406108847166,1
1,35.800000000000004,6,1,0.11470197137452155,1
1,35.790000000000006,6,1,0.11130363979080501,1
1,32.980000000000004,18,0,0.10170090558064004,1
1,35.84,9,1,0.1,1
1,38.300000000000004,6,3,0.1,1
0,-24.599999999999998,24,2,0.1,1
1,36.7,10,2,0.1,1
1,37.580000000000005,10,3,0.1,1
1,35.300000000000004,6,0,0.1,1
1,36.85,9,2,0.1,1
1,36.85,9,2,0.1,1
0,-26.2,24,0,0.1,1
0,-22.999999999999996,24,2,0.1,1
0,-23.599999999999998,24,2,0.1,1
0,-25.999999999999996,24,0,0.1,1
1,36.400000000000006,14,2,0.1,1
1,36.150000000000006,7,1,0.1,1
1,33.400000000000006,24,2,0.1,1
1,37.85,9,3,0.1,1
1,37.150000000000006,7,2,0.1,1
1,38.300000000000004,6,3,0.1,1
0,-26.5,24,1,0.1,1
0,-20.5,24,5,0.1,1
0,-25.4,24,1,0.1,1
0,-20.4,24,5,0.1,1
0,-24.11,24,3,0.1,1
0,-25.799999999999997,24,1,0.1,1
0,-24.209999999999997,24,2,0.1,1
0,-25.72,24,1,0.1,1
0,-24.599999999999998,24,1,0.1,1
0,-22.509999999999998,24,3,0.1,1
1,33.59,14,0,0.1,1
0,-25.599999999999998,24,1,0.1,1
0,-25.209999999999997,24,1,0.1,1
0,-25.2,24,1,0.1,1
0,-26.599999999999998,24,0,0.1,1
0,-23.2,24,3,0.1,1
0,-24.599999999999998,24,1,0.1,1
0,-26.4,24,0,0.1,1
0,-23.2,24,4,0.1,1
0,-26.409999999999997,24,0,0.1,1
0,-24.22,24,1,0.1,1
0,-26.81,24,0,0.1,1
0,-27.199999999999996,24,0,0.1,1
0,-26.409999999999997,24,0,0.1,1
0,-26.599999999999998,24,0,0.1,1
0,-25.9,24,1,0.1,1
0,-27.4,24,0,0.1,1
0,-24.599999999999998,24,2,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.009999999999998,24,0,0.1,1
1,33.690000000000005,20,1,0.1,1
0,-24.9,24,2,0.1,1
0,-26.199999999999996,24,1,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-25.599999999999998,24,1,0.1,1
0,-26.009999999999998,24,1,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.4,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.199999999999996,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.009999999999998,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.4,24,0,0.1,1
1,34.040000000000006,11,0,0.1,1
1,34.300000000000004,16,1,0.1,1
1,33.00000000000001,16,0,0.1,1
1,35.14000000000001,7,0,0.1,1
0,-26.4,24,1,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-25.11,24,2,0.1,1
1,36.39000000000001,12,2,0.1,1
1,35.64000000000001,17,2,0.1,1
1,36.290000000000006,6,1,0.1,1
1,35.39000000000001,12,1,0.1,1
0,-27.599999999999998,24,0,0.1,1
1,34.45,15,1,0.1,1
1,35.7,8,1,0.1,1
1,34.550000000000004,17,1,0.1,1
1,35.50000000000001,8,1,0.1,1
1,35.1,14,1,0.1,1
1,33.64000000000001,17,0,0.1,1
0,-27.4,24,0,0.1,1
0,-27.2,24,0,0.1,1
1,34.7,10,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-27.599999999999998,24,0,0.1,1
1,36.89000000000001,12,3,0.1,1
1,35.03,9,0,0.1,1
1,35.290000000000006,6,0,0.1,1
1,35.290000000000006,6,0,0.1,1
1,35.790000000000006,6,1,0.1,1
1,36.690000000000005,8,2,0.1,1
1,34.440000000000005,15,1,0.1,1
1,35.400000000000006,12,1,0.1,1
1,35.300000000000004,6,0,0.1,1
1,37.290000000000006,6,2,0.1,1
1,37.290000000000006,6,2,0.1,1
1,34.35,9,0,0.1,1
0,-27.2,24,0,0.1,1
1,35.040000000000006,19,2,0.1,1
1,33.74,21,1,0.1,1
0,-27.599999999999998,24,0,0.1,1
0,-26.2,24,1,0.1,1
1,34.800000000000004,6,0,0.1,1
1,34.800000000000004,6,0,0.1,1
1,35.800000000000004,6,1,0.1,1
1,34.800000000000004,6,0,0.1,1
1,38.2,8,4,0.1,1
1,36.690000000000005,8,2,0.1,1
1,35.2,8,1,0.1,1
1,35.790000000000006,6,1,0.1,1
1,34.800000000000004,6,0,0.1,1
1,36.650000000000006,7,2,0.1,1
1,34.800000000000004,6,0,0.1,1
1,35.64000000000001,7,1,0.1,1
1,35.49,8,1,0.1,1
1,34.790000000000006,6,0,0.1,1
1,34.64000000000001,7,0,0.1,1
1,36.790000000000006,6,2,0.1,1
1,34.800000000000004,6,0,0.1,1
1,34.800000000000004,6,0,0.1,1
1,35.800000000000004,6,1,0.1,1
1,35.790000000000006,6,1,0.1,1
1,34.800000000000004,6,0,0.1,1
1,36.300000000000004,6,1,0.1,1
1,36.300000000000004,6,1,0.1,1
1,35.790000000000006,6,1,0.1,1
1,35.290000000000006,6,0,0.1,1
1,36.290000000000006,6,1,0.1,1
