success,rewards,steps,resources,epsilon,first_success
0,-7.220000000000001,54,0,0.7628626641409962,2
1,46.09,40,2,0.6242658676435396,2
0,-6.22,60,1,0.46211964903917074,2
1,41.2,62,2,0.3386767948568688,2
0,-34.709999999999994,6,1,0.32864265128599696,2
1,46.35,21,1,0.29580711868545667,2
1,45.830000000000005,19,0,0.2689348941735696,2
0,-35.699999999999996,6,0,0.2609670281126685,2
1,44.300000000000004,50,2,0.2031139149609751,2
0,-35.199999999999996,6,0,0.19709615934585656,2
0,-8.200000000000001,50,0,0.1534024157688821,2
1,45.050000000000004,37,1,0.12743425563174798,2
1,47.300000000000004,18,1,0.11643985070121858,2
1,46.550000000000004,15,0,0.10800599224428936,2
1,45.050000000000004,29,0,0.1,2
1,46.7,14,0,0.1,2
1,45.6,24,0,0.1,2
1,46.50000000000001,18,0,0.1,2
1,46.690000000000005,14,0,0.1,2
1,47.00000000000001,20,1,0.1,2
1,46.550000000000004,15,0,0.1,2
1,48.6,16,2,0.1,2
1,47.7,14,1,0.1,2
1,46.35,19,0,0.1,2
1,46.35,19,0,0.1,2
1,46.400000000000006,16,0,0.1,2
0,-34.199999999999996,6,1,0.1,2
1,46.690000000000005,14,0,0.1,2
0,-35.199999999999996,6,0,0.1,2
0,-35.709999999999994,6,0,0.1,2
0,-34.309999999999995,8,1,0.1,2
1,46.7,14,0,0.1,2
0,-35.199999999999996,6,0,0.1,2
1,48.300000000000004,18,2,0.1,2
1,47.7,14,1,0.1,2
1,48.25000000000001,17,2,0.1,2
1,46.25000000000001,17,0,0.1,2
0,-37.74999999999999,23,0,0.1,2
0,-6.760000000000001,47,0,0.1,2
0,-7.0100000000000025,34,1,0.1,2
1,46.28,18,0,0.1,2
1,48.59,16,2,0.1,2
1,46.88,22,1,0.1,2
1,47.7,14,1,0.1,2
1,47.440000000000005,17,1,0.1,2
1,46.00000000000001,20,0,0.1,2
1,46.400000000000006,16,0,0.1,2
1,46.24,17,0,0.1,2
1,47.25000000000001,17,1,0.1,2
1,45.900000000000006,22,0,0.1,2
1,45.800000000000004,24,0,0.1,2
1,45.800000000000004,20,0,0.1,2
1,47.050000000000004,21,1,0.1,2
1,45.89000000000001,26,1,0.1,2
1,45.400000000000006,24,0,0.1,2
1,46.00000000000001,36,2,0.1,2
1,43.45,41,0,0.1,2
1,45.900000000000006,26,1,0.1,2
1,47.00000000000001,24,1,0.1,2
1,45.45,41,2,0.1,2
1,45.1,38,1,0.1,2
1,45.150000000000006,27,0,0.1,2
1,46.25000000000001,25,1,0.1,2
0,-7.600000000000001,54,0,0.1,2
1,44.300000000000004,50,1,0.1,2
0,-6.749999999999999,67,2,0.1,2
1,47.85,21,2,0.1,2
0,-5.999999999999999,54,0,0.1,2
0,-28.199999999999996,70,3,0.1,2
0,-9.700000000000001,60,1,0.1,2
0,-8.2,60,1,0.1,2
0,-8.0,54,0,0.1,2
0,-7.3999999999999995,60,1,0.1,2
0,-7.000000000000001,60,1,0.1,2
0,-6.6,54,0,0.1,2
0,-5.6,60,1,0.1,2
0,-6.949999999999999,67,2,0.1,2
0,-7.35,67,2,0.1,2
0,-6.999999999999999,60,1,0.1,2
0,-9.950000000000003,67,2,0.1,2
0,-7.41,54,0,0.1,2
0,-8.600000000000001,54,0,0.1,2
0,-7.75,67,2,0.1,2
0,-6.4,60,1,0.1,2
0,-10.000000000000004,54,0,0.1,2
0,-7.8,60,1,0.1,2
0,-7.6000000000000005,60,1,0.1,2
0,-7.35,67,2,0.1,2
0,-8.600000000000003,54,0,0.1,2
0,-6.549999999999999,67,2,0.1,2
0,-8.600000000000001,60,1,0.1,2
0,-8.000000000000002,54,0,0.1,2
0,-8.200000000000003,54,0,0.1,2
0,-9.600000000000003,60,1,0.1,2
0,-8.610000000000001,54,0,0.1,2
0,-6.199999999999999,60,1,0.1,2
0,-6.6000000000000005,60,1,0.1,2
0,-7.550000000000001,67,2,0.1,2
0,-9.000000000000004,54,0,0.1,2
0,-5.8,54,1,0.1,2
0,-6.599999999999999,60,1,0.1,2
0,-8.200000000000003,60,1,0.1,2
0,-7.2,60,1,0.1,2
0,-7.3999999999999995,54,0,0.1,2
0,-7.800000000000002,54,0,0.1,2
0,-29.799999999999997,70,3,0.1,2
0,-31.0,70,3,0.1,2
0,-8.15,67,2,0.1,2
0,-6.6000000000000005,60,1,0.1,2
0,-8.610000000000003,60,1,0.1,2
0,-9.400000000000004,60,1,0.1,2
0,-8.4,54,0,0.1,2
0,-9.210000000000004,54,1,0.1,2
0,-8.800000000000002,54,0,0.1,2
0,-9.200000000000003,54,0,0.1,2
0,-8.0,54,0,0.1,2
0,-7.600000000000001,60,1,0.1,2
0,-9.210000000000003,54,0,0.1,2
0,-8.000000000000002,54,0,0.1,2
0,-9.800000000000004,54,0,0.1,2
0,-9.800000000000004,54,0,0.1,2
1,42.6,52,1,0.1,2
0,-7.0,54,0,0.1,2
0,-9.400000000000004,54,0,0.1,2
0,-9.400000000000004,60,1,0.1,2
0,-9.000000000000002,54,0,0.1,2
0,-9.55,67,2,0.1,2
0,-9.600000000000003,54,0,0.1,2
0,-8.0,60,1,0.1,2
0,-9.600000000000003,60,1,0.1,2
0,-9.150000000000002,67,2,0.1,2
0,-8.800000000000002,60,1,0.1,2
0,-9.40000000000001,60,1,0.1,2
0,-9.800000000000004,54,0,0.1,2
0,-11.200000000000006,54,0,0.1,2
0,-8.600000000000001,60,1,0.1,2
0,-5.75,67,2,0.1,2
0,-9.600000000000003,54,0,0.1,2
0,-8.750000000000002,67,2,0.1,2
0,-10.80000000000001,60,1,0.1,2
0,-11.400000000000007,54,0,0.1,2
0,-11.000000000000007,54,0,0.1,2
0,-9.210000000000004,60,1,0.1,2
0,-9.650000000000004,60,1,0.1,2
0,-9.800000000000006,54,0,0.1,2
0,-11.000000000000007,54,0,0.1,2
0,-11.200000000000008,54,0,0.1,2
0,-10.000000000000005,54,0,0.1,2
0,-11.600000000000009,54,0,0.1,2
0,-10.630000000000006,54,0,0.1,2
0,-8.800000000000002,60,1,0.1,2
0,-10.600000000000005,54,0,0.1,2
0,-27.399999999999995,70,3,0.1,2
0,-11.000000000000007,54,0,0.1,2
0,-11.200000000000006,54,0,0.1,2
0,-8.200000000000003,54,0,0.1,2
0,-10.610000000000005,54,0,0.1,2
0,-12.310000000000008,60,1,0.1,2
0,-11.200000000000006,54,0,0.1,2
0,-7.4,60,1,0.1,2
0,-8.600000000000003,54,0,0.1,2
0,-28.1,70,4,0.1,2
0,-9.600000000000005,54,0,0.1,2
0,-10.030000000000008,60,1,0.1,2
0,-7.4399999999999995,60,1,0.1,2
0,-11.600000000000009,54,0,0.1,2
0,-11.000000000000007,54,0,0.1,2
0,-9.430000000000005,60,1,0.1,2
0,-9.250000000000005,67,2,0.1,2
1,39.0,52,0,0.1,2
1,42.2,48,0,0.1,2
