success,rewards,steps,resources,epsilon,first_success
0,0.09000000000000075,44,1,0.8020760579717637,13
0,-36.809999999999995,22,0,0.7183288830986236,13
0,-7.61,54,0,0.547986285490042,13
0,-8.6,54,0,0.4180382776616619,13
0,-8.4,54,0,0.31890579420988907,13
0,-7.200000000000001,54,0,0.24328132378095624,13
0,-1.8999999999999988,60,1,0.1800916657318127,13
0,-33.43000000000001,54,1,0.13738520790976036,13
0,-30.2,18,1,0.1255322834371622,13
0,-7.2,54,0,0.1,13
0,-2.410000000000005,60,1,0.1,13
0,-38.209999999999994,26,0,0.1,13
1,42.45,45,0,0.1,13
0,-3.599999999999999,60,1,0.1,13
0,-8.6,54,0,0.1,13
0,-9.800000000000004,54,0,0.1,13
0,-16.200000000000017,70,3,0.1,13
1,46.7,14,0,0.1,13
0,-8.8,54,0,0.1,13
0,-3.400000000000005,60,1,0.1,13
0,-3.399999999999998,60,1,0.1,13
0,-39.14999999999999,35,0,0.1,13
1,42.400000000000006,44,0,0.1,13
0,-29.700000000000003,12,1,0.1,13
1,41.800000000000004,48,0,0.1,13
1,45.800000000000004,20,0,0.1,13
0,-38.519999999999996,26,0,0.1,13
0,-39.199999999999996,34,0,0.1,13
0,-36.65,25,0,0.1,13
0,-6.200000000000001,54,0,0.1,13
0,-8.610000000000001,54,0,0.1,13
1,52.300000000000004,18,1,0.1,13
1,50.10000000000001,38,1,0.1,13
1,42.74,43,0,0.1,13
1,46.2,20,0,0.1,13
1,47.7,56,1,0.1,13
1,43.6,36,0,0.1,13
1,49.0,40,1,0.1,13
1,44.45,29,0,0.1,13
1,57.400000000000006,24,2,0.1,13
1,57.95,19,2,0.1,13
0,-35.65,13,0,0.1,13
0,-37.75,31,0,0.1,13
0,-0.7999999999999997,60,1,0.1,13
1,45.75000000000001,31,0,0.1,13
0,-7.400000000000001,54,0,0.1,13
0,-29.8,14,1,0.1,13
1,52.0,20,1,0.1,13
1,52.7,14,1,0.1,13
0,-19.799999999999972,38,3,0.1,13
0,-32.85,49,1,0.1,13
1,58.25000000000001,21,2,0.1,13
1,52.7,14,1,0.1,13
0,-35.3,8,0,0.1,13
1,45.650000000000006,29,0,0.1,13
1,58.290000000000006,18,2,0.1,13
0,-35.3,8,0,0.1,13
1,52.550000000000004,15,1,0.1,13
1,44.2,32,0,0.1,13
1,51.4,24,1,0.1,13
1,46.1,18,0,0.1,13
1,46.400000000000006,16,0,0.1,13
0,-35.449999999999996,9,0,0.1,13
1,45.900000000000006,20,0,0.1,13
0,-35.3,8,0,0.1,13
0,-29.299999999999997,8,1,0.1,13
1,43.25000000000001,37,0,0.1,13
0,-36.3,14,0,0.1,13
0,-32.650000000000006,33,1,0.1,13
1,45.2,24,0,0.1,13
1,51.9,22,1,0.1,13
1,43.150000000000006,39,0,0.1,13
1,56.15,31,2,0.1,13
0,-35.3,8,0,0.1,13
1,44.50000000000001,30,0,0.1,13
1,58.1,18,2,0.1,13
1,46.550000000000004,15,0,0.1,13
1,56.0,32,2,0.1,13
0,-38.099999999999994,28,0,0.1,13
1,45.550000000000004,23,0,0.1,13
1,52.550000000000004,15,1,0.1,13
1,50.5,30,1,0.1,13
1,46.7,14,0,0.1,13
1,46.550000000000004,15,0,0.1,13
1,44.95,27,0,0.1,13
1,57.599999999999994,64,3,0.1,13
1,51.3,26,1,0.1,13
1,45.95,19,0,0.1,13
1,50.75,27,1,0.1,13
1,51.34999999999999,63,2,0.1,13
1,51.25,25,1,0.1,13
1,40.900000000000006,50,0,0.1,13
1,48.5,46,1,0.1,13
1,41.300000000000004,50,0,0.1,13
1,45.85,57,1,0.1,13
0,-4.399999999999999,60,1,0.1,13
1,41.7,50,0,0.1,13
1,40.690000000000005,50,0,0.1,13
0,-10.000000000000004,54,0,0.1,13
1,45.650000000000006,57,1,0.1,13
1,42.34,49,0,0.1,13
1,39.85,51,0,0.1,13
0,-10.000000000000004,54,0,0.1,13
1,38.7,54,0,0.1,13
0,-4.000000000000005,60,1,0.1,13
0,-3.8000000000000043,60,1,0.1,13
1,50.699999999999996,64,2,0.1,13
1,40.7,50,0,0.1,13
1,48.5,42,1,0.1,13
0,-8.200000000000001,54,0,0.1,13
1,46.04,57,1,0.1,13
1,43.00000000000001,44,0,0.1,13
1,47.85000000000001,53,1,0.1,13
1,41.5,50,0,0.1,13
1,52.39,62,2,0.1,13
1,41.300000000000004,50,0,0.1,13
1,51.14999999999999,63,2,0.1,13
0,-2.400000000000001,60,1,0.1,13
1,50.699999999999996,64,2,0.1,13
1,40.45,51,0,0.1,13
1,51.199999999999996,62,2,0.1,13
1,40.95,49,0,0.1,13
1,62.30000000000001,34,3,0.1,13
1,43.300000000000004,60,1,0.1,13
0,-10.000000000000004,54,0,0.1,13
0,-9.400000000000004,54,0,0.1,13
0,-8.4,54,0,0.1,13
1,52.39999999999999,62,2,0.1,13
1,41.1,50,0,0.1,13
0,-9.400000000000002,54,0,0.1,13
0,3.849999999999993,67,2,0.1,13
0,-10.200000000000005,54,0,0.1,13
0,-4.200000000000004,60,1,0.1,13
0,2.0499999999999945,67,2,0.1,13
0,-9.200000000000003,54,0,0.1,13
1,40.900000000000006,50,0,0.1,13
1,52.75,63,2,0.1,13
0,2.2499999999999916,67,2,0.1,13
0,3.6499999999999972,67,2,0.1,13
0,2.2499999999999827,67,2,0.1,13
0,0.14999999999999303,67,2,0.1,13
