success,rewards,steps,resources,epsilon,first_success
0,124.2760225871508,46,1,0.7940753492934954,
0,62.02808780771302,24,0,0.7040696960536299,
0,221.2295459672332,60,1,0.5211953074858876,
0,186.05693245904146,53,0,0.3995984329713264,
0,222.1695459672332,60,1,0.29580711868545667,
0,224.03363649180812,60,1,0.2189744609715989,
0,187.50624999999988,54,0,0.16704744067563246,
0,224.9048864918082,60,1,0.12365869841532712,
0,224.34240513788214,60,1,0.1,
0,186.50624999999988,54,0,0.1,
0,186.58738649180822,54,0,0.1,
0,245.97704596723304,67,2,0.1,
0,219.4645473771247,59,1,0.1,
0,216.22238649180818,60,1,0.1,
0,188.73840947542476,54,0,0.1,
0,193.98585408560956,58,1,0.1,
0,187.33090947542485,54,0,0.1,
0,186.50624999999994,54,0,0.1,
0,187.50624999999988,54,0,0.1,
0,201.28749999999994,60,1,0.1,
0,186.90624999999991,54,0,0.1,
0,186.90624999999994,54,0,0.1,
0,219.7358490856722,60,1,0.1,
0,186.50624999999994,54,0,0.1,
0,204.37988649180818,60,1,0.1,
0,186.5062499999999,54,0,0.1,
0,186.30624999999995,54,0,0.1,
0,188.33284193446653,53,1,0.1,
0,186.7062499999999,54,0,0.1,
0,241.7480689508497,67,2,0.1,
0,186.50624999999994,54,0,0.1,
0,176.80193756859086,50,0,0.1,
0,199.93749999999991,60,1,0.1,
0,186.90624999999994,54,0,0.1,
0,199.7374999999999,60,1,0.1,
0,241.21874999999966,70,3,0.1,
0,186.45139939044822,54,0,0.1,
0,186.10624999999996,54,0,0.1,
0,210.66297408873214,60,1,0.1,
0,176.93713011260908,50,0,0.1,
0,209.76565309622583,56,1,0.1,
0,185.7395473771247,53,0,0.1,
0,203.9624999999999,60,1,0.1,
0,224.1036364918082,60,1,0.1,
0,201.21249999999986,60,1,0.1,
0,213.78326519452594,57,1,0.1,
0,231.07292466995082,63,2,0.1,
0,185.38822334123543,58,1,0.1,
0,188.3536364918082,54,0,0.1,
0,187.3664784262747,53,0,0.1,
0,211.23141803652223,60,1,0.1,
0,186.5476149180831,53,0,0.1,
0,233.32110712899245,63,2,0.1,
0,185.54800740543538,53,1,0.1,
0,207.29590947542493,60,1,0.1,
0,202.59318245904146,60,1,0.1,
0,186.15363649180821,54,0,0.1,
0,205.4557959672332,60,1,0.1,
0,185.5318189508498,53,0,0.1,
0,186.50624999999997,54,0,0.1,
0,185.97750140989137,53,0,0.1,
0,187.06208184948977,53,0,0.1,
0,208.05534193446638,60,1,0.1,
0,202.96249999999986,60,1,0.1,
0,207.68749999999986,60,1,0.1,
0,201.21249999999992,60,1,0.1,
0,251.84367378395623,66,2,0.1,
0,187.50624999999988,54,0,0.1,
0,188.70624999999993,54,0,0.1,
0,188.50624999999994,54,0,0.1,
0,188.6173864918082,54,0,0.1,
0,187.50624999999994,54,0,0.1,
0,185.8465919344665,53,0,0.1,
0,187.50624999999988,54,0,0.1,
0,186.58904878089652,54,0,0.1,
0,187.30624999999992,54,0,0.1,
0,223.62113649180816,60,1,0.1,
0,187.77352298361646,54,0,0.1,
0,187.5062499999999,54,0,0.1,
0,212.11249999999978,60,1,0.1,
0,188.10624999999987,54,0,0.1,
0,187.58090947542485,54,0,0.1,
0,187.30624999999995,54,0,0.1,
0,185.6956824590415,53,0,0.1,
0,186.85863649180823,54,0,0.1,
0,186.10624999999993,54,0,0.1,
0,186.50624999999994,54,0,0.1,
0,186.56965947542483,54,0,0.1,
0,220.73437206928887,60,1,0.1,
0,186.68003588225648,54,0,0.1,
0,188.30624999999984,54,0,0.1,
0,188.5670459672331,54,0,0.1,
0,187.83590947542487,54,0,0.1,
0,186.64738649180816,54,0,0.1,
0,186.9667054426581,53,0,0.1,
0,187.90624999999994,54,0,0.1,
0,221.61249999999976,60,1,0.1,
0,191.52235571910094,57,1,0.1,
0,188.7062499999998,54,0,0.1,
0,189.03852298361642,54,0,0.1,
0,187.1570459672331,54,0,0.1,
0,187.10624999999993,54,0,0.1,
0,188.02727298361648,54,0,0.1,
0,185.87568245904149,53,0,0.1,
0,211.6140365446513,57,1,0.1,
0,226.06444969522389,60,1,0.1,
0,226.33465947542484,67,2,0.1,
0,207.18749999999983,60,1,0.1,
0,237.6746594754248,67,2,0.1,
0,199.61819969522404,60,1,0.1,
0,187.1161364918082,54,0,0.1,
0,156.9412908821938,51,0,0.1,
0,188.63238649180818,54,0,0.1,
0,186.3667226788407,54,0,0.1,
0,187.2918189508498,53,0,0.1,
0,210.34465947542483,60,1,0.1,
0,221.95681895084977,60,1,0.1,
0,219.28749999999977,60,1,0.1,
0,169.22349221090928,50,0,0.1,
0,187.3062499999999,54,0,0.1,
0,162.82117399474544,61,2,0.1,
0,186.90624999999991,54,0,0.1,
0,187.3062499999999,54,0,0.1,
0,221.34340947542483,60,1,0.1,
0,187.70624999999987,54,0,0.1,
0,220.41249999999977,60,1,0.1,
0,187.3635229836165,54,0,0.1,
0,175.74576519452594,50,0,0.1,
0,200.2397729836164,60,1,0.1,
0,187.7062499999998,54,0,0.1,
0,187.10624999999985,54,0,0.1,
0,185.9244324590415,53,0,0.1,
0,186.9062499999999,54,0,0.1,
0,208.29928817814252,57,1,0.1,
0,180.5060825118846,50,0,0.1,
0,187.60937206928895,53,0,0.1,
0,242.32443245904145,67,2,0.1,
0,220.13454596723315,60,1,0.1,
0,221.73749999999976,60,1,0.1,
0,186.0731996952241,54,0,0.1,
0,199.7374999999999,60,1,0.1,
0,187.3062499999999,54,0,0.1,
0,204.8368189508498,60,1,0.1,
0,187.50624999999988,54,0,0.1,
0,186.90624999999991,54,0,0.1,
0,186.90624999999991,54,0,0.1,
