success,rewards,steps,resources,epsilon,first_success
0,-36.809999999999995,22,1,0.48911473364437025,
0,-33.949999999999996,11,2,0.48376129234188364,
0,-28.099999999999998,30,0,0.4694569388517746,
0,-25.949999999999996,30,1,0.4555755512582951,
0,-26.729999999999997,30,1,0.44210462286900093,
0,-27.299999999999997,30,0,0.42903201680224623,
0,-27.33,30,0,0.41634595505223626,
0,-26.099999999999998,30,0,0.4040350078774147,
0,-26.709999999999997,30,1,0.392088083502628,
0,-24.909999999999997,30,1,0.38049441812578494,
0,-25.099999999999998,30,1,0.36924356622001037,
0,-25.299999999999997,30,1,0.35832539112255585,
0,-25.11,30,1,0.34773005590198536,
0,-24.73,30,1,0.3374480144954105,
0,-24.31,30,2,0.327470003107789,
0,-25.919999999999998,30,1,0.31778703186553725,
0,-25.31,30,2,0.3083903767169383,
0,-26.509999999999998,30,1,0.299271571572046,
0,-27.31,30,0,0.2904224006750043,
0,-23.15,30,4,0.28183489120191174,
0,-25.119999999999997,30,1,0.2735013060775578,
0,-25.31,30,2,0.2654141370045616,
0,-26.599999999999998,30,0,0.257566097698634,
0,-25.11,30,1,0.24995011732386385,
0,-25.119999999999997,30,1,0.24255933412211889,
0,-27.81,30,0,0.23538708923081772,
0,-25.319999999999997,30,1,0.2284269206835047,
0,-24.11,30,3,0.22167255758782167,
0,-26.9,30,0,0.21511791447563186,
0,-27.5,30,0,0.20875708582020513,
0,-27.2,30,0,0.20258434071552467,
0,-27.299999999999997,30,0,0.1965941177129211,
0,-27.699999999999996,30,0,0.19078101981038295,
0,-25.52,30,0,0.1851398095900279,
0,-25.919999999999998,30,1,0.17966540449935434,
0,-25.319999999999997,30,1,0.17435287227202212,
0,-23.509999999999998,30,3,0.16919742648403563,
0,-27.299999999999997,30,0,0.16419442224132758,
0,-25.319999999999997,30,0,0.159339351994855,
0,-26.509999999999998,30,0,0.15462784147944042,
0,-26.499999999999996,30,0,0.15005564577269642,
0,-24.52,30,1,0.1456186454704848,
0,-25.9,30,1,0.14131284297546293,
0,-25.7,30,1,0.13713435889537506,
0,-26.509999999999998,30,0,0.133079428547842,
0,-27.099999999999998,30,1,0.12914439856850105,
0,-28.299999999999997,30,0,0.12532572361943992,
0,-27.299999999999997,30,0,0.12161996319495925,
0,-26.7,30,0,0.11802377852178518,
0,-24.31,30,2,0.11453392955094015,
0,-25.299999999999997,30,1,0.11114727203856095,
0,-25.7,30,1,0.10786075471303398,
0,-25.509999999999998,30,1,0.10467141652589601,
0,-23.919999999999998,30,3,0.10157638398402262,
0,-24.7,30,2,0.1,
0,-27.299999999999997,30,0,0.1,
0,-26.299999999999997,30,1,0.1,
0,-27.099999999999998,30,1,0.1,
0,-25.7,30,0,0.1,
0,-28.299999999999997,30,0,0.1,
0,-25.7,30,1,0.1,
0,-25.299999999999997,30,1,0.1,
0,-24.91,30,1,0.1,
0,-25.709999999999997,30,1,0.1,
0,-27.5,30,0,0.1,
0,-25.7,30,1,0.1,
0,-28.099999999999998,30,0,0.1,
0,-28.299999999999997,30,0,0.1,
0,-28.5,30,0,0.1,
0,-28.099999999999998,30,0,0.1,
0,-26.7,30,0,0.1,
0,-26.499999999999996,30,0,0.1,
0,-28.299999999999997,30,0,0.1,
