success,rewards,steps,resources,epsilon,first_success
0,-6.830000000000002,60,1,0.7402609576967045,2
1,44.85000000000001,61,2,0.5452463540625918,2
0,-7.0,60,1,0.4036245882390106,2
0,-9.800000000000002,60,1,0.2987875242397482,2
1,45.550000000000004,31,1,0.25578670228422234,2
1,39.35000000000001,53,0,0.19611067854912728,2
0,-35.699999999999996,6,0,0.1903004112552766,2
1,45.50000000000001,22,0,0.17043057265153258,2
1,44.7,38,1,0.14087196468590776,2
1,43.1,42,0,0.11412846151764894,2
1,45.050000000000004,33,0,0.1,2
0,-35.199999999999996,6,0,0.1,2
1,46.25000000000001,17,0,0.1,2
1,46.25000000000001,17,0,0.1,2
0,-38.199999999999996,16,0,0.1,2
1,43.7,24,0,0.1,2
1,48.18000000000001,44,3,0.1,2
1,46.2,20,0,0.1,2
1,47.6,16,1,0.1,2
1,46.370000000000005,20,0,0.1,2
0,-6.62,54,0,0.1,2
0,-6.22,52,0,0.1,2
0,-6.0,53,0,0.1,2
1,42.290000000000006,59,1,0.1,2
0,-7.61,54,0,0.1,2
1,45.540000000000006,28,0,0.1,2
1,46.09,18,0,0.1,2
1,46.400000000000006,16,0,0.1,2
1,43.150000000000006,45,1,0.1,2
1,45.85,19,0,0.1,2
1,45.50000000000001,22,0,0.1,2
1,44.900000000000006,32,1,0.1,2
1,47.00000000000001,18,1,0.1,2
0,-35.99999999999999,12,0,0.1,2
1,45.85,21,0,0.1,2
1,45.95,19,0,0.1,2
1,47.550000000000004,15,1,0.1,2
1,41.95,55,1,0.1,2
1,46.1,34,2,0.1,2
1,43.440000000000005,41,0,0.1,2
1,45.25000000000001,25,0,0.1,2
1,42.85000000000001,53,1,0.1,2
1,45.300000000000004,26,0,0.1,2
1,43.50000000000001,42,0,0.1,2
0,-7.400000000000001,54,0,0.1,2
0,-7.16,57,1,0.1,2
0,-7.8,54,0,0.1,2
0,-8.0,60,1,0.1,2
0,-7.8,60,1,0.1,2
1,45.7,22,0,0.1,2
0,-7.6,54,0,0.1,2
1,43.35000000000001,55,1,0.1,2
0,-7.8,60,1,0.1,2
0,-8.6,54,0,0.1,2
0,-8.500000000000002,60,1,0.1,2
0,-9.8,60,1,0.1,2
0,-5.599999999999999,60,1,0.1,2
0,-8.549999999999999,67,2,0.1,2
1,38.300000000000004,54,0,0.1,2
1,44.650000000000006,29,0,0.1,2
0,-8.000000000000002,60,1,0.1,2
0,-6.199999999999998,60,1,0.1,2
1,41.00000000000001,58,1,0.1,2
0,-8.600000000000005,54,0,0.1,2
0,-9.0,54,0,0.1,2
0,-6.199999999999999,60,1,0.1,2
0,-7.4,54,0,0.1,2
1,46.690000000000005,26,1,0.1,2
0,-31.600000000000005,70,3,0.1,2
0,-7.1499999999999995,67,2,0.1,2
0,-7.3500000000000005,67,2,0.1,2
0,-8.200000000000001,54,0,0.1,2
0,-7.800000000000001,60,1,0.1,2
0,-8.800000000000002,54,0,0.1,2
0,-9.05,67,2,0.1,2
0,-7.6000000000000005,60,1,0.1,2
0,-9.000000000000004,54,0,0.1,2
0,-8.4,54,0,0.1,2
0,-8.200000000000001,54,1,0.1,2
0,-9.000000000000002,54,0,0.1,2
0,-8.800000000000002,54,0,0.1,2
0,-9.600000000000003,54,0,0.1,2
0,-9.000000000000002,54,0,0.1,2
0,-7.200000000000001,60,1,0.1,2
0,-7.6,54,0,0.1,2
0,-6.199999999999998,60,1,0.1,2
0,-8.010000000000002,60,1,0.1,2
0,-9.800000000000004,54,0,0.1,2
0,-9.200000000000003,60,1,0.1,2
0,-9.200000000000003,54,1,0.1,2
0,-8.600000000000001,60,1,0.1,2
0,-9.200000000000003,54,0,0.1,2
0,-7.800000000000002,60,1,0.1,2
1,38.300000000000004,54,0,0.1,2
0,-8.600000000000003,54,0,0.1,2
0,-8.800000000000002,60,1,0.1,2
0,-9.800000000000004,54,0,0.1,2
0,-9.600000000000003,54,0,0.1,2
0,-9.000000000000007,60,1,0.1,2
0,-25.109999999999996,70,5,0.1,2
0,-10.400000000000004,54,0,0.1,2
0,-9.400000000000004,54,0,0.1,2
0,-9.400000000000004,54,0,0.1,2
0,-9.410000000000004,54,0,0.1,2
0,-10.210000000000003,54,0,0.1,2
0,-9.800000000000004,54,0,0.1,2
0,-9.800000000000002,54,0,0.1,2
0,-8.400000000000002,54,0,0.1,2
0,-9.000000000000004,60,1,0.1,2
0,-9.800000000000004,54,0,0.1,2
0,-8.240000000000002,53,0,0.1,2
0,-6.3999999999999995,60,1,0.1,2
0,-10.030000000000005,54,0,0.1,2
0,-9.010000000000002,54,0,0.1,2
0,-9.910000000000009,60,1,0.1,2
0,-7.800000000000008,60,1,0.1,2
0,-8.620000000000003,53,0,0.1,2
0,-8.809999999999999,54,2,0.1,2
0,-10.420000000000003,54,0,0.1,2
0,-32.71,70,3,0.1,2
0,-6.800000000000001,54,0,0.1,2
0,-10.210000000000003,54,0,0.1,2
0,-11.040000000000003,60,1,0.1,2
0,-33.36000000000001,49,0,0.1,2
0,-9.030000000000003,54,0,0.1,2
0,-8.810000000000004,54,0,0.1,2
0,-8.610000000000003,54,0,0.1,2
0,-7.56,60,1,0.1,2
0,-7.410000000000004,60,1,0.1,2
0,-9.41,52,0,0.1,2
0,-32.75,35,1,0.1,2
0,-10.160000000000004,57,1,0.1,2
0,-7.6000000000000005,54,0,0.1,2
0,-10.430000000000005,53,0,0.1,2
0,-7.010000000000002,53,0,0.1,2
0,-4.3999999999999995,60,1,0.1,2
0,-7.750000000000006,67,2,0.1,2
0,-35.660000000000004,67,2,0.1,2
0,-8.000000000000002,54,0,0.1,2
0,-7.819999999999999,54,0,0.1,2
0,-5.6099999999999985,60,1,0.1,2
0,-8.150000000000007,55,1,0.1,2
0,-8.81,54,0,0.1,2
0,-8.230000000000002,67,2,0.1,2
0,-33.3,54,0,0.1,2
0,-32.81,66,2,0.1,2
0,-34.1,54,0,0.1,2
0,-7.000000000000002,60,1,0.1,2
0,-8.130000000000004,50,0,0.1,2
0,-28.319999999999997,70,5,0.1,2
1,40.190000000000005,58,1,0.1,2
1,39.65,51,0,0.1,2
0,-7.200000000000001,54,0,0.1,2
0,-9.770000000000003,59,1,0.1,2
0,-6.210000000000001,60,1,0.1,2
0,-6.000000000000001,54,0,0.1,2
0,-10.100000000000003,60,1,0.1,2
0,-8.22,54,0,0.1,2
1,40.150000000000006,67,2,0.1,2
0,-7.200000000000001,54,0,0.1,2
1,48.6,16,2,0.1,2
1,43.540000000000006,47,0,0.1,2
0,-9.440000000000001,60,1,0.1,2
1,40.25000000000001,57,1,0.1,2
1,40.800000000000004,52,0,0.1,2
1,41.35000000000001,49,0,0.1,2
0,-11.600000000000009,54,0,0.1,2
0,-10.010000000000003,54,0,0.1,2
0,-6.010000000000002,60,1,0.1,2
1,40.900000000000006,56,1,0.1,2
0,-28.0,70,3,0.1,2
0,-10.010000000000002,54,0,0.1,2
1,39.0,52,0,0.1,2
1,43.050000000000004,57,1,0.1,2
0,-4.830000000000001,66,2,0.1,2
