success,rewards,steps,resources,epsilon,first_success
0,-26.379999999999995,50,2,0.7004813013617777,2
1,42.470000000000006,46,0,0.556234934052416,2
0,-28.959999999999997,50,1,0.4329246338532432,2
0,-28.509999999999998,50,1,0.3369506787923231,2
0,-37.66,33,1,0.2855801387149556,2
0,-31.21,50,0,0.22227060801125445,2
0,-26.929999999999996,50,3,0.17299600528244125,2
1,43.940000000000005,47,1,0.13668500400442865,2
0,-30.310000000000002,50,1,0.10638365497962446,2
1,45.040000000000006,21,0,0.1,2
1,47.39000000000001,12,1,0.1,2
1,45.59,28,1,0.1,2
1,46.89000000000001,14,1,0.1,2
1,47.24,13,1,0.1,2
1,43.74,31,0,0.1,2
0,-29.5,50,1,0.1,2
1,44.650000000000006,25,0,0.1,2
1,45.790000000000006,16,0,0.1,2
1,46.39000000000001,12,0,0.1,2
1,47.34,11,1,0.1,2
1,47.39000000000001,12,1,0.1,2
1,46.290000000000006,26,2,0.1,2
1,45.74,23,1,0.1,2
1,48.14,15,2,0.1,2
1,46.49,10,0,0.1,2
1,48.34,11,2,0.1,2
1,46.39000000000001,12,0,0.1,2
1,47.39000000000001,12,1,0.1,2
1,48.39,12,2,0.1,2
0,-32.0,50,0,0.1,2
1,46.14000000000001,15,0,0.1,2
1,45.49,18,0,0.1,2
1,46.50000000000001,10,0,0.1,2
1,46.39000000000001,12,0,0.1,2
1,46.34,11,0,0.1,2
1,46.99,10,1,0.1,2
1,46.09,14,0,0.1,2
1,46.50000000000001,10,0,0.1,2
1,46.2,12,0,0.1,2
1,47.50000000000001,10,1,0.1,2
1,46.24,13,0,0.1,2
1,47.49,10,1,0.1,2
1,46.39000000000001,12,0,0.1,2
1,48.39,12,2,0.1,2
1,46.39000000000001,12,0,0.1,2
1,46.09,18,0,0.1,2
1,47.10000000000001,18,1,0.1,2
1,47.10000000000001,18,1,0.1,2
1,48.75,39,4,0.1,2
1,42.34,49,0,0.1,2
1,46.290000000000006,14,0,0.1,2
1,46.99,20,1,0.1,2
1,47.35,11,1,0.1,2
1,46.75000000000001,23,1,0.1,2
0,-28.5,50,1,0.1,2
1,45.150000000000006,31,1,0.1,2
1,44.50000000000001,46,1,0.1,2
1,43.550000000000004,39,1,0.1,2
1,44.89000000000001,38,2,0.1,2
1,43.75000000000001,31,0,0.1,2
0,-26.919999999999998,50,2,0.1,2
1,46.39000000000001,12,0,0.1,2
0,-27.11,50,2,0.1,2
0,-27.299999999999997,50,1,0.1,2
1,43.95,35,1,0.1,2
1,45.45,17,0,0.1,2
0,-31.8,50,0,0.1,2
0,-21.899999999999995,50,6,0.1,2
0,-31.0,50,0,0.1,2
0,-28.9,50,1,0.1,2
0,-26.099999999999998,50,3,0.1,2
0,-36.519999999999996,22,1,0.1,2
1,48.39,12,2,0.1,2
0,-35.01,50,4,0.1,2
1,44.190000000000005,28,0,0.1,2
0,-28.309999999999995,50,1,0.1,2
1,47.25000000000001,21,2,0.1,2
1,42.800000000000004,44,1,0.1,2
0,-29.1,50,1,0.1,2
0,-27.299999999999997,50,1,0.1,2
0,-28.909999999999997,50,1,0.1,2
0,-31.41,50,0,0.1,2
0,-26.93,50,1,0.1,2
1,47.650000000000006,17,2,0.1,2
1,47.49,10,1,0.1,2
0,-27.499999999999996,50,2,0.1,2
1,44.43000000000001,33,1,0.1,2
1,44.89000000000001,42,1,0.1,2
0,-25.749999999999996,50,3,0.1,2
0,-30.62,50,0,0.1,2
1,48.25,13,2,0.1,2
1,44.790000000000006,36,2,0.1,2
0,-23.0,50,4,0.1,2
0,-32.52,50,0,0.1,2
0,-25.299999999999997,50,2,0.1,2
0,-27.739999999999995,50,2,0.1,2
0,-25.97,50,2,0.1,2
1,45.95,36,1,0.1,2
0,-31.42,50,0,0.1,2
0,-24.529999999999998,50,4,0.1,2
0,-30.1,50,1,0.1,2
0,-26.949999999999996,50,1,0.1,2
0,-29.11,50,1,0.1,2
0,-27.31,50,1,0.1,2
0,-27.519999999999996,50,1,0.1,2
1,45.34,17,0,0.1,2
0,-27.369999999999997,50,2,0.1,2
0,-28.11,50,1,0.1,2
0,-30.45,50,0,0.1,2
0,-31.600000000000005,50,1,0.1,2
0,-31.610000000000007,50,0,0.1,2
0,-29.84,50,0,0.1,2
0,-31.450000000000003,50,0,0.1,2
0,-29.2,50,2,0.1,2
0,-28.2,50,1,0.1,2
0,-27.230000000000004,50,1,0.1,2
0,-37.01,42,1,0.1,2
0,-26.04,50,1,0.1,2
0,-28.700000000000003,50,1,0.1,2
0,-28.729999999999997,50,1,0.1,2
0,-27.37,50,2,0.1,2
0,-29.23,50,0,0.1,2
0,-26.389999999999997,50,1,0.1,2
0,-27.769999999999996,50,1,0.1,2
0,-31.820000000000004,50,0,0.1,2
0,-27.119999999999997,50,3,0.1,2
1,43.99000000000001,48,3,0.1,2
0,-31.88,50,0,0.1,2
0,-26.13,50,3,0.1,2
0,-29.900000000000002,50,1,0.1,2
1,46.18000000000001,36,2,0.1,2
0,-31.810000000000002,50,0,0.1,2
0,-32.400000000000006,50,0,0.1,2
0,-32.220000000000006,50,0,0.1,2
0,-31.800000000000004,50,0,0.1,2
0,-32.400000000000006,50,0,0.1,2
0,-32.400000000000006,50,0,0.1,2
1,44.300000000000004,48,3,0.1,2
0,-30.3,50,1,0.1,2
0,-32.2,50,0,0.1,2
0,-33.35,50,0,0.1,2
0,-27.31,50,2,0.1,2
