success,rewards,steps,resources,epsilon,first_success
0,-35.01,48,4,0.9430668807182792,23
0,-38.63999999999999,46,2,0.9089794399567881,23
0,-36.15,47,2,0.8754232008842755,23
0,-25.519999999999996,50,3,0.8410839015667758,23
0,-23.77,50,4,0.8080915935974902,23
0,-23.869999999999997,50,5,0.7763934399725123,23
0,-37.099999999999994,19,0,0.7646768442221329,23
0,-27.54,50,2,0.7346816750189626,23
0,-31.02,50,1,0.7058630945700158,23
0,-27.299999999999997,50,1,0.6781749500735795,23
0,-26.159999999999997,50,2,0.6515728991150455,23
0,-25.929999999999996,50,3,0.6260143386527669,23
0,-37.55,21,0,0.6155810093302725,23
0,-27.299999999999997,50,2,0.5914342646332978,23
0,-25.31,50,4,0.5682346987326535,23
0,-33.949999999999996,47,5,0.5472575252545858,23
0,-27.699999999999996,50,1,0.5257908335510888,23
0,-28.5,50,1,0.5051661930418234,23
0,-28.099999999999998,50,1,0.4853505734758552,23
0,-25.899999999999995,50,2,0.46631224024494194,23
0,-27.31,50,1,0.4480207035607301,23
0,-29.6,50,0,0.43044666962552236,23
1,44.6,24,0,0.4222576834692166,23
0,-22.919999999999995,50,5,0.4056942282545082,23
1,45.900000000000006,34,2,0.3948037704020367,23
0,-30.009999999999998,50,0,0.3793172207768743,23
1,45.540000000000006,19,0,0.3735929239085784,23
1,46.2,20,1,0.3676606487063759,23
1,46.35,11,0,0.364438145642263,23
1,45.040000000000006,33,1,0.3549391175677765,23
0,-35.199999999999996,6,0,0.3532388135865833,23
1,46.050000000000004,13,0,0.3495827119846932,23
1,43.300000000000004,38,0,0.339111182377554,23
1,45.540000000000006,23,0,0.3329261392409435,23
0,-24.31,50,3,0.3198667979595311,23
1,45.59,24,0,0.3137815266235228,23
0,-27.79,50,1,0.30147315079781567,23
0,-28.9,50,1,0.2896475826029371,23
0,-27.709999999999997,50,1,0.27828588345497574,23
0,-35.66,17,1,0.27452532082599385,23
0,-36.959999999999994,29,1,0.2682271551070928,23
0,-29.409999999999997,50,0,0.25770569239625774,23
1,46.43000000000001,25,1,0.2526007558978609,23
1,46.92,35,2,0.2456232840160077,23
1,44.38,44,2,0.23712440259650006,23
1,47.89000000000001,12,2,0.23485799780466257,23
0,-36.31999999999999,18,0,0.23149894210333488,23
0,-36.309999999999995,18,0,0.2281879292845579,23
1,45.940000000000005,15,0,0.22546495533068758,23
1,45.09,34,0,0.21941257296428665,23
1,45.99,16,0,0.2166208801692268,23
1,44.540000000000006,27,0,0.21199020801212368,23
0,-35.309999999999995,8,0,0.2106372634732647,23
1,45.620000000000005,31,1,0.20547566292273306,23
1,44.7,22,0,0.20188950737773068,23
1,46.24,31,2,0.19694226786633384,23
