seed,phase,grid_size,episodes,success_rate_total,success_last_100,gate,gate_passed,first_success_episode,convergence_episode
13,4x4,4,500,0.738,0.91,80.0,True,7,-1
13,6x6,6,1000,0.634,0.92,20.0,True,3,-1
13,8x8,8,1000,0.57,0.82,10.0,True,0,-1
42,4x4,4,500,0.796,0.93,80.0,True,2,-1
42,6x6,6,1000,0.274,0.68,20.0,True,2,-1
42,8x8,8,1000,0.613,0.87,10.0,True,0,-1
101,4x4,4,500,0.802,0.83,80.0,True,2,-1
101,6x6,6,1000,0.568,0.63,20.0,True,1,-1
101,8x8,8,1000,0.601,0.82,10.0,True,0,-1
2025,4x4,4,500,0.782,0.75,80.0,False,4,-1
9999,4x4,4,500,0.81,0.88,80.0,True,2,-1
9999,6x6,6,1000,0.568,0.51,20.0,True,2,-1
9999,8x8,8,1000,0.537,0.67,10.0,True,4,-1
