seed,phase,grid_size,episodes,success_rate_total,success_last_100,gate,gate_passed,first_success_episode,convergence_episode
13,8x8,8,1500,0.6586666666666666,0.98,10.0,True,199,-1
13,8x8,8,1500,0.7786666666666666,0.96,10.0,True,41,-1
13,8x8,8,1500,0.6086666666666667,0.98,10.0,True,3,-1
13,8x8,8,1500,0.6753333333333333,0.83,10.0,True,60,-1
13,8x8,8,1500,0.7673333333333333,0.95,10.0,True,15,-1
13,8x8,8,1500,0.786,0.99,10.0,True,29,-1
42,8x8,8,1500,0.6426666666666667,0.95,10.0,True,2,-1
42,8x8,8,1500,0.7813333333333333,0.93,10.0,True,118,-1
42,8x8,8,1500,0.6966666666666667,0.87,10.0,True,103,-1
42,8x8,8,1500,0.7826666666666666,0.92,10.0,True,4,-1
42,8x8,8,1500,0.6713333333333333,0.85,10.0,True,7,-1
42,8x8,8,1500,0.774,0.85,10.0,True,53,-1
101,8x8,8,1500,0.7133333333333334,0.6,10.0,True,3,-1
101,8x8,8,1500,0.5346666666666666,0.83,10.0,True,341,-1
101,8x8,8,1500,0.774,0.98,10.0,True,96,-1
101,8x8,8,1500,0.798,0.91,10.0,True,20,-1
101,8x8,8,1500,0.7246666666666667,0.68,10.0,True,2,-1
101,8x8,8,1500,0.7613333333333333,0.82,10.0,True,2,-1
2025,8x8,8,1500,0.744,0.85,10.0,True,10,-1
2025,8x8,8,1500,0.6773333333333333,0.67,10.0,True,2,-1
2025,8x8,8,1500,0.782,0.99,10.0,True,28,-1
2025,8x8,8,1500,0.7373333333333333,0.79,10.0,True,2,-1
2025,8x8,8,1500,0.7153333333333334,0.75,10.0,True,14,-1
2025,8x8,8,1500,0.76,0.76,10.0,True,20,-1
9999,8x8,8,1500,0.7633333333333333,0.9,10.0,True,26,-1
9999,8x8,8,1500,0.7793333333333333,0.91,10.0,True,16,-1
9999,8x8,8,1500,0.6793333333333333,0.77,10.0,True,3,-1
9999,8x8,8,1500,0.7873333333333333,0.99,10.0,True,13,-1
9999,8x8,8,1500,0.8493333333333334,0.98,10.0,True,2,-1
9999,8x8,8,1500,0.6873333333333334,0.91,10.0,True,2,-1
