success,rewards,steps,resources,epsilon,first_success
0,-23.2,24,3,0.8866535105013078,8
0,-22.83,24,4,0.7861544476842928,8
0,-26.319999999999997,24,0,0.697046600835495,8
0,-23.83,24,2,0.6180388156137953,8
0,-18.83,24,7,0.547986285490042,8
0,-23.22,24,3,0.4858739637363176,8
0,-21.83,24,4,0.43080185560799106,8
1,36.18000000000001,14,2,0.4016064652978155,8
1,35.790000000000006,6,1,0.3897078735047413,8
0,-24.409999999999997,24,2,0.3455358541129786,8
0,-24.419999999999998,24,2,0.3063705780533402,8
1,35.24,11,1,0.28993519966087045,8
1,35.57000000000001,10,1,0.2757603055760701,8
1,36.59,10,2,0.26227842021373715,8
0,-26.409999999999997,24,1,0.23255008201124722,8
0,-25.7,24,1,0.20619134658263935,8
1,35.53,9,1,0.19709615934585656,8
1,35.980000000000004,12,1,0.18559023879528855,8
1,35.790000000000006,6,1,0.1800916657318127,8
1,35.2,8,1,0.1730128104744653,8
1,34.790000000000006,6,0,0.1678868750508869,8
1,38.150000000000006,7,3,0.16209824418995536,8
1,34.790000000000006,6,0,0.1572956799768517,8
1,38.14000000000001,7,3,0.1518722266715875,8
1,35.290000000000006,6,0,0.1473726336968319,8
1,32.99,18,0,0.1346580429260134,8
1,38.300000000000004,6,3,0.13066846301911936,8
1,37.800000000000004,6,3,0.12679708435358925,8
1,35.25000000000001,11,1,0.11999500148501063,8
1,34.690000000000005,8,0,0.11527836319047392,8
1,36.650000000000006,7,2,0.11130363979080501,8
1,36.300000000000004,6,1,0.10800599224428936,8
1,36.2,8,1,0.10376060541355137,8
1,34.89000000000001,10,0,0.1,8
1,36.650000000000006,7,2,0.1,8
1,36.150000000000006,7,1,0.1,8
1,36.14000000000001,7,1,0.1,8
1,37.300000000000004,6,2,0.1,8
1,35.85,9,1,0.1,8
1,35.150000000000006,7,0,0.1,8
1,35.300000000000004,6,0,0.1,8
1,35.150000000000006,7,0,0.1,8
1,36.150000000000006,7,1,0.1,8
1,35.300000000000004,6,0,0.1,8
1,36.300000000000004,6,1,0.1,8
1,34.800000000000004,6,0,0.1,8
1,36.300000000000004,6,1,0.1,8
1,35.300000000000004,6,0,0.1,8
1,35.150000000000006,7,0,0.1,8
1,34.800000000000004,6,0,0.1,8
1,35.800000000000004,6,1,0.1,8
1,36.190000000000005,8,1,0.1,8
1,35.50000000000001,8,1,0.1,8
1,35.800000000000004,6,1,0.1,8
1,35.300000000000004,6,0,0.1,8
1,35.64000000000001,7,1,0.1,8
1,37.300000000000004,6,2,0.1,8
1,34.190000000000005,8,0,0.1,8
1,36.800000000000004,6,2,0.1,8
1,34.790000000000006,6,0,0.1,8
1,37.150000000000006,7,2,0.1,8
1,34.50000000000001,16,1,0.1,8
1,38.150000000000006,7,3,0.1,8
1,36.300000000000004,6,1,0.1,8
1,34.650000000000006,15,1,0.1,8
0,-26.4,24,0,0.1,8
1,37.540000000000006,11,3,0.1,8
1,35.300000000000004,6,0,0.1,8
1,36.84,9,2,0.1,8
