success,rewards,steps,resources,epsilon,first_success,PGF,I_op
0.0,-37.34,20.0,0.0,0.4900944324147673,,0.1,0.3
0.0,-36.31999999999999,14.0,0.0,0.4832775310495417,,0.1,0.3
0.0,-26.1,30.0,1.0,0.4689874819129228,,2.475,0.35
0.0,-27.1,30.0,0.0,0.4551199757070368,,0.1,0.3
0.0,-25.81,30.0,1.0,0.4416625182461319,,2.475,0.35
0.0,-26.72,30.0,1.0,0.428602984785444,,2.475,0.35
0.0,-28.1,30.0,0.0,0.415929609097184,,0.1,0.3
0.0,-27.51,30.0,0.0,0.4036309728695373,,0.1,0.3
0.0,-25.13,30.0,1.0,0.3916959954191254,,2.475,0.35
0.0,-24.92,30.0,1.0,0.3801139237076592,,2.475,0.35
0.0,-27.71,30.0,0.0,0.3688743226537903,,0.1,0.3
0.0,-27.9,30.0,0.0,0.3579670657314333,,0.1,0.3
0.0,-26.11,30.0,1.0,0.3473823258460833,,2.475,0.35
0.0,-24.15,30.0,2.0,0.3371105664809151,,2.85,0.4
0.0,-26.71,30.0,0.0,0.3271425331046812,,0.1,0.3
0.0,-27.7,30.0,0.0,0.3174692448336717,,0.1,0.3
0.0,-26.93,30.0,0.0,0.3080819863402214,,0.1,0.3
0.0,-25.53,30.0,1.0,0.2989723000004739,,2.475,0.35
0.0,-25.7,30.0,1.0,0.2901319782743293,,2.475,0.35
0.0,-27.22,30.0,0.0,0.2815530563107098,,0.1,0.3
0.0,-26.3,30.0,0.0,0.2732278047714802,,0.1,0.3
0.0,-26.51,30.0,0.0,0.2651487228675571,,0.1,0.3
0.0,-23.94,30.0,3.0,0.2573085316009353,,3.225,0.45000000000000007
0.0,-28.1,30.0,0.0,0.2497001672065399,,0.1,0.3
0.0,-26.33,30.0,1.0,0.2423167747879967,,2.475,0.35
0.0,-25.95,30.0,1.0,0.2351517021415869,,2.475,0.35
0.0,-23.44,30.0,3.0,0.2281984937628212,,3.225,0.45000000000000007
0.0,-21.81,30.0,4.0,0.2214508850302338,,3.8,0.5
0.0,-25.22,30.0,1.0,0.2149027965611562,,2.475,0.35
0.0,-24.03,30.0,3.0,0.2085483287343849,,3.225,0.45000000000000007
0.0,-25.94,30.0,0.0,0.2023817563748091,,0.1,0.3
0.0,-26.04,30.0,0.0,0.1963975235952081,,0.1,0.3
0.0,-24.71,30.0,1.0,0.1905902387905725,,2.475,0.35
0.0,-26.02,30.0,0.0,0.1849546697804378,,0.1,0.3
0.0,-26.61,30.0,0.0,0.179485739094855,,0.1,0.3
0.0,-24.84,30.0,1.0,0.1741785193997501,,2.475,0.35
0.0,-27.96,30.0,0.0,0.1690282290575516,,0.1,0.3
0.0,-23.26,30.0,3.0,0.1640302278190862,,3.225,0.45000000000000007
0.0,-26.13,30.0,1.0,0.1591800126428601,,2.475,0.35
0.0,-25.5,30.0,1.0,0.154473213637961,,2.475,0.35
0.0,-28.11,30.0,0.0,0.1499055901269237,,0.1,0.3
0.0,-26.57,30.0,0.0,0.1454730268250143,,0.1,0.3
0.0,-25.15,30.0,1.0,0.1411715301324874,,2.475,0.35
0.0,-26.61,30.0,0.0,0.1369972245364797,,0.1,0.3
0.0,-26.12,30.0,0.0,0.1329463491192941,,0.1,0.3
0.0,-24.9,30.0,1.0,0.1290152541699325,,2.475,0.35
0.0,-28.5,30.0,0.0,0.1252003978958204,,0.1,0.3
0.0,-25.8,30.0,0.0,0.1214983432317643,,0.1,0.3
0.0,-28.72,30.0,0.0,0.1179057547432634,,0.1,0.3
0.0,-26.8,30.0,1.0,0.1144193956213892,,2.475,0.35
0.0,-28.919999999999995,30.0,0.0,0.1110361247665223,,0.1,0.3
0.0,-26.78,30.0,0.0,0.1077528939583209,,0.1,0.3
0.0,-25.4,30.0,2.0,0.1045667451093701,,2.85,0.4
0.0,-29.17,30.0,0.0,0.1014748076000386,,0.1,0.3
0.0,-28.3,30.0,0.0,0.1,,0.1,0.3
0.0,-26.33,30.0,1.0,0.1,,2.475,0.35
0.0,-28.3,30.0,0.0,0.1,,0.1,0.3
0.0,-28.11,30.0,0.0,0.1,,0.1,0.3
0.0,-27.07,30.0,0.0,0.1,,0.1,0.3
0.0,-27.1,30.0,1.0,0.1,,2.475,0.35
0.0,-28.5,30.0,0.0,0.1,,0.1,0.3
0.0,-26.59,30.0,0.0,0.1,,0.1,0.3
0.0,-23.92,30.0,3.0,0.1,,3.225,0.45000000000000007
0.0,-26.3,30.0,1.0,0.1,,2.475,0.35
0.0,-24.3,30.0,2.0,0.1,,2.85,0.4
0.0,-27.11,30.0,1.0,0.1,,2.475,0.35
0.0,-26.5,30.0,1.0,0.1,,2.475,0.35
0.0,-27.5,30.0,0.0,0.1,,0.1,0.3
0.0,-27.3,30.0,0.0,0.1,,0.1,0.3
0.0,-27.5,30.0,0.0,0.1,,0.1,0.3
0.0,-25.7,30.0,1.0,0.1,,2.475,0.35
0.0,-25.9,30.0,0.0,0.1,,0.1,0.3
0.0,-25.91,30.0,1.0,0.1,,2.475,0.35
0.0,-27.3,30.0,0.0,0.1,,0.1,0.3
0.0,-26.31,30.0,1.0,0.1,,2.475,0.35
0.0,-26.11,30.0,1.0,0.1,,2.475,0.35
0.0,-25.5,30.0,2.0,0.1,,2.85,0.4
0.0,-27.5,30.0,0.0,0.1,,0.1,0.3
0.0,-27.3,30.0,0.0,0.1,,0.1,0.3
0.0,-26.3,30.0,1.0,0.1,,2.475,0.35
0.0,-27.3,30.0,0.0,0.1,,0.1,0.3
0.0,-26.1,30.0,1.0,0.1,,2.475,0.35
0.0,-26.5,30.0,1.0,0.1,,2.475,0.35
0.0,-25.5,30.0,2.0,0.1,,2.85,0.4
0.0,-27.11,30.0,0.0,0.1,,0.1,0.3
0.0,-27.3,30.0,0.0,0.1,,0.1,0.3
0.0,-27.1,30.0,0.0,0.1,,0.1,0.3
0.0,-27.3,30.0,0.0,0.1,,0.1,0.3
0.0,-26.91,30.0,0.0,0.1,,0.1,0.3
0.0,-24.5,30.0,1.0,0.1,,2.475,0.35
0.0,-26.7,30.0,0.0,0.1,,0.1,0.3
0.0,-26.31,30.0,1.0,0.1,,2.475,0.35
0.0,-27.5,30.0,0.0,0.1,,0.1,0.3
0.0,-27.5,30.0,0.0,0.1,,0.1,0.3
0.0,-27.5,30.0,0.0,0.1,,0.1,0.3
0.0,-26.3,30.0,1.0,0.1,,2.475,0.35
0.0,-27.1,30.0,0.0,0.1,,0.1,0.3
0.0,-27.5,30.0,0.0,0.1,,0.1,0.3
0.0,-26.9,30.0,0.0,0.1,,0.1,0.3
0.0,-26.7,30.0,0.0,0.1,,0.1,0.3
0.0,-25.3,30.0,2.0,0.1,,2.85,0.4
